stock_id,stock_name,asset_type,asset_class,region,strategy,themes,tracking_index,is_leveraged,is_inverse,is_active,confidence
0051,元大中型100,ETF,EQUITY,TAIWAN,MARKET_CAP,,臺灣中型100指數,False,False,False,HIGH
0052,富邦科技,ETF,EQUITY,TAIWAN,SECTOR,科技,臺灣資訊科技指數,False,False,False,HIGH
0053,元大電子,ETF,EQUITY,TAIWAN,SECTOR,電子,電子類加權股價指數,False,False,False,HIGH
0055,元大MSCI金融,ETF,EQUITY,TAIWAN,SECTOR,金融,MSCI台灣金融指數,False,False,False,HIGH
0056,元大高股息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,臺灣高股息指數,False,False,False,HIGH
0057,富邦摩台,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
0061,元大寶滬深,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
006203,元大MSCI台灣,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
006204,永豐臺灣加權,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
006205,富邦上証,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00400A,主動國泰動能高息,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
006206,元大上證50,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
006207,復華滬深,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
006208,富邦台50,ETF,EQUITY,TAIWAN,MARKET_CAP,,臺灣50指數,False,False,False,HIGH
00625K,富邦上証+R,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00631L,元大台灣50正2,ETF,EQUITY,TAIWAN,LEVERAGED,,臺灣50指數,True,False,False,HIGH
00632R,元大台灣50反1,ETF,EQUITY,TAIWAN,INVERSE,,臺灣50指數,False,True,False,HIGH
00633L,富邦上証正2,ETF,EQUITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
00634R,富邦上証反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00635U,期元大S&P黃金,ETF,COMMODITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00636,國泰中國A50,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00636K,國泰中國A50+U,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00637L,元大滬深300正2,ETF,EQUITY,CHINA,LEVERAGED,,,True,False,False,MEDIUM
00638R,元大滬深300反1,ETF,EQUITY,CHINA,INVERSE,,,False,True,False,MEDIUM
00639,富邦深100,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00640L,富邦日本正2,ETF,EQUITY,JAPAN,LEVERAGED,,,True,False,False,MEDIUM
00641R,富邦日本反1,ETF,EQUITY,JAPAN,INVERSE,,,False,True,False,MEDIUM
00642U,期元大S&P石油,ETF,COMMODITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00643,群益深証中小,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00643K,群益深証中小+R,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00645,富邦日本,ETF,EQUITY,JAPAN,MARKET_CAP,,,False,False,False,MEDIUM
00646,元大S&P500,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00647L,元大S&P500正2,ETF,EQUITY,US,LEVERAGED,,,True,False,False,MEDIUM
009819,中信數據及電力,ETF,EQUITY,TAIWAN,THEMATIC,,,False,False,False,MEDIUM
009820,元大納斯達克精選,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00401A,主動摩根台灣鑫收,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00648R,元大S&P500反1,ETF,EQUITY,US,INVERSE,,,False,True,False,MEDIUM
00999A,主動野村臺灣高息,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00650L,復華香港正2,ETF,EQUITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
00651R,復華香港反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00652,富邦印度,ETF,EQUITY,INDIA,MARKET_CAP,,,False,False,False,MEDIUM
00775B,台新投等債15+,ETF,BOND,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00904,台新臺灣半導體30,ETF,EQUITY,TAIWAN,THEMATIC,半導體,,False,False,False,MEDIUM
00653L,富邦印度正2,ETF,EQUITY,INDIA,LEVERAGED,,,True,False,False,MEDIUM
00654R,富邦印度反1,ETF,EQUITY,INDIA,INVERSE,,,False,True,False,MEDIUM
00655L,國泰中國A50正2,ETF,EQUITY,CHINA,LEVERAGED,,,True,False,False,MEDIUM
00656R,國泰中國A50反1,ETF,EQUITY,CHINA,INVERSE,,,False,True,False,MEDIUM
00657,國泰日經225,ETF,EQUITY,JAPAN,MARKET_CAP,,,False,False,False,MEDIUM
00657K,國泰日經225+U,ETF,EQUITY,JAPAN,MARKET_CAP,,,False,False,False,MEDIUM
00660,元大歐洲50,ETF,EQUITY,EUROPE,MARKET_CAP,,,False,False,False,MEDIUM
00661,元大日經225,ETF,EQUITY,JAPAN,MARKET_CAP,,,False,False,False,MEDIUM
00662,富邦NASDAQ,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00663L,國泰臺灣加權正2,ETF,EQUITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
00664R,國泰臺灣加權反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00665L,富邦恒生國企正2,ETF,EQUITY,CHINA,LEVERAGED,,,True,False,False,MEDIUM
00666R,富邦恒生國企反1,ETF,EQUITY,CHINA,INVERSE,,,False,True,False,MEDIUM
00668,國泰美國道瓊,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00668K,國泰美國道瓊+U,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00669R,國泰美國道瓊反1,ETF,EQUITY,US,INVERSE,,,False,True,False,MEDIUM
00670L,富邦NASDAQ正2,ETF,EQUITY,US,LEVERAGED,,,True,False,False,MEDIUM
00671R,富邦NASDAQ反1,ETF,EQUITY,US,INVERSE,,,False,True,False,MEDIUM
00673R,期元大S&P原油反1,ETF,COMMODITY,US,INVERSE,,,False,True,False,MEDIUM
00674R,期元大S&P黃金反1,ETF,COMMODITY,US,INVERSE,,,False,True,False,MEDIUM
00675L,富邦臺灣加權正2,ETF,EQUITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
00676R,富邦臺灣加權反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00678,群益那斯達克生技,ETF,EQUITY,US,THEMATIC,生技,,False,False,False,MEDIUM
00680L,元大美債20正2,ETF,BOND,US,LEVERAGED,,,True,False,False,MEDIUM
00681R,元大美債20反1,ETF,BOND,US,INVERSE,,,False,True,False,MEDIUM
00682U,期元大美元指數,ETF,CURRENCY,US,MARKET_CAP,,,False,False,False,MEDIUM
00683L,期元大美元指正2,ETF,CURRENCY,US,LEVERAGED,,,True,False,False,MEDIUM
00684R,期元大美元指反1,ETF,CURRENCY,US,INVERSE,,,False,True,False,MEDIUM
00685L,群益臺灣加權正2,ETF,EQUITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
00686R,群益臺灣加權反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00688L,國泰20年美債正2,ETF,BOND,US,LEVERAGED,,,True,False,False,MEDIUM
00699R,元大美債7-10反1,ETF,BOND,US,INVERSE,,,False,True,False,MEDIUM
00703,台新MSCI中國,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00704L,台新MSCI台灣正2,ETF,EQUITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
00705R,台新MSCI台灣反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00707R,期元大S&P日圓反1,ETF,EQUITY,US,INVERSE,,,False,True,False,MEDIUM
00708L,期元大S&P黃金正2,ETF,COMMODITY,US,LEVERAGED,,,True,False,False,MEDIUM
00709,富邦歐洲,ETF,EQUITY,EUROPE,MARKET_CAP,,,False,False,False,MEDIUM
00710B,復華彭博非投等債,ETF,BOND,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00711B,復華彭博新興債,ETF,BOND,EMERGING_MARKETS,MARKET_CAP,,,False,False,False,MEDIUM
00712,復華富時不動產,ETF,EQUITY,TAIWAN,MARKET_CAP,不動產,,False,False,False,MEDIUM
00713,元大台灣高息低波,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,臺灣指數公司高股息低波動指數,False,False,False,HIGH
00714,群益道瓊美國地產,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00715L,期街口布蘭特正2,ETF,COMMODITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
