stock_id,stock_name,asset_type,source_industry,primary_sector,confidence,reason
2469,力信,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,力信：業務內容需人工查證
6781,AES-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,AES-KY：業務內容需人工查證
4148,全宇生技-KY,COMMON_STOCK,化學生技醫療,BIOTECH_MEDICAL,LOW,全宇生技-KY：業務內容需人工查證
6862,三集瑞-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,三集瑞-KY：業務內容需人工查證
7818,溢泰實業,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,溢泰實業：業務內容需人工查證
6863,永道-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,永道-KY：業務內容需人工查證
6921,嘉雨思-創,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,嘉雨思-創：業務內容需人工查證
6958A,日盛台駿甲特,PREFERRED_STOCK,其他,DIVERSIFIED_OTHER,LOW,日盛台駿甲特：同日盛台駿
1262,綠悅-KY,COMMON_STOCK,其他,SPORTING_GOODS,LOW,綠悅-KY：業務內容需人工查證
1342,八貫,COMMON_STOCK,其他,TEXTILE_FIBER,LOW,八貫：業務內容需人工查證
2236,百達-KY,COMMON_STOCK,汽車工業,AUTOMOTIVE,LOW,百達-KY：業務內容需人工查證
2243,宏旭-KY,COMMON_STOCK,汽車工業,AUTOMOTIVE,LOW,宏旭-KY：業務內容需人工查證
2358,廷鑫,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,廷鑫：業務內容需人工查證
2443,昶虹,COMMON_STOCK,其他,COMPUTER_PERIPHERALS,LOW,昶虹：業務內容需人工查證
2904,匯僑,COMMON_STOCK,其他,RETAIL_TRADE,LOW,匯僑：貿易相關，業務內容需人工查證
3142,遠茂,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,遠茂：業務內容需人工查證
3557,嘉威,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,嘉威：業務內容需人工查證
3053,鼎營,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,LOW,鼎營：業務內容需人工查證
3063,飛信,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,飛信：業務內容需人工查證
3271,其樂達,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,其樂達：業務內容需人工查證
3315,宣昶,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,LOW,宣昶：業務內容需人工查證
3559,全智科,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,LOW,全智科：業務內容需人工查證
4557,永新-KY,COMMON_STOCK,汽車工業,AUTOMOTIVE,LOW,永新-KY：業務內容需人工查證
4569,六方科-KY,COMMON_STOCK,汽車工業,AUTOMOTIVE,LOW,六方科-KY：業務內容需人工查證
4144,康聯-KY,COMMON_STOCK,生技醫療業,DIVERSIFIED_OTHER,LOW,康聯-KY：業務內容需人工查證
1443,立益,COMMON_STOCK,其他,TEXTILE_FIBER,LOW,立益：業務內容需人工查證
2062,橋椿,COMMON_STOCK,其他,STEEL,LOW,橋椿：業務內容需人工查證
1107,建台,COMMON_STOCK,其他,BUILDING_MATERIALS_CONSTRUCTION,LOW,建台：業務內容需人工查證
2350,環電,COMMON_STOCK,電子工業,PCB_ELECTRONIC_MATERIALS,LOW,環電：電子封裝，業務內容需人工查證
2446,全懋,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,LOW,全懋：業務內容需人工查證
2447,鼎新,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,LOW,鼎新：業務內容需人工查證
1516,川飛,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,川飛：業務內容需人工查證
2496,卓越,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,卓越：業務內容需人工查證
6573,虹揚-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,虹揚-KY：業務內容需人工查證
6431,光麗-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,LOW,光麗-KY：業務內容需人工查證
6671,三能-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,三能-KY：業務內容需人工查證
6768,志強-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,志強-KY：業務內容需人工查證
6807,峰源-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,峰源-KY：業務內容需人工查證
6914,阜爾運通,COMMON_STOCK,其他,INVESTMENT_HOLDING,LOW,阜爾運通：業務內容需人工查證
6924,榮惠-KY創,COMMON_STOCK,創新版股票,DIVERSIFIED_OTHER,LOW,榮惠-KY：業務內容需人工查證
6957,裕慶-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,裕慶-KY：業務內容需人工查證
6958,日盛台駿,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,日盛台駿：業務內容需人工查證
6969,成信實業*-創,COMMON_STOCK,創新版股票,BUILDING_MATERIALS_CONSTRUCTION,LOW,成信實業：業務內容需人工查證，暫依常見同名企業推測為營造相關
6988,威力暘-創,COMMON_STOCK,創新版股票,DIVERSIFIED_OTHER,LOW,威力暘：業務內容需人工查證
7740,熙特爾-創,COMMON_STOCK,智慧電網,DIVERSIFIED_OTHER,LOW,熙特爾-創：業務內容需人工查證
7780,大研生醫*,COMMON_STOCK,食品生技,BIOTECH_MEDICAL,LOW,大研生醫：業務內容需人工查證
8427,基勝-KY,COMMON_STOCK,其他,BUILDING_MATERIALS_CONSTRUCTION,LOW,基勝-KY：業務內容需人工查證，暫依常見同名企業推測為營建相關
8442,威宏-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,威宏-KY：業務內容需人工查證
8466,美吉吉-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,美吉吉-KY：業務內容需人工查證
8467,波力-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,波力-KY：業務內容需人工查證
8480,泰昇-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,泰昇-KY：業務內容需人工查證
8482,商億-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,商億-KY：業務內容需人工查證
8488,吉源-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,吉源-KY：業務內容需人工查證
8499,鼎炫-KY,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,鼎炫-KY：業務內容需人工查證
