stock_id,stock_name,signal_date,new_or_existing,episode_start_date,current_top120_status,momentum_rank,momentum_rank_change,market_path_state,opportunity_density,pocket_state,lifecycle_state,market_down_day_outperformance,rs_slope,trend_efficiency,institution_flow_persistence,policy_0_state,policy_1_state,policy_2_state,policy_3_state,watchlist_action_shadow,day1_return,day3_return,day5_return,day10_return,maturity_status
6414,樺漢,2026-07-22,NEW,2026-07-22,True,3.0,,RISK_OFF,VERY_LOW,CONFIRMED_POCKET,NEW_DISCOVERY,0.6,2.302985198048461,0.5882352941176471,1.0,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,RISK_BREACHED,2.6530612244898055,-4.285714285714281,,,PENDING_FORWARD
6416,瑞祺電通,2026-07-22,NEW,2026-07-22,True,4.0,33.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.6,1.7035337247443418,0.3694581280788178,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,0.4716981132075526,-3.7735849056603765,,,PENDING_FORWARD
2425,承啟,2026-07-22,NEW,2026-07-22,True,5.0,158.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,7.771851484329777,0.4320987654320986,0.3,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,RISK_BREACHED,1.439645625692143,1.882613510520481,,,PENDING_FORWARD
2027,大成鋼,2026-07-22,NEW,2026-07-22,True,6.0,118.0,RISK_OFF,VERY_LOW,NO_POCKET,NEW_DISCOVERY,0.6,10.45928774222002,0.3496932515337432,0.5,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,1.4857142857142902,1.8285714285714239,,,PENDING_FORWARD
2377,微星,2026-07-22,NEW,2026-07-22,True,14.0,,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.6,3.5269370710328283,0.4864864864864865,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-1.9354838709677469,-5.483870967741932,,,PENDING_FORWARD
2615,萬海,2026-07-22,NEW,2026-07-22,True,17.0,167.0,RISK_OFF,VERY_LOW,CONFIRMED_POCKET,NEW_DISCOVERY,0.8,7.917941508861877,0.5364238410596015,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,REACCELERATING,-0.7050528789659172,-1.2925969447708519,,,PENDING_FORWARD
1710,東聯,2026-07-22,NEW,2026-07-22,True,18.0,149.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.4,0.3844855150362463,0.024390243902438928,0.2,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-4.273504273504269,-16.524216524216527,,,PENDING_FORWARD
5388,中磊,2026-07-22,NEW,2026-07-22,True,27.0,96.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.6,10.147674963477494,0.2159090909090903,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,2.178899082568808,3.8990825688073327,,,PENDING_FORWARD
6957,裕慶-KY,2026-07-23,NEW,2026-07-23,True,1.0,6.0,RISK_OFF,VERY_LOW,NARROW_LEADERSHIP,NEW_DISCOVERY,1.0,0.09676812061931628,0.5666666666666667,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,PRIMARY_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-1.2345679012345734,,,,PENDING_FORWARD
6277,宏正,2026-07-23,NEW,2026-07-23,True,2.0,,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.6,0.9896104863335088,0.3394495412844042,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,0.7751937984496138,,,,PENDING_FORWARD
6414,樺漢,2026-07-23,EXISTING,2026-07-22,True,3.0,6.0,RISK_OFF,VERY_LOW,CONFIRMED_POCKET,CONTINUATION,0.6,2.9763825790488503,0.6111111111111112,1.0,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-0.5964214711729587,,,,PENDING_FORWARD
2027,大成鋼,2026-07-23,EXISTING,2026-07-22,True,4.0,,RISK_OFF,VERY_LOW,EMERGING_POCKET,REACCELERATING,0.6,8.068371771637578,0.4556213017751491,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-1.9144144144144226,,,,PENDING_FORWARD
6505,台塑化,2026-07-23,NEW,2026-07-23,True,5.0,15.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.6,0.1681417210761064,0.7897196261682241,1.0,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-7.939914163090133,,,,PENDING_FORWARD
3231,緯創,2026-07-23,NEW,2026-07-23,True,6.0,175.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,20.618953931961304,0.54,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,3.170028818443793,,,,PENDING_FORWARD
3022,威強電,2026-07-23,NEW,2026-07-23,True,7.0,223.0,RISK_OFF,VERY_LOW,CONFIRMED_POCKET,NEW_DISCOVERY,0.2,16.778485307382304,0.06583072100313461,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,REACCELERATING,1.9522776572667988,,,,PENDING_FORWARD
6579,研揚,2026-07-23,NEW,2026-07-23,True,9.0,217.0,RISK_OFF,VERY_LOW,CONFIRMED_POCKET,NEW_DISCOVERY,0.2,21.72084853901343,0.171875,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-1.6348773841961872,,,,PENDING_FORWARD
1709,和益,2026-07-23,NEW,2026-07-23,True,10.0,-6.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,0.264858121695094,0.3591160220994473,0.5,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-3.492647058823528,,,,PENDING_FORWARD
5388,中磊,2026-07-23,EXISTING,2026-07-22,True,11.0,109.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,REACCELERATING,0.6,8.356762493483282,0.3124999999999997,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-0.44893378226710245,,,,PENDING_FORWARD
6416,瑞祺電通,2026-07-23,EXISTING,2026-07-22,True,12.0,6.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,REACCELERATING,0.6,2.1844976539807845,0.26647564469914037,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-2.8169014084507005,,,,PENDING_FORWARD
2425,承啟,2026-07-23,EXISTING,2026-07-22,True,13.0,39.0,RISK_OFF,VERY_LOW,CONFIRMED_POCKET,CONTINUATION,0.8,2.4258231755252715,0.49003984063744993,0.2,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,RISK_BREACHED,2.2925764192139875,,,,PENDING_FORWARD
8114,振樺電,2026-07-23,NEW,2026-07-23,True,14.0,226.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.4,23.114030187929796,0.28104575163398693,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-0.8620689655172376,,,,PENDING_FORWARD
6669,緯穎,2026-07-23,NEW,2026-07-23,True,17.0,,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,18.96060384134786,0.23863636363636365,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,4.753199268738584,,,,PENDING_FORWARD
2527,宏璟,2026-07-23,NEW,2026-07-23,True,20.0,-6.0,RISK_OFF,VERY_LOW,NO_POCKET,NEW_DISCOVERY,0.8,-0.11849052075833792,0.3410138248847931,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-5.2361396303901575,,,,PENDING_FORWARD
4770,上品,2026-07-23,NEW,2026-07-23,True,23.0,88.0,RISK_OFF,VERY_LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,3.078064099699612,0.3,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-0.8714596949891074,,,,PENDING_FORWARD
3605,宏致,2026-07-23,NEW,2026-07-23,True,44.0,,RISK_OFF,VERY_LOW,NARROW_LEADERSHIP,NEW_DISCOVERY,0.2,14.52018321292917,0.11384615384615389,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-3.703703703703709,,,,PENDING_FORWARD
6670,復盛應用,2026-07-23,NEW,2026-07-23,True,51.0,,RISK_OFF,VERY_LOW,NARROW_LEADERSHIP,NEW_DISCOVERY,1.0,18.196647716458546,0.3333333333333333,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,PRIMARY_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,1.325757575757569,,,,PENDING_FORWARD
1434,福懋,2026-07-23,NEW,2026-07-23,True,110.0,,RISK_OFF,VERY_LOW,NO_POCKET,NEW_DISCOVERY,0.4,0.7706280049320166,0.3186813186813185,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-1.7948717948717996,,,,PENDING_FORWARD
2103,台橡,2026-07-23,NEW,2026-07-23,True,116.0,-91.0,RISK_OFF,VERY_LOW,NARROW_LEADERSHIP,NEW_DISCOVERY,0.4,-0.06620160042369132,0.006896551724138032,0.5,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-2.3060796645702375,,,,PENDING_FORWARD
3022,威強電,2026-07-24,EXISTING,2026-07-23,True,1.0,44.0,RISK_OFF,LOW,CONFIRMED_POCKET,REACCELERATING,0.4,4.637279638516465,0.17605633802816897,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,REACCELERATING,-2.4468085106382986,,,,PENDING_FORWARD
9921,巨大,2026-07-24,NEW,2026-07-24,True,2.0,,RISK_OFF,LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,0.9553807505620711,0.5970149253731347,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,HOLD_STRONG,-3.6076662908680945,,,,PENDING_FORWARD
1709,和益,2026-07-24,EXISTING,2026-07-23,True,3.0,8.0,RISK_OFF,LOW,NARROW_LEADERSHIP,DETERIORATING,0.6,-0.07256056333382806,0.19371727748691106,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-1.1428571428571455,,,,PENDING_FORWARD
3231,緯創,2026-07-24,EXISTING,2026-07-23,True,4.0,132.0,RISK_OFF,LOW,EMERGING_POCKET,REACCELERATING,1.0,18.45769636702452,0.6448598130841121,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,PRIMARY_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-1.1173184357541888,,,,PENDING_FORWARD
5388,中磊,2026-07-24,EXISTING,2026-07-22,True,5.0,49.0,RISK_OFF,LOW,NO_POCKET,REACCELERATING,0.6,4.158008872177973,0.22651933701657495,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,2.1420518602029315,,,,PENDING_FORWARD
6166,凌華,2026-07-24,NEW,2026-07-24,True,6.0,336.0,RISK_OFF,LOW,CONFIRMED_POCKET,NEW_DISCOVERY,0.4,25.607763430575478,0.5161290322580645,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,PRIMARY_SHADOW,RESERVE_SHADOW,REACCELERATING,-9.909909909909908,,,,PENDING_FORWARD
6669,緯穎,2026-07-24,EXISTING,2026-07-23,True,7.0,76.0,RISK_OFF,LOW,EMERGING_POCKET,REACCELERATING,0.8,5.786052155653404,0.34328358208955223,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,0.2617801047120505,,,,PENDING_FORWARD
2615,萬海,2026-07-24,EXISTING,2026-07-22,True,8.0,6.0,RISK_OFF,LOW,EMERGING_POCKET,REACCELERATING,0.8,1.9822913746378816,0.4459459459459452,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-3.4482758620689613,,,,PENDING_FORWARD
2634,漢翔,2026-07-24,NEW,2026-07-24,True,11.0,-2.0,RISK_OFF,LOW,NO_POCKET,NEW_DISCOVERY,0.8,0.07139244820440165,0.181372549019608,0.7,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,DETERIORATING,-5.504587155963314,,,,PENDING_FORWARD
3416,融程電,2026-07-24,NEW,2026-07-24,True,12.0,,RISK_OFF,LOW,NARROW_LEADERSHIP,NEW_DISCOVERY,0.4,9.297852866966805,0.03636363636363636,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-5.722070844686645,,,,PENDING_FORWARD
6957,裕慶-KY,2026-07-24,EXISTING,2026-07-23,True,13.0,-7.0,RISK_OFF,LOW,NARROW_LEADERSHIP,CONTINUATION,1.0,-0.09640385450507456,0.488,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,PRIMARY_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-1.8750000000000044,,,,PENDING_FORWARD
6243,迅杰,2026-07-24,NEW,2026-07-24,True,14.0,-1.0,RISK_OFF,LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,-0.35984817251823625,0.3423545331529095,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,RISK_BREACHED,-5.747126436781613,,,,PENDING_FORWARD
00642U,期元大S&P石油,2026-07-24,NEW,2026-07-24,True,24.0,58.0,RISK_OFF,LOW,NO_POCKET,NEW_DISCOVERY,0.8,1.8168313021872582,0.8371428571428562,0.9,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-7.830126078301259,,,,PENDING_FORWARD
3706,神達,2026-07-24,NEW,2026-07-24,True,27.0,20.0,RISK_OFF,LOW,EMERGING_POCKET,NEW_DISCOVERY,0.8,1.669305232606078,0.22413793103448237,0.6,PRIMARY_BASELINE_PRODUCTION_WATCH,RESERVE_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,-0.10952902519166807,,,,PENDING_FORWARD
6670,復盛應用,2026-07-24,EXISTING,2026-07-23,True,29.0,,RISK_OFF,LOW,EMERGING_POCKET,REACCELERATING,1.0,20.441327638428515,0.35294117647058826,0.8,PRIMARY_BASELINE_PRODUCTION_WATCH,PRIMARY_SHADOW,RESERVE_SHADOW,RESERVE_SHADOW,REACCELERATING,2.0560747663551426,,,,PENDING_FORWARD
