evaluation_date,market_return_1d,market_return_3d,market_return_5d,market_return_10d,market_return_20d,market_drawdown_from_20d_high,market_drawdown_from_60d_high,days_since_market_20d_high,market_ma5_slope,market_ma10_slope,market_ma20_slope,market_below_ma5,market_below_ma10,market_below_ma20,market_below_ma10_days,market_below_ma20_days,negative_market_days_5d,negative_market_days_10d,production_market_regime,production_risk_off_streak,advancing_count,declining_count,unchanged_count,advance_decline_ratio,stocks_above_ma5_pct,stocks_above_ma10_pct,stocks_above_ma20_pct,new_20d_high_count,new_20d_low_count,new_high_low_ratio,limit_up_count,limit_down_count,median_stock_return_1d,median_stock_return_5d,volume_expanding_count,advance_decline_ratio_3d,advance_decline_ratio_5d,breadth_change_3d,breadth_change_5d,index_stock_divergence,market_path_state,weak_feature_count,breadth20_p30,breadth_change3_p30,return5_p30,threshold_source
2026-05-28,-1.401728096021404,-0.018238307778317697,5.483026700937765,4.514038333722548,11.024310812014203,-1.401728096021404,-1.401728096021404,1,1970.8040000000037,639.4040000000023,648.8375000000015,False,False,False,0,0,2,6,VOLATILE_RANGE,0,449,809,92,0.5550061804697157,32.9073482428115,47.539936102236425,43.194888178913736,108,178,0.6067415730337079,32,7,-0.4447937045259809,0.2744356939571424,530,,,,,5.2085910069806225,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-05-29,2.5128081025858284,2.774404904541883,5.831768121345782,8.647986173248267,14.916035629079637,0.0,0.0,0,1793.836000000003,832.7570000000051,743.7160000000076,False,False,False,0,0,2,5,VOLATILE_RANGE,0,1016,247,86,4.113360323886639,54.82428115015975,58.977635782747605,51.8849840255591,280,67,4.17910447761194,47,1,1.1321683485109535,0.6097617653346599,451,,,,,5.222006356011121,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-01,1.3524038437893848,2.4428110482456855,3.880245804730964,10.8728102588733,11.38128993046088,0.0,0.0,0,1285.3420000000042,989.1359999999986,738.6010000000024,False,False,False,0,0,2,4,VOLATILE_RANGE,0,944,340,66,2.776470588235294,65.62300319488817,66.51757188498402,61.469648562300314,390,53,7.3584905660377355,75,1,0.9781279897948303,1.4393540459891163,615,2.4816123641972165,,,,2.4408917587418477,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-02,0.4839217334896784,4.401986046524398,4.668403737865967,13.395581791517031,11.744182937696479,0.0,0.0,0,1238.0840000000026,1338.841999999997,761.3549999999959,False,False,False,0,0,1,3,VOLATILE_RANGE,0,640,616,94,1.0389610389610389,59.61661341853035,62.23642172523962,60.95846645367412,339,61,5.557377049180328,47,5,0.0,1.5743073047858935,488,2.642930650360991,,17.763578274760384,,3.0940964330800735,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-03,1.9795944931779497,3.8589460026548617,4.976320023137681,16.087476468498153,12.932568606074323,0.0,0.0,0,1185.561999999998,1626.617999999995,737.0550000000003,False,False,False,0,0,1,2,VOLATILE_RANGE,0,938,360,51,2.6055555555555556,66.19808306709265,67.22044728434506,66.83706070287539,471,48,9.8125,60,1,1.0489510489510412,3.1070853941958188,559,2.1403290609172965,2.2178707374216486,14.952076677316292,,1.8692346289418627,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-04,-1.6825530207606132,0.7489317438761356,4.677329314673684,10.416815230825804,8.92759965831842,-1.6825530207606132,-1.6825530207606132,1,1255.0639999999912,1612.934000000001,692.6004999999932,False,False,False,0,0,1,3,BULL_TREND,0,526,754,69,0.6976127320954907,53.03514376996805,61.980830670926515,65.62300319488817,285,49,5.816326530612245,44,7,-0.3610108303249038,3.3898305084745672,451,1.4473764422040285,2.2463920477468036,4.153354632587856,22.428115015974434,1.2874988061991166,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-05,-1.3278321517877667,-1.0676003477817164,0.7555953174551044,6.631428005650619,8.333345351425848,-2.9880436925678433,-2.9880436925678433,2,916.2759999999907,1355.0560000000041,626.5495000000083,True,False,False,0,0,2,4,BULL_TREND,0,424,847,75,0.500590318772137,38.466453674121404,54.12140575079872,62.61980830670927,182,64,2.84375,20,13,-0.6849315068493123,1.3657240109108737,393,1.2679195354743948,1.5238380467239034,1.6613418530351467,10.734824281150168,-0.6101286934557693,NORMAL,0,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-08,-3.4793150531140515,-6.363395291692752,-4.047672246029876,-0.3244860738147448,4.098390861367518,-6.363395291692752,-6.363395291692752,3,108.77799999999843,697.0599999999977,446.16999999999825,True,True,False,1,0,3,5,VOLATILE_RANGE,0,121,1187,38,0.10193765796124685,13.993610223642172,28.498402555910545,42.49201277955272,59,205,0.28780487804878047,17,48,-2.8729628531018845,-1.8442622950819665,393,0.4333802362762918,0.988931460669094,-24.345047923322674,-18.977635782747598,-2.2034099509479095,WEAKENING,2,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-09,2.762260250954096,-2.130197257027855,-1.87208156056623,2.7089258517503767,6.697452308350327,-3.7769085794921886,-3.7769085794921886,4,-470.0,384.0420000000013,399.2920000000013,True,True,False,2,0,3,4,VOLATILE_RANGE,0,955,308,85,3.1006493506493507,25.495207667731627,36.61341853035144,51.8849840255591,151,73,2.0684931506849313,60,0,1.0973957549299973,-1.0638297872340385,290,1.2343924424609118,1.4012691230067564,-13.738019169329071,-9.073482428115021,-0.8082517733321914,WEAKENING,1,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
2026-06-10,-3.3081725215660884,-4.094434240776879,-6.9601344492668415,-2.330172990365331,4.473866753676781,-6.9601344492668415,-6.9601344492668415,5,-1184.3239999999932,0.6189999999987776,318.4939999999988,True,True,True,3,1,4,5,RISK_OFF,1,318,956,76,0.33263598326359833,21.46964856230032,27.731629392971247,41.405750798722046,128,195,0.6564102564102564,14,20,-1.4197336255148962,-3.828828828828823,398,1.1784076639580656,0.9466852085483648,-21.21405750798722,-25.431309904153345,-3.1313056204380185,WEAKENING,2,39.21405750798722,-6.741214057507984,-2.0079091969714935,DATASET_A_FIXED_DISTRIBUTION
