dataset,market_path_state,policy,policy_column,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_future_return_10d,median_future_return_10d,macro_daily_winner_rate,macro_daily_neutral_rate,macro_daily_loser_rate,macro_daily_safe_rate
A,NORMAL,POLICY_0_CURRENT_BASELINE_PROXY,policy0,168,9,9,18.666666666666668,19.0,0.0,1.0,15,0.08928571428571429,134,0.7976190476190477,19,0.1130952380952381,0.07360824777409578,0.1698804839539041,0.8869047619047619,0.10067114093959731,1.0,0.0,0.0,2.6027295414905596,1.4524020414188654,0.09659147869674185,0.7245771836999907,0.17883133760326742,0.8211686623967327
A,NORMAL,POLICY_1_MARKET_CONTRACTION,policy1,168,9,9,18.666666666666668,19.0,0.0,1.0,15,0.08928571428571429,134,0.7976190476190477,19,0.1130952380952381,0.07360824777409578,0.1698804839539041,0.8869047619047619,0.10067114093959731,1.0,0.0,0.0,2.6027295414905596,1.4524020414188654,0.09659147869674185,0.7245771836999907,0.17883133760326742,0.8211686623967327
A,NORMAL,POLICY_2_POCKET_GATE,policy2,86,8,9,9.555555555555555,9.0,0.1111111111111111,0.5119047619047619,13,0.1511627906976744,56,0.6511627906976745,17,0.19767441860465115,0.12724351767301073,0.293959113634373,0.8023255813953488,0.18840579710144928,0.8666666666666667,0.582089552238806,0.10526315789473684,3.077857956166896,0.06393861892582953,0.13236865258924083,0.596072146807441,0.27155920060331823,0.7284407993966817
A,NORMAL,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,29,7,9,3.2222222222222223,2.0,0.2222222222222222,0.17261904761904762,4,0.13793103448275862,21,0.7241379310344828,4,0.13793103448275862,0.054974399258594736,0.3055899387659865,0.8620689655172413,0.16,0.26666666666666666,0.8432835820895522,0.7894736842105263,4.422904222266428,0.20000000000000018,0.1357142857142857,0.7107142857142856,0.15357142857142855,0.8464285714285714
A,NORMAL,BUNDLE_A_DIAGNOSTIC,bundle_A,46,9,9,5.111111111111111,5.0,0.0,0.27380952380952384,4,0.08695652173913043,37,0.8043478260869565,5,0.10869565217391304,0.04733145828147013,0.23037828762025514,0.8913043478260869,0.0975609756097561,0.26666666666666666,0.7238805970149254,0.736842105263158,3.0484416393199623,0.7442575055410128,0.10185185185185185,0.7617283950617284,0.13641975308641974,0.8635802469135803
A,NORMAL,BUNDLE_B_DIAGNOSTIC,bundle_B,33,9,9,3.6666666666666665,3.0,0.0,0.19642857142857142,2,0.06060606060606061,27,0.8181818181818182,4,0.12121212121212122,0.048161612759131084,0.2732550531619836,0.8787878787878788,0.06896551724137931,0.13333333333333333,0.7985074626865671,0.7894736842105263,3.0903931224333965,0.19920318725097363,0.037037037037037035,0.79320987654321,0.1697530864197531,0.8302469135802469
A,NORMAL,BUNDLE_C_DIAGNOSTIC,bundle_C,18,9,9,2.0,2.0,0.0,0.10714285714285714,1,0.05555555555555555,15,0.8333333333333334,2,0.1111111111111111,0.031019522364791025,0.32799765336109676,0.8888888888888888,0.0625,0.06666666666666667,0.8880597014925373,0.8947368421052632,3.5240844960957065,-0.13404326618759455,0.027777777777777776,0.8333333333333334,0.1388888888888889,0.8611111111111112
B,NORMAL,POLICY_0_CURRENT_BASELINE_PROXY,policy0,63,4,4,15.75,15.5,0.0,1.0,1,0.015873015873015872,33,0.5238095238095238,29,0.4603174603174603,0.34308864490553836,0.5821074821137787,0.5396825396825397,0.029411764705882353,1.0,0.0,0.0,-7.773821474542608,-5.000000000000004,0.017857142857142856,0.5306956115779645,0.4514472455648926,0.5485527544351074
B,NORMAL,POLICY_1_MARKET_CONTRACTION,policy1,63,4,4,15.75,15.5,0.0,1.0,1,0.015873015873015872,33,0.5238095238095238,29,0.4603174603174603,0.34308864490553836,0.5821074821137787,0.5396825396825397,0.029411764705882353,1.0,0.0,0.0,-7.773821474542608,-5.000000000000004,0.017857142857142856,0.5306956115779645,0.4514472455648926,0.5485527544351074
B,NORMAL,POLICY_2_POCKET_GATE,policy2,58,4,4,14.5,14.5,0.0,0.9206349206349206,1,0.017241379310344827,31,0.5344827586206896,26,0.4482758620689655,0.32749853960746766,0.5754791697069757,0.5517241379310345,0.03125,1.0,0.06060606060606055,0.10344827586206895,-7.265558428106889,-4.621212121212121,0.020833333333333332,0.5493731146304676,0.42979355203619907,0.5702064479638009
