evaluation_date,top120_first_seen_count,top120_rank_improving_count,top120_market_outperform_count,top120_positive_return_count,top120_institution_buy_count,eligible_pocket_count,confirmed_pocket_count,phase2_selected_count,phase2_count_source,recent_phase2_day1_positive_rate,recent_phase2_day3_positive_rate,opportunity_density_continuous,rank_improving_rate,market_outperform_rate,positive_return_rate,institution_buy_rate,active_pocket_rate,opportunity_density,density_p25_dataset_a,density_p50_dataset_a,density_p75_dataset_a
2026-05-28,120,0,75,57,88,25,0,31,PRODUCTION_FINAL_WATCH,,,0.48571428571428577,0.0,0.625,0.475,0.7333333333333333,0.5952380952380952,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-05-29,43,0,79,103,75,21,1,36,PRODUCTION_FINAL_WATCH,0.8064516129032258,,0.5283333333333333,0.0,0.6583333333333333,0.8583333333333333,0.625,0.5,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-01,35,0,93,101,85,18,6,32,PRODUCTION_FINAL_WATCH,0.9,,0.5507142857142857,0.0,0.775,0.8416666666666667,0.7083333333333334,0.42857142857142855,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-02,28,47,76,81,83,23,3,28,PRODUCTION_FINAL_WATCH,0.62,0.6129032258064516,0.5878571428571429,0.39166666666666666,0.6333333333333333,0.675,0.6916666666666667,0.5476190476190477,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-03,23,52,70,87,89,20,3,32,PRODUCTION_FINAL_WATCH,0.54,0.7,0.5919047619047619,0.43333333333333335,0.5833333333333334,0.725,0.7416666666666667,0.47619047619047616,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-04,46,45,85,68,92,27,1,26,PRODUCTION_FINAL_WATCH,0.36,0.5,0.611904761904762,0.375,0.7083333333333334,0.5666666666666667,0.7666666666666667,0.6428571428571429,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-05,48,44,86,66,92,26,0,18,PRODUCTION_FINAL_WATCH,0.2,0.34,0.6038095238095238,0.36666666666666664,0.7166666666666667,0.55,0.7666666666666667,0.6190476190476191,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-08,31,40,75,28,91,27,0,23,PRODUCTION_FINAL_WATCH,0.24,0.2,0.5185714285714286,0.3333333333333333,0.625,0.23333333333333334,0.7583333333333333,0.6428571428571429,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-09,24,25,64,104,83,19,0,14,PRODUCTION_FINAL_WATCH,0.5,0.26,0.5504761904761905,0.20833333333333334,0.5333333333333333,0.8666666666666667,0.6916666666666667,0.4523809523809524,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-10,20,59,90,60,96,30,0,23,PRODUCTION_FINAL_WATCH,0.64,0.32,0.6511904761904763,0.49166666666666664,0.75,0.5,0.8,0.7142857142857143,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
