dataset,market_path_state,policy,policy_column,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_future_return_10d,median_future_return_10d,macro_daily_winner_rate,macro_daily_neutral_rate,macro_daily_loser_rate,macro_daily_safe_rate
A,ALL,POLICY_0_CURRENT_BASELINE_PROXY,policy0,246,14,14,17.571428571428573,17.0,0.0,1.0,22,0.08943089430894309,186,0.7560975609756098,38,0.15447154471544716,0.11465740989662773,0.204911084615046,0.8455284552845529,0.10576923076923077,1.0,0.0,0.0,1.946149045980086,1.0125110983509988,0.09867877110358313,0.6950370473302804,0.20628418156613648,0.7937158184338636
A,ALL,POLICY_1_MARKET_CONTRACTION,policy1,196,12,14,14.0,12.0,0.14285714285714285,0.7967479674796748,17,0.08673469387755102,153,0.7806122448979592,26,0.1326530612244898,0.09215880558230624,0.18726999359627325,0.8673469387755102,0.1,0.7727272727272727,0.17741935483870963,0.3157894736842105,2.3991838534159395,1.1673813899666374,0.08911027568922304,0.734057887774993,0.1768318365357839,0.8231681634642162
A,ALL,POLICY_2_POCKET_GATE,policy2,95,12,14,6.785714285714286,4.0,0.14285714285714285,0.3861788617886179,14,0.14736842105263157,62,0.6526315789473685,19,0.2,0.13194547013591948,0.2913734423413402,0.8,0.18421052631578946,0.6363636363636364,0.6666666666666667,0.5,3.493934131470283,0.12787723785165905,0.10907910172616055,0.668214764538294,0.22270613373554551,0.7772938662644545
A,ALL,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,35,10,14,2.5,1.5,0.2857142857142857,0.14227642276422764,5,0.14285714285714285,25,0.7142857142857143,5,0.14285714285714285,0.06260231039823719,0.29375554226628564,0.8571428571428571,0.16666666666666666,0.22727272727272727,0.8655913978494624,0.868421052631579,5.486244290485903,0.20000000000000018,0.145,0.6975,0.1575,0.8425
A,ALL,BUNDLE_A_DIAGNOSTIC,bundle_A,92,14,14,6.571428571428571,6.5,0.0,0.37398373983739835,6,0.06521739130434782,72,0.782608695652174,14,0.15217391304347827,0.09286540233783813,0.23936512976135593,0.8478260869565217,0.07692307692307693,0.2727272727272727,0.6129032258064516,0.631578947368421,1.83586638799697,0.0,0.07976190476190477,0.7829455266955268,0.13729256854256855,0.8627074314574316
A,ALL,BUNDLE_B_DIAGNOSTIC,bundle_B,77,14,14,5.5,5.0,0.0,0.3130081300813008,3,0.03896103896103896,61,0.7922077922077922,13,0.16883116883116883,0.10140668667205371,0.2677288941827385,0.8311688311688312,0.046875,0.13636363636363635,0.6720430107526882,0.6578947368421053,1.5262246386188252,-0.3039513677811634,0.03273809523809524,0.8049693362193361,0.16229256854256854,0.8377074314574315
A,ALL,BUNDLE_C_DIAGNOSTIC,bundle_C,43,14,14,3.0714285714285716,2.0,0.0,0.17479674796747968,1,0.023255813953488372,35,0.813953488372093,7,0.16279069767441862,0.08116627302914933,0.29972406017992526,0.8372093023255814,0.027777777777777776,0.045454545454545456,0.8118279569892473,0.8157894736842105,0.4625618798985953,-0.7063572149344055,0.017857142857142856,0.8452380952380951,0.1369047619047619,0.863095238095238
A,NORMAL,POLICY_0_CURRENT_BASELINE_PROXY,policy0,168,9,9,18.666666666666668,19.0,0.0,1.0,15,0.08928571428571429,134,0.7976190476190477,19,0.1130952380952381,0.07360824777409578,0.1698804839539041,0.8869047619047619,0.10067114093959731,1.0,0.0,0.0,2.6027295414905596,1.4524020414188654,0.09659147869674185,0.7245771836999907,0.17883133760326742,0.8211686623967327
A,NORMAL,POLICY_1_MARKET_CONTRACTION,policy1,168,9,9,18.666666666666668,19.0,0.0,1.0,15,0.08928571428571429,134,0.7976190476190477,19,0.1130952380952381,0.07360824777409578,0.1698804839539041,0.8869047619047619,0.10067114093959731,1.0,0.0,0.0,2.6027295414905596,1.4524020414188654,0.09659147869674185,0.7245771836999907,0.17883133760326742,0.8211686623967327
A,NORMAL,POLICY_2_POCKET_GATE,policy2,86,8,9,9.555555555555555,9.0,0.1111111111111111,0.5119047619047619,13,0.1511627906976744,56,0.6511627906976745,17,0.19767441860465115,0.12724351767301073,0.293959113634373,0.8023255813953488,0.18840579710144928,0.8666666666666667,0.582089552238806,0.10526315789473684,3.077857956166896,0.06393861892582953,0.13236865258924083,0.596072146807441,0.27155920060331823,0.7284407993966817
A,NORMAL,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,29,7,9,3.2222222222222223,2.0,0.2222222222222222,0.17261904761904762,4,0.13793103448275862,21,0.7241379310344828,4,0.13793103448275862,0.054974399258594736,0.3055899387659865,0.8620689655172413,0.16,0.26666666666666666,0.8432835820895522,0.7894736842105263,4.422904222266428,0.20000000000000018,0.1357142857142857,0.7107142857142856,0.15357142857142855,0.8464285714285714
A,NORMAL,BUNDLE_A_DIAGNOSTIC,bundle_A,46,9,9,5.111111111111111,5.0,0.0,0.27380952380952384,4,0.08695652173913043,37,0.8043478260869565,5,0.10869565217391304,0.04733145828147013,0.23037828762025514,0.8913043478260869,0.0975609756097561,0.26666666666666666,0.7238805970149254,0.736842105263158,3.0484416393199623,0.7442575055410128,0.10185185185185185,0.7617283950617284,0.13641975308641974,0.8635802469135803
