dataset,market_path_state,policy,policy_column,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_future_return_10d,median_future_return_10d,macro_daily_winner_rate,macro_daily_neutral_rate,macro_daily_loser_rate,macro_daily_safe_rate
A,RISK_OFF,POLICY_0_CURRENT_BASELINE_PROXY,policy0,35,2,2,17.5,17.5,0.0,1.0,4,0.11428571428571428,24,0.6857142857142857,7,0.2,0.10042446419270429,0.3589161320454949,0.8,0.14285714285714285,1.0,0.0,0.0,0.9476184863626965,-0.40650406504064707,0.11666666666666667,0.6833333333333333,0.2,0.8
A,RISK_OFF,POLICY_1_MARKET_CONTRACTION,policy1,0,0,2,0.0,0.0,1.0,0.0,0,,0,,0,,,,,,0.0,1.0,1.0,,,,,,
A,RISK_OFF,POLICY_2_POCKET_GATE,policy2,3,1,2,1.5,1.5,0.5,0.08571428571428572,0,0.0,3,1.0,0,0.0,0.0,0.5614970356393196,1.0,0.0,0.0,0.875,1.0,0.329986493071055,0.4431314623338123,0.0,1.0,0.0,1.0
A,RISK_OFF,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,3,1,2,1.5,1.5,0.5,0.08571428571428572,0,0.0,3,1.0,0,0.0,0.0,0.5614970356393196,1.0,0.0,0.0,0.875,1.0,0.329986493071055,0.4431314623338123,0.0,1.0,0.0,1.0
A,RISK_OFF,BUNDLE_A_DIAGNOSTIC,bundle_A,18,2,2,9.0,9.0,0.0,0.5142857142857142,0,0.0,16,0.8888888888888888,2,0.1111111111111111,0.031019522364791025,0.32799765336109676,0.8888888888888888,0.0,0.0,0.33333333333333337,0.7142857142857143,-0.23944888956150714,0.09783118611131902,0.0,0.9090909090909092,0.09090909090909091,0.9090909090909092
A,RISK_OFF,BUNDLE_B_DIAGNOSTIC,bundle_B,18,2,2,9.0,9.0,0.0,0.5142857142857142,0,0.0,16,0.8888888888888888,2,0.1111111111111111,0.031019522364791025,0.32799765336109676,0.8888888888888888,0.0,0.0,0.33333333333333337,0.7142857142857143,-0.23944888956150714,0.09783118611131902,0.0,0.9090909090909092,0.09090909090909091,0.9090909090909092
A,RISK_OFF,BUNDLE_C_DIAGNOSTIC,bundle_C,8,2,2,4.0,4.0,0.0,0.22857142857142856,0,0.0,8,1.0,0,0.0,0.0,0.3244075683414076,1.0,0.0,0.0,0.6666666666666667,1.0,0.14095266878796087,0.27341400843967634,0.0,1.0,0.0,1.0
B,RISK_OFF,POLICY_0_CURRENT_BASELINE_PROXY,policy0,13,1,1,13.0,13.0,0.0,1.0,0,0.0,6,0.46153846153846156,7,0.5384615384615384,0.29143795558562896,0.7679393232503864,0.46153846153846156,0.0,,0.0,0.0,-6.01780489218129,-6.4189189189189255,0.0,0.46153846153846156,0.5384615384615384,0.46153846153846156
B,RISK_OFF,POLICY_1_MARKET_CONTRACTION,policy1,1,1,1,1.0,1.0,0.0,0.07692307692307693,0,0.0,1,1.0,0,0.0,0.0,0.7934506882081973,1.0,0.0,,0.8333333333333334,1.0,-2.759381898454749,-2.759381898454749,0.0,1.0,0.0,1.0
B,RISK_OFF,POLICY_2_POCKET_GATE,policy2,0,0,1,0.0,0.0,1.0,0.0,0,,0,,0,,,,,,,1.0,1.0,,,,,,
B,RISK_OFF,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,0,0,1,0.0,0.0,1.0,0.0,0,,0,,0,,,,,,,1.0,1.0,,,,,,
B,RISK_OFF,BUNDLE_A_DIAGNOSTIC,bundle_A,4,1,1,4.0,4.0,0.0,0.3076923076923077,0,0.0,1,0.25,3,0.75,0.3006418400969081,0.954412739704631,0.25,0.0,,0.8333333333333334,0.5714285714285714,-7.154079336574826,-6.936732186732192,0.0,0.25,0.75,0.25
B,RISK_OFF,BUNDLE_B_DIAGNOSTIC,bundle_B,4,1,1,4.0,4.0,0.0,0.3076923076923077,0,0.0,1,0.25,3,0.75,0.3006418400969081,0.954412739704631,0.25,0.0,,0.8333333333333334,0.5714285714285714,-7.154079336574826,-6.936732186732192,0.0,0.25,0.75,0.25
B,RISK_OFF,BUNDLE_C_DIAGNOSTIC,bundle_C,4,1,1,4.0,4.0,0.0,0.3076923076923077,0,0.0,1,0.25,3,0.75,0.3006418400969081,0.954412739704631,0.25,0.0,,0.8333333333333334,0.5714285714285714,-7.154079336574826,-6.936732186732192,0.0,0.25,0.75,0.25
A+B,RISK_OFF,POLICY_0_CURRENT_BASELINE_PROXY,policy0,48,3,3,16.0,15.0,0.0,1.0,4,0.08333333333333333,30,0.625,14,0.2916666666666667,0.18241578856605184,0.4317925992458151,0.7083333333333334,0.11764705882352941,1.0,0.0,0.0,-0.9388503453263,-2.0547479522128986,0.07777777777777778,0.6094017094017095,0.3128205128205128,0.6871794871794873
A+B,RISK_OFF,POLICY_1_MARKET_CONTRACTION,policy1,1,1,3,0.3333333333333333,0.0,0.6666666666666666,0.020833333333333332,0,0.0,1,1.0,0,0.0,0.0,0.7934506882081973,1.0,0.0,0.0,0.9666666666666667,1.0,-2.759381898454749,-2.759381898454749,0.0,1.0,0.0,1.0
A+B,RISK_OFF,POLICY_2_POCKET_GATE,policy2,3,1,3,1.0,0.0,0.6666666666666666,0.0625,0,0.0,3,1.0,0,0.0,0.0,0.5614970356393196,1.0,0.0,0.0,0.9,1.0,0.329986493071055,0.4431314623338123,0.0,1.0,0.0,1.0
A+B,RISK_OFF,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,3,1,3,1.0,0.0,0.6666666666666666,0.0625,0,0.0,3,1.0,0,0.0,0.0,0.5614970356393196,1.0,0.0,0.0,0.9,1.0,0.329986493071055,0.4431314623338123,0.0,1.0,0.0,1.0
A+B,RISK_OFF,BUNDLE_A_DIAGNOSTIC,bundle_A,22,3,3,7.333333333333333,7.0,0.0,0.4583333333333333,0,0.0,17,0.7727272727272727,5,0.22727272727272727,0.10123039921206697,0.4343995334816487,0.7727272727272727,0.0,0.0,0.43333333333333335,0.6428571428571428,-1.4966544253821106,-1.173401286251663,0.0,0.6893939393939394,0.3106060606060606,0.6893939393939394
A+B,RISK_OFF,BUNDLE_B_DIAGNOSTIC,bundle_B,22,3,3,7.333333333333333,7.0,0.0,0.4583333333333333,0,0.0,17,0.7727272727272727,5,0.22727272727272727,0.10123039921206697,0.4343995334816487,0.7727272727272727,0.0,0.0,0.43333333333333335,0.6428571428571428,-1.4966544253821106,-1.173401286251663,0.0,0.6893939393939394,0.3106060606060606,0.6893939393939394
