dataset,market_path_state,policy,policy_column,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_future_return_10d,median_future_return_10d,macro_daily_winner_rate,macro_daily_neutral_rate,macro_daily_loser_rate,macro_daily_safe_rate
A,WEAKENING,POLICY_0_CURRENT_BASELINE_PROXY,policy0,43,3,3,14.333333333333334,13.0,0.0,1.0,3,0.06976744186046512,28,0.6511627906976745,12,0.27906976744186046,0.16746613716712536,0.42691028803882003,0.7209302325581395,0.0967741935483871,1.0,0.0,0.0,0.1936617515812253,-0.978053435114512,0.09294871794871795,0.6142191142191142,0.29283216783216787,0.7071678321678322
A,WEAKENING,POLICY_1_MARKET_CONTRACTION,policy1,28,3,3,9.333333333333334,10.0,0.0,0.6511627906976745,2,0.07142857142857142,19,0.6785714285714286,7,0.25,0.12676494850621306,0.4335567047135223,0.75,0.09523809523809523,0.6666666666666666,0.3214285714285714,0.41666666666666663,1.1779097249682184,-0.8422053250244588,0.06666666666666667,0.7625000000000001,0.1708333333333333,0.8291666666666666
A,WEAKENING,POLICY_2_POCKET_GATE,policy2,6,3,3,2.0,1.0,0.0,0.13953488372093023,1,0.16666666666666666,3,0.5,2,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.6666666666666666,0.25,0.3333333333333333,0.8928571428571429,0.8333333333333334,11.039666463351773,-0.39234245236930976,0.08333333333333333,0.75,0.16666666666666666,0.8333333333333334
A,WEAKENING,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,3,2,3,1.0,1.0,0.3333333333333333,0.06976744186046512,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.6666666666666666,0.5,0.3333333333333333,0.9642857142857143,0.9166666666666666,20.921456080689,-3.2303370786516794,0.25,0.5,0.25,0.75
A,WEAKENING,BUNDLE_A_DIAGNOSTIC,bundle_A,28,3,3,9.333333333333334,10.0,0.0,0.6511627906976745,2,0.07142857142857142,19,0.6785714285714286,7,0.25,0.12676494850621306,0.4335567047135223,0.75,0.09523809523809523,0.6666666666666666,0.3214285714285714,0.41666666666666663,1.1779097249682184,-0.8422053250244588,0.06666666666666667,0.7625000000000001,0.1708333333333333,0.8291666666666666
A,WEAKENING,BUNDLE_B_DIAGNOSTIC,bundle_B,26,3,3,8.666666666666666,8.0,0.0,0.6046511627906976,1,0.038461538461538464,18,0.6923076923076923,7,0.2692307692307692,0.13704448247843296,0.4608304053501461,0.7307692307692307,0.05263157894736842,0.3333333333333333,0.3571428571428571,0.41666666666666663,0.7633232363636384,-0.9840762225077515,0.041666666666666664,0.7708333333333334,0.1875,0.8125
A,WEAKENING,BUNDLE_C_DIAGNOSTIC,bundle_C,17,3,3,5.666666666666667,3.0,0.0,0.3953488372093023,0,0.0,12,0.7058823529411765,5,0.29411764705882354,0.1327998952626943,0.5313311024822815,0.7058823529411765,0.0,0.0,0.5714285714285714,0.5833333333333333,-2.6277047908462836,-1.5030946065428763,0.0,0.7777777777777777,0.2222222222222222,0.7777777777777777
B,WEAKENING,POLICY_0_CURRENT_BASELINE_PROXY,policy0,11,1,1,11.0,11.0,0.0,1.0,0,0.0,8,0.7272727272727273,3,0.2727272727272727,0.09746059213308628,0.5656453033189257,0.7272727272727273,0.0,,0.0,0.0,-1.9337283859695058,-1.30434782608696,0.0,0.7272727272727273,0.2727272727272727,0.7272727272727273
B,WEAKENING,POLICY_1_MARKET_CONTRACTION,policy1,3,1,1,3.0,3.0,0.0,0.2727272727272727,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.6666666666666666,0.0,,0.75,0.6666666666666667,-3.08629776021081,-1.30434782608696,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
B,WEAKENING,POLICY_2_POCKET_GATE,policy2,4,1,1,4.0,4.0,0.0,0.36363636363636365,0,0.0,3,0.75,1,0.25,0.04558726029536886,0.6993581599030918,0.75,0.0,,0.625,0.6666666666666667,2.3062819893991033,4.211956521739135,0.0,0.75,0.25,0.75
