evaluation_date,market_return_1d,market_return_3d,market_return_5d,market_return_10d,market_drawdown_from_20d_high,market_drawdown_from_60d_high,market_ma5_slope,market_ma10_slope,market_ma20_slope,advancing_count,declining_count,advance_decline_ratio,stocks_above_ma5_pct,stocks_above_ma10_pct,stocks_above_ma20_pct,new_20d_high_count,new_20d_low_count,new_high_low_ratio,median_stock_return_1d,median_stock_return_3d,median_stock_return_5d,index_stock_divergence,Top120 first_seen count,Top120 positive return count,Top120 market outperform count,Top120 RS improving count,Top120 rank improving count,Top120 institution buy count,Top120 volume expansion count,opportunity_density_continuous,opportunity_density,production_market_regime,market_path_state,e1_warning,e2_warning,e3_warning,e4_warning,e5_warning,e1_extreme,e2_extreme,e3_extreme,e4_extreme,e5_extreme,early_warning_count,market_protective_state_shadow,threshold_source,early_warning_thresholds
2026-06-26,-3.639586070859835,-5.369119109821197,-4.07496362869415,3.2962173802406847,-6.639400387629135,-6.639400387629135,-256.2320000000036,579.1179999999949,272.60050000000047,124,1192,0.1040268456375839,11.757188498402556,17.316293929712458,25.495207667731627,49,414,0.11835748792270531,-2.2556390977443663,-2.500000000000002,-3.170028818443804,-0.9049348102503463,13,25,86,90,34,82,47,0.494047619047619,VERY_LOW,RISK_OFF,WEAKENING,True,False,True,True,True,True,False,True,False,True,4,PROTECTIVE,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-06-29,0.9605633701698091,-2.266764544909605,-5.742612665581792,1.8810913707882237,-5.742612665581792,-5.742612665581792,-851.4360000000015,528.2880000000005,160.03699999999662,851,411,2.070559610705596,25.23961661341853,22.108626198083066,29.77635782747604,83,182,0.45604395604395603,0.43895777334603814,-1.635514018691575,-2.9598452653372576,-2.782767400244534,15,84,71,91,32,75,45,0.5864285714285714,LOW,RISK_OFF,RISK_OFF,True,False,True,False,True,True,False,True,False,False,3,RISK_OFF,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-06-30,2.5022500050000174,-0.27964387185370754,-2.0694831175365858,1.6056571151523702,-3.384057186293432,-3.384057186293432,-1121.958000000006,298.20799999999144,99.51400000000285,963,305,3.1573770491803277,49.39297124600639,36.29392971246006,39.04153354632588,119,82,1.451219512195122,1.0130858706808077,-0.5773672055427226,-0.8556149732620311,-1.2138681442745547,22,106,71,92,34,77,62,0.6290476190476191,MEDIUM,VOLATILE_RANGE,WEAKENING,True,False,True,False,False,False,False,False,False,False,2,PROTECTIVE,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-07-01,1.9361786033055939,5.490539301118003,2.1184051638012624,2.640954795315076,-1.513399974152485,-1.513399974152485,-548.1919999999955,276.958000000006,125.83200000000215,579,674,0.8590504451038575,49.96805111821086,37.18849840255591,38.977635782747605,110,125,0.88,0.0,1.3764763779527511,-0.5258581488809866,2.644263312682249,10,90,56,97,26,91,59,0.574047619047619,VERY_LOW,VOLATILE_RANGE,NORMAL,True,True,True,False,True,False,False,False,False,True,4,PROTECTIVE,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-07-02,-0.5845085145384732,3.8761419469821146,1.056960873206636,1.8893184638446137,-2.0890625369830107,-2.0890625369830107,97.91000000000349,280.54899999999907,126.73400000000402,770,491,1.5682281059063137,60.191693290734825,43.38658146964856,43.322683706070286,138,94,1.4680851063829787,0.33248081841430466,1.2402610550008908,-0.181818181818183,1.238779055024819,18,91,99,88,46,91,71,0.6688095238095237,HIGH,VOLATILE_RANGE,NORMAL,True,True,False,False,False,False,False,False,False,False,2,PROTECTIVE,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-07-03,0.07799904843728278,1.4193974709658885,4.955738790660269,0.678830608713632,-2.012692937445837,-2.012692937445837,734.6300000000047,239.19900000000052,142.49200000000565,999,287,3.480836236933798,67.98722044728434,59.04153354632587,56.16613418530352,252,28,9.0,1.0150000686816263,1.5411367530550724,3.327300246693876,1.6284385439663929,14,98,98,81,39,94,89,0.6542857142857142,HIGH,BULL_TREND,NORMAL,False,False,False,False,False,False,False,False,False,False,0,NORMAL,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-07-06,-0.47932242026720306,-0.9838577987319574,3.45887435305412,-2.482368069212726,-2.482368069212726,-2.482368069212726,850.8499999999985,-0.2930000000051223,143.68049999999494,679,563,1.2060390763765543,61.980830670926515,60.319488817891376,56.677316293929714,262,36,7.277777777777778,0.06381620931716903,1.724137931034475,2.952029520295185,0.5068448327589348,17,86,93,81,49,87,70,0.6411904761904761,HIGH,VOLATILE_RANGE,NORMAL,False,False,False,True,False,False,False,False,False,False,1,NORMAL,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-07-07,-2.3139251131799488,-2.7063273786500863,-1.4022487578022935,-3.4427125740302933,-4.7388530442376116,-4.7388530442376116,623.7100000000064,-249.1240000000107,228.24699999999575,194,1094,0.1773308957952468,30.670926517571885,38.91373801916933,38.849840255591054,96,146,0.6575342465753424,-1.7561983471074405,-0.25594838456122204,0.0,-1.4022487578022935,14,31,59,77,41,98,68,0.5,VERY_LOW,VOLATILE_RANGE,NORMAL,True,False,True,True,True,False,False,True,False,True,4,PROTECTIVE,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-07-08,0.5613566316491347,-2.236417559237136,-2.732045073703193,-0.6715156938206235,-4.204098278416413,-4.204098278416413,-74.9780000000028,-311.5849999999991,224.58749999999418,482,776,0.6211340206185567,23.706070287539934,36.42172523961661,36.74121405750799,80,150,0.5333333333333333,-0.2574665293511913,-1.8115942028985477,0.0,-2.732045073703193,11,66,62,79,48,87,53,0.535952380952381,VERY_LOW,VOLATILE_RANGE,WEAKENING,True,False,True,False,True,False,False,True,False,True,3,PROTECTIVE,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
2026-07-09,-0.8304469216941945,-2.581342754453253,-2.9726708106424526,-1.947129904793532,-4.999632395372499,-4.999632395372499,-664.1859999999942,-283.1380000000063,256.7685000000056,540,712,0.7584269662921348,21.789137380191693,35.52715654952077,34.4408945686901,75,150,0.5,-0.16133733981763543,-2.0964452726697393,-0.4844961240310197,-2.488174686611433,13,67,89,87,47,78,55,0.6230952380952381,MEDIUM,VOLATILE_RANGE,RISK_OFF,True,False,True,False,False,False,False,True,False,False,2,RISK_OFF,Dataset A 2026-06-11..2026-06-25; no outcome used,"{""ma5_p30"": 34.325878594249204, ""ma10_p30"": 43.40575079872204, ""ma5_p10"": 29.226837060702877, ""ma10_p10"": 34.90095846645367, ""new_high_p30"": 124.6, ""nhl_p30"": 0.8335701275045537, ""new_high_p10"": 104.9, ""nhl_p10"": 0.7623179160021265}"
