stock_id,stock_name,evaluation_date,dataset,policy,market_gate_pass,pocket_gate_pass,state_aware_pocket_gate_pass,survival_gate_pass,selected,outcome,future_return_10d,data_status
020036,元大金融配息N,2026-06-11,A,P0_BASELINE,False,False,False,False,True,NEUTRAL,6.236323851203496,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1227,佳格,2026-06-11,A,P0_BASELINE,False,True,True,True,True,NEUTRAL,0.6932409012131657,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1438,三地開發,2026-06-11,A,P0_BASELINE,False,True,False,True,True,NEUTRAL,-5.197505197505192,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1532,勤美,2026-06-11,A,P0_BASELINE,False,True,False,True,True,NEUTRAL,-2.1691973969631184,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1714,和桐,2026-06-11,A,P0_BASELINE,False,True,False,False,True,WINNER,28.819444444444443,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2313,華通,2026-06-11,A,P0_BASELINE,False,True,False,False,True,LOSER,-19.090909090909093,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2355,敬鵬,2026-06-11,A,P0_BASELINE,False,True,False,False,True,LOSER,-11.925042589437815,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2383,台光電,2026-06-11,A,P0_BASELINE,False,True,False,True,True,NEUTRAL,3.140333660451433,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2723,美食-KY,2026-06-11,A,P0_BASELINE,False,True,True,True,True,NEUTRAL,-0.146412884333813,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2905,三商,2026-06-11,A,P0_BASELINE,False,True,False,False,True,NEUTRAL,3.4965034965035,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3003,健和興,2026-06-11,A,P0_BASELINE,False,True,False,True,True,NEUTRAL,-1.9402985074626788,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3025,星通,2026-06-11,A,P0_BASELINE,False,False,False,False,True,NEUTRAL,-3.730272596843631,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5388,中磊,2026-06-11,A,P0_BASELINE,False,False,False,False,True,LOSER,-11.03368176538908,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5519,隆大,2026-06-11,A,P0_BASELINE,False,True,True,True,True,NEUTRAL,0.4431314623338123,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5546,永固-KY,2026-06-11,A,P0_BASELINE,False,True,False,False,True,NEUTRAL,-5.000000000000004,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6133,金橋,2026-06-11,A,P0_BASELINE,False,True,False,False,True,NEUTRAL,-5.054945054945048,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6141,柏承,2026-06-11,A,P0_BASELINE,False,True,False,False,True,WINNER,23.417721518987335,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6189,豐藝,2026-06-11,A,P0_BASELINE,False,True,False,False,True,NEUTRAL,-3.441682600382401,RECONSTRUCTED_NOT_PRODUCTION_EXACT
8070,長華*,2026-06-11,A,P0_BASELINE,False,False,False,False,True,LOSER,-8.673469387755095,RECONSTRUCTED_NOT_PRODUCTION_EXACT
9945,潤泰新,2026-06-11,A,P0_BASELINE,False,True,False,False,True,NEUTRAL,2.111324376199608,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2393,億光,2026-06-12,A,P0_BASELINE,False,True,False,False,True,NEUTRAL,-5.9238363892806785,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2413,環科,2026-06-12,A,P0_BASELINE,False,True,False,False,True,LOSER,-23.937908496732028,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2636,台驊控股,2026-06-12,A,P0_BASELINE,True,True,True,True,True,NEUTRAL,-3.2303370786516794,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3576,聯合再生,2026-06-12,A,P0_BASELINE,False,True,False,False,True,LOSER,-15.151515151515149,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6205,詮欣,2026-06-12,A,P0_BASELINE,False,True,False,False,True,LOSER,-15.14450867052023,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6691,洋基工程,2026-06-12,A,P0_BASELINE,False,True,False,False,True,WINNER,15.384615384615374,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6944,兆聯實業,2026-06-12,A,P0_BASELINE,True,True,False,True,True,NEUTRAL,-0.7063572149344055,RECONSTRUCTED_NOT_PRODUCTION_EXACT
8081,致新,2026-06-12,A,P0_BASELINE,False,True,False,False,True,NEUTRAL,9.71731448763251,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0050,元大台灣50,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.422802850356298,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0055,元大MSCI金融,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,2.3658536585365875,RECONSTRUCTED_NOT_PRODUCTION_EXACT
006204,永豐臺灣加權,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.841409691629959,RECONSTRUCTED_NOT_PRODUCTION_EXACT
006208,富邦台50,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.498975829578032,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00631L,元大台灣50正2,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.641758834637177,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00657,國泰日經225,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.9183168316831756,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00661,元大日經225,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.7357222844344822,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00663L,國泰臺灣加權正2,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.7639405204461074,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00675L,富邦臺灣加權正2,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.8514653981893465,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00685L,群益臺灣加權正2,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.3958438925494105,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00690,兆豐藍籌30,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.3707165109034136,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00692,富邦公司治理,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.251510159253156,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00701,國泰股利精選30,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,4.253056884635842,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00731,復華富時高息低波,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,1.8327605956472093,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00735,國泰臺韓科技,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.4070796460176966,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00830,國泰費城半導體,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,-0.6602336211274817,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00850,元大臺灣ESG永續,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.8815716657443415,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00876,元大全球5G,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,7.233181588265047,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00900,富邦特選高股息30,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,-1.5376729882111806,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00901,永豐智能車供應鏈,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.716738197424883,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00905,FT臺灣Smart,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.743682310469331,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00907,永豐優息存股,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,-0.916870415647908,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00908,富邦入息REITs+,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,0.5952380952381153,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00912,中信臺灣智慧50,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,1.4762326542663071,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00915,凱基優選高股息30,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,3.242212333121408,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00918,大華優利高填息30,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,0.7841907151819427,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00923,群益台ESG低碳50,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.5805614531729129,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00927,群益半導體收益,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,5.402676091895997,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00929,復華台灣科技優息,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,0.951131518530679,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00930,永豐ESG低碳高息,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,0.8488278092158463,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00935,野村臺灣新科技50,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.629416598192269,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00939,統一台灣高息動能,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,0.8932769158439102,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00941,中信上游半導體,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,4.163750874737593,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00944,野村趨勢動能高息,2026-06-15,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,4.260299625468167,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00947,台新臺灣IC設計,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.6125193998965512,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00951,台新日本半導體,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,6.278481012658221,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00954,中信日本半導體,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,6.166982922201147,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009802,富邦旗艦50,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,-2.5602409638554313,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009804,聯邦台精彩50,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.408111533586798,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00988A,主動統一全球創新,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,-0.3577817531305816,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00990A,主動元大AI新經濟,2026-06-15,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.514411333659016,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2891,中信金,2026-06-15,A,P0_BASELINE,True,True,True,False,True,NEUTRAL,1.2838801711840375,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3041,揚智,2026-06-15,A,P0_BASELINE,True,True,True,False,True,NEUTRAL,5.9259259259259345,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3044,健鼎,2026-06-15,A,P0_BASELINE,True,True,True,False,True,NEUTRAL,-0.3846153846153832,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4551,智伸科,2026-06-15,A,P0_BASELINE,True,True,True,False,True,WINNER,34.730538922155695,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4952,凌通,2026-06-15,A,P0_BASELINE,True,True,True,False,True,NEUTRAL,-1.7094017094017144,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5434,崇越,2026-06-15,A,P0_BASELINE,True,True,True,False,True,WINNER,17.307692307692314,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5471,松翰,2026-06-15,A,P0_BASELINE,True,True,True,False,True,NEUTRAL,7.317073170731714,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6191,精成科,2026-06-15,A,P0_BASELINE,True,True,True,False,True,NEUTRAL,3.398058252427183,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6202,盛群,2026-06-15,A,P0_BASELINE,True,True,True,False,True,NEUTRAL,-0.1533742331288445,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0052,富邦科技,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,4.122877930476965,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0053,元大電子,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.3912324234904867,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0057,富邦摩台,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.327495621716281,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00851,台新全球AI,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.8280297901151157,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00861,元大全球未來通訊,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.5167364016736462,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00881,國泰台灣科技龍頭,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.823154056517784,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00892,富邦台灣半導體,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.2451655923538603,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00893,國泰智能電動車,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,-0.0841396718552767,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00898,國泰基因免疫革命,2026-06-16,A,P0_BASELINE,True,False,False,True,True,NEUTRAL,10.18957345971565,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00911,兆豐洲際半導體,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.4719101123595655,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00913,兆豐台灣晶圓製造,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,5.09615384615385,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00922,國泰台灣領袖50,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.532608695652173,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009809,富邦淨零ESG50,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,5.114942528735633,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00980A,主動野村臺灣優選,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,1.2601626016260026,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009816,凱基台灣TOP50,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.063185041908455,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00983A,主動中信ARK創新,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.433835845896138,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00989A,主動摩根美國科技,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.8322440087146017,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00991A,主動復華未來50,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,5.191532258064524,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00995A,主動中信台灣卓越,2026-06-16,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,2.839643652561241,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1456,怡華,2026-06-16,A,P0_BASELINE,True,True,True,True,True,NEUTRAL,-3.7800687285223455,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2340,台亞,2026-06-16,A,P0_BASELINE,True,True,True,False,True,LOSER,-10.10230179028133,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00403A,主動統一升級50,2026-06-17,A,P0_BASELINE,True,False,False,False,True,NEUTRAL,3.6279069767442,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1301,台塑,2026-06-17,A,P0_BASELINE,True,True,True,False,True,WINNER,24.504692387904072,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1465,偉全,2026-06-17,A,P0_BASELINE,True,True,True,True,True,NEUTRAL,1.2048192771084263,RECONSTRUCTED_NOT_PRODUCTION_EXACT
