stock_id,stock_name,episode_start_date,entry_date,entry_close,action_date,feature_as_of_date,current_close_as_of_action_date,current_return_as_of_action_date,MFE_as_of_action_date,MAE_as_of_action_date,days_since_entry,current_top120_status,days_outside_top120,days_since_reentry,momentum_rank_as_of_action_date,momentum_rank_change_1d,momentum_rank_change_3d,rs_slope_3d,rs_slope_5d,institution_flow_acceleration,pocket_activity,pocket_durability,market_path_state,lifecycle_state,informational_state,watchlist_action_shadow,action_reasons,evidence_family_count,persistent_evidence_families,state_evidence,previous_lifecycle_state,state_transition,max_source_date,point_in_time_valid,formal_watch_on_action_date,watch_history_source,rank_source,pocket_source_date,market_source_date,data_status,episode_return_10d,episode_outcome_from_entry,episode_maturity_date,barrier_outcome,winner_hit_date,loser_hit_date,barrier_hit_date,forward_return_10d_from_action_date,forward_outcome_from_action_date,forward_maturity_date,forward_barrier_outcome_from_action_date
1560,中砂,2026-05-28,2026-05-28,717.0,2026-05-28,2026-05-28,717.0,0.0,0.0,0.0,0,False,1,,,,,,,166049313.0,ACTIVE,DURABLE,NORMAL,NEW_DISCOVERY,HOLD_STRONG,KEEP_SHADOW,[],0,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 1}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 166049313.0, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": NaN, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}",,NONE -> NEW_DISCOVERY,2026-05-28,True,True,PRODUCTION_SIGNAL_SNAPSHOT,UNAVAILABLE_NOT_IMPUTED,2026-05-28,2026-05-28,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST
1560,中砂,2026-05-28,2026-05-28,717.0,2026-05-29,2026-05-29,718.0,0.1394700139470073,1.9525801952580135,-1.3947001394700176,1,False,2,,159.0,,,,,-166333709.0,ACTIVE,DURABLE,NORMAL,DETERIORATING,DETERIORATING,WARNING_SHADOW,"[""Institution Flow"", ""Momentum Rank""]",2,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 2}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -166333709.0, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -2.373338088638821, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}",NEW_DISCOVERY,NEW_DISCOVERY -> DETERIORATING,2026-05-29,True,False,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-05-29,2026-05-29,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,-9.19220055710307,LOSER,2026-06-12,HIT_LOSER_FIRST
1560,中砂,2026-05-28,2026-05-28,717.0,2026-06-01,2026-06-01,717.0,0.0,1.9525801952580135,-1.3947001394700176,2,False,3,,212.0,-53.0,,,,-291735575.0,HIGH_ACTIVITY,DURABLE,NORMAL,DETERIORATING,DETERIORATING,REMOVE_SHADOW,"[""Institution Flow"", ""Momentum Rank""]",2,"[""Institution Flow"", ""Momentum Rank""]","{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 3}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -291735575.0, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -1.4916796098060958, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}",DETERIORATING,DETERIORATING -> DETERIORATING,2026-06-01,True,False,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-06-01,2026-06-01,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,-1.9525801952580246,NEUTRAL,2026-06-15,HIT_LOSER_FIRST
1560,中砂,2026-05-28,2026-05-28,717.0,2026-06-02,2026-06-02,697.0,-2.789400278940024,1.9525801952580135,-4.044630404463046,3,False,4,,,,,,,-690048504.0,ACTIVE,FRAGILE,NORMAL,DETERIORATING,DETERIORATING,REMOVE_SHADOW,"[""Institution Flow"", ""Market-relative Performance"", ""Momentum Rank"", ""Pocket Durability""]",4,"[""Institution Flow"", ""Momentum Rank""]","{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 4}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": -690048504.0, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": true}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -3.2733220124297024, ""excess_3d"": -7.191386325464421}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}",DETERIORATING,DETERIORATING -> DETERIORATING,2026-06-02,True,False,PRODUCTION_SIGNAL_SNAPSHOT,UNAVAILABLE_NOT_IMPUTED,2026-06-02,2026-06-02,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,-2.582496413199431,NEUTRAL,2026-06-16,HIT_LOSER_FIRST
1560,中砂,2026-05-28,2026-05-28,717.0,2026-06-03,2026-06-03,727.0,1.3947001394700065,2.231520223152028,-4.044630404463046,4,False,5,,,,,,,314905558.0,HIGH_ACTIVITY,DURABLE,NORMAL,STALE,RESERVE,WARNING_SHADOW,"[""Momentum Rank""]",1,"[""Momentum Rank""]","{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 5}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 314905558.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 2.324566195487754, ""excess_3d"": -2.6054641085044405}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}",DETERIORATING,DETERIORATING -> STALE,2026-06-03,True,False,PRODUCTION_SIGNAL_SNAPSHOT,UNAVAILABLE_NOT_IMPUTED,2026-06-03,2026-06-03,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,-5.502063273727654,NEUTRAL,2026-06-17,HIT_LOSER_FIRST
1560,中砂,2026-05-28,2026-05-28,717.0,2026-06-04,2026-06-04,716.0,-0.1394700139469962,2.231520223152028,-4.044630404463046,5,True,0,0.0,74.0,,138.0,,,997591898.0,ACTIVE,DURABLE,NORMAL,REACCELERATING,REACCELERATING,KEEP_SHADOW,[],0,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": 138, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 997591898.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 0.16948562048550997, ""excess_3d"": -0.8884017578231318}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}",STALE,STALE -> REACCELERATING,2026-06-04,True,False,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-06-04,2026-06-04,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,-2.2346368715083775,NEUTRAL,2026-06-18,HIT_LOSER_FIRST
1560,中砂,2026-05-28,2026-05-28,717.0,2026-06-05,2026-06-05,698.0,-2.649930264993028,2.231520223152028,-4.044630404463046,6,False,1,1.0,,,,,,1295188941.0,HIGH_ACTIVITY,FRAGILE,NORMAL,HEALTHY_PULLBACK,HEALTHY_PULLBACK,KEEP_SHADOW,"[""Pocket Durability""]",1,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 1}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 1295188941.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -1.1861343286591608, ""excess_3d"": 1.2110723707372428}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}",REACCELERATING,REACCELERATING -> HEALTHY_PULLBACK,2026-06-05,True,False,PRODUCTION_SIGNAL_SNAPSHOT,UNAVAILABLE_NOT_IMPUTED,2026-06-05,2026-06-05,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,2.148997134670494,NEUTRAL,2026-06-22,HIT_LOSER_FIRST
1560,中砂,2026-05-28,2026-05-28,717.0,2026-06-08,2026-06-08,649.0,-9.483960948396097,2.231520223152028,-12.273361227336121,7,False,2,2.0,217.0,,,,,210760813.0,HIGH_ACTIVITY,FRAGILE,WEAKENING,DETERIORATING,DETERIORATING,RISK_BREACHED,"[""Market-relative Performance"", ""Momentum Rank"", ""Pocket Durability""]",3,"[""Pocket Durability""]","{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 2}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 210760813.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -3.5407422534762034, ""excess_3d"": -4.365628092076157}, ""threshold"": ""both <0"", ""weak"": true}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}",HEALTHY_PULLBACK,HEALTHY_PULLBACK -> DETERIORATING,2026-06-08,True,False,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-06-08,2026-06-08,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.41283124128313,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-08,2026-06-08,8.628659476117107,NEUTRAL,2026-06-23,HIT_LOSER_FIRST
2317,鴻海,2026-05-28,2026-05-28,263.0,2026-05-28,2026-05-28,263.0,0.0,0.0,0.0,0,True,0,,63.0,,,,,3372643357.0,HIGH_ACTIVITY,FRAGILE,NORMAL,NEW_DISCOVERY,HOLD_STRONG,KEEP_SHADOW,"[""Pocket Durability""]",1,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 3372643357.0, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": NaN, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}",,NONE -> NEW_DISCOVERY,2026-05-28,True,True,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-05-28,2026-05-28,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-1.7110266159695797,NEUTRAL,2026-06-11,HIT_WINNER_FIRST,2026-06-01,,2026-06-01,-1.7110266159695797,NEUTRAL,2026-06-11,HIT_WINNER_FIRST
2317,鴻海,2026-05-28,2026-05-28,263.0,2026-05-29,2026-05-29,289.0,9.885931558935358,9.885931558935358,1.9011406844106515,1,True,0,,4.0,59.0,,,,30070447173.0,ACTIVE,DURABLE,NORMAL,CONTINUATION,HOLD_STRONG,KEEP_SHADOW,[],0,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 30070447173.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 7.373123456349529, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}",NEW_DISCOVERY,NEW_DISCOVERY -> CONTINUATION,2026-05-29,True,True,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-05-29,2026-05-29,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-1.7110266159695797,NEUTRAL,2026-06-11,HIT_WINNER_FIRST,2026-06-01,,2026-06-01,-9.861591695501726,LOSER,2026-06-12,HIT_LOSER_FIRST
2317,鴻海,2026-05-28,2026-05-28,263.0,2026-06-01,2026-06-01,293.5,11.596958174904938,15.779467680608361,1.9011406844106515,2,True,0,,98.0,-94.0,,,,28560719567.0,HIGH_ACTIVITY,DURABLE,NORMAL,CONTINUATION,HOLD_STRONG,TARGET_REACHED,[],0,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 0}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 28560719567.0, ""buy_days_5d"": 2}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": 0.20468958181614205, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""DURABLE"", ""threshold"": ""FRAGILE"", ""weak"": false}}",CONTINUATION,CONTINUATION -> CONTINUATION,2026-06-01,True,True,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-06-01,2026-06-01,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-1.7110266159695797,NEUTRAL,2026-06-11,HIT_WINNER_FIRST,2026-06-01,,2026-06-01,-8.85860306643952,LOSER,2026-06-15,HIT_LOSER_FIRST
2329,華泰,2026-05-28,2026-05-28,59.9,2026-05-28,2026-05-28,59.9,0.0,0.0,0.0,0,False,1,,194.0,,,,,716390762.0999999,ACTIVE,FRAGILE,NORMAL,NEW_DISCOVERY,HOLD_STRONG,KEEP_SHADOW,"[""Pocket Durability""]",1,[],"{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 1}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": false}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 716390762.0999999, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": NaN, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}",,NONE -> NEW_DISCOVERY,2026-05-28,True,True,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-05-28,2026-05-28,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.687813021702842,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-05,2026-06-05,-12.687813021702842,LOSER,2026-06-11,HIT_LOSER_FIRST
2329,華泰,2026-05-28,2026-05-28,59.9,2026-05-29,2026-05-29,61.1,2.00333889816362,5.175292153589317,0.0,1,False,2,,135.0,59.0,,,,670416005.9999999,ACTIVE,FRAGILE,NORMAL,DETERIORATING,DETERIORATING,WARNING_SHADOW,"[""Momentum Rank"", ""Pocket Durability""]",2,"[""Pocket Durability""]","{""Momentum Rank"": {""raw"": {""rank_change_3d"": NaN, ""days_outside_top120"": 2}, ""threshold"": ""rank_change_3d<0 OR outside>=2"", ""weak"": true}, ""Relative Strength Path"": {""raw"": {""rs_slope_3d"": NaN, ""rs_slope_5d"": NaN}, ""threshold"": ""slope3<0 AND (slope5<0 OR unavailable)"", ""weak"": false}, ""Institution Flow"": {""raw"": {""acceleration"": 670416005.9999999, ""buy_days_5d"": 1}, ""threshold"": ""acceleration<0 AND buy_days_5d<=2"", ""weak"": false}, ""Market-relative Performance"": {""raw"": {""excess_1d"": -0.5094692044222082, ""excess_3d"": NaN}, ""threshold"": ""both <0"", ""weak"": false}, ""Pocket Durability"": {""raw"": ""FRAGILE"", ""threshold"": ""FRAGILE"", ""weak"": true}}",NEW_DISCOVERY,NEW_DISCOVERY -> DETERIORATING,2026-05-29,True,False,PRODUCTION_SIGNAL_SNAPSHOT,FROZEN_TOP120_RAW_UNION,2026-05-29,2026-05-29,RECONSTRUCTED_NOT_PRODUCTION_EXACT,-12.687813021702842,LOSER,2026-06-11,HIT_LOSER_FIRST,,2026-06-05,2026-06-05,-11.947626841243874,LOSER,2026-06-12,HIT_LOSER_FIRST
