unit,feature,outcome,n,median,p25,p75,mean,effect_size_winner_vs_neutral,observed_winner_direction,dates_with_winner_neutral_comparison,direction_consistency_by_date,single_date_risk,discovery_p25,discovery_p75,winner_top_quartile_rate,winner_bottom_quartile_rate,neutral_top_quartile_rate,loser_top_quartile_rate
DAY0,first_seen_flag,WINNER,15,1.0,1.0,1.0,1.0,,HIGHER,6,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0
DAY0,first_seen_flag,NEUTRAL,134,1.0,1.0,1.0,1.0,,HIGHER,6,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0
DAY0,first_seen_flag,LOSER,19,1.0,1.0,1.0,1.0,,HIGHER,6,0.0,False,1.0,1.0,1.0,1.0,1.0,1.0
DAY0,days_since_episode_start,WINNER,15,0.0,0.0,0.0,0.0,,HIGHER,6,0.0,False,0.0,0.0,1.0,1.0,1.0,1.0
DAY0,days_since_episode_start,NEUTRAL,134,0.0,0.0,0.0,0.0,,HIGHER,6,0.0,False,0.0,0.0,1.0,1.0,1.0,1.0
DAY0,days_since_episode_start,LOSER,19,0.0,0.0,0.0,0.0,,HIGHER,6,0.0,False,0.0,0.0,1.0,1.0,1.0,1.0
DAY0,days_since_first_top120,WINNER,15,0.0,0.0,0.0,0.0,,HIGHER,6,0.0,False,0.0,0.0,1.0,1.0,1.0,1.0
DAY0,days_since_first_top120,NEUTRAL,134,0.0,0.0,0.0,0.0,,HIGHER,6,0.0,False,0.0,0.0,1.0,1.0,1.0,1.0
DAY0,days_since_first_top120,LOSER,19,0.0,0.0,0.0,0.0,,HIGHER,6,0.0,False,0.0,0.0,1.0,1.0,1.0,1.0
DAY0,days_since_first_breakout,WINNER,13,3.0,1.0,10.0,6.153846153846154,-0.013778380261213191,LOWER,6,0.3333333333333333,False,0.75,11.25,0.2,0.2,0.19402985074626866,0.10526315789473684
DAY0,days_since_first_breakout,NEUTRAL,130,7.0,0.25,11.0,6.230769230769231,-0.013778380261213191,LOWER,6,0.3333333333333333,False,0.75,11.25,0.2,0.2,0.19402985074626866,0.10526315789473684
DAY0,days_since_first_breakout,LOSER,17,2.0,1.0,4.0,3.823529411764706,-0.013778380261213191,LOWER,6,0.3333333333333333,False,0.75,11.25,0.2,0.2,0.19402985074626866,0.10526315789473684
DAY0,days_since_first_volume_expansion,WINNER,15,1.0,1.0,7.0,4.866666666666666,-0.005606315545932348,LOWER,6,0.5,False,1.0,7.0,0.26666666666666666,0.5333333333333333,0.26119402985074625,0.05263157894736842
