stock_id,stock_name,episode_start_date,confirmation_date,confirmation_unit,dataset,normal_subregime,day1_return_from_day0_close,day1_market_excess_return,day1_sector_excess_return,day1_close_location,day1_upper_shadow,day1_volume_ratio,day1_momentum_rank,day1_momentum_rank_change,day1_rs_market_pct,day1_rs_change,day1_institution_flow,day1_price_flow_alignment,day1_top120_status,day1_source_count,day1_source_change,day1_source_combination,day1_breakout_hold,day1_gap_hold,day1_failed_follow_through,episode_return_day0_to_day10,episode_outcome,entry_close,future_trade_date_10d,promotion_reference_close,promotion_return_next_10d,promotion_outcome,promotion_maturity_date,pre_confirmation_return,price_move_before_confirmation,remaining_return_to_episode_day10,maximum_remaining_upside_10d,maximum_remaining_downside_10d,promotion_delay_sessions,feature_as_of_date,max_source_date,point_in_time_valid,data_status,date_split,D0_A_PASS,D0_B_PASS,D0_C_PASS,d1_relative_pass,d1_rs_health_pass,d1_rank_health_pass,D1_A_PASS,d1_flow_pass,D1_B_PASS,d1_controlled_pass,D1_C_PASS,day1_promotion_state,bundle_thresholds
0055,元大MSCI金融,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,2.3902439024390265,1.4822541877024253,,0.8952380952380894,0.10476190476191057,1.7579931085199691,63.0,-58.0,90.07246376811594,0.4770880455725859,-31098867.959999993,0,True,1,0,A,True,True,False,2.3658536585365875,NEUTRAL,41.0,2026-06-30,41.98,-0.6908051453072828,PROMOTION_NEUTRAL,2026-07-01,2.3902439024390265,2.3902439024390265,-0.023820867079560326,4.073368270605049,-1.7151024297284434,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,True,True,True,False,False,False,True,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
2891,中信金,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,0.9985734664764712,0.09058375173986999,0.7172522459143127,0.5714285714285705,0.42857142857142955,0.6100281429041161,11.0,-2.0,93.76811594202898,0.27100611543939124,396800440.79999995,1,True,1,0,A,True,True,False,1.2838801711840375,NEUTRAL,70.1,2026-06-30,70.8,-0.28248587570621764,PROMOTION_NEUTRAL,2026-07-01,0.9985734664764712,0.9985734664764712,0.28248587570622874,3.9548022598870025,-1.5536723163841692,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,True,True,True,False,True,False,False,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
00990A,主動元大AI新經濟,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,2.051783097215454,1.1437933824788526,,0.7741935483870975,0.2258064516129025,0.9355177772554439,7.0,6.0,94.1304347826087,8.798064840412167,303374774.32000005,1,True,1,0,A,False,True,False,1.514411333659016,NEUTRAL,20.47,2026-06-30,20.89,1.6275730014361,PROMOTION_NEUTRAL,2026-07-01,2.051783097215454,2.051783097215454,-0.5265677357587317,4.595500239348982,-4.978458592628043,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,True,True,True,False,True,False,True,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
00701,國泰股利精選30,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,1.5417331206805107,0.6337434059439095,,0.7719298245614116,0.2280701754385884,0.6138873806976406,37.0,-23.0,85.5072463768116,-0.9811929295467934,6212313.2,1,True,1,0,A,True,True,False,4.253056884635842,NEUTRAL,37.62,2026-06-30,38.2,2.0157068062827133,PROMOTION_NEUTRAL,2026-07-01,1.5417331206805107,1.5417331206805107,2.6701570680628173,6.387434554973814,-0.07853403141361293,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,True,False,True,False,True,False,True,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
00876,元大全球5G,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,1.365705614567525,0.45771589983092387,,0.8823529411764764,0.11764705882352351,1.1257002716834734,5.0,13.0,91.30434782608695,4.310128172907767,6348070.799999999,1,True,1,0,A,True,True,False,7.233181588265047,NEUTRAL,98.85,2026-06-30,100.2,7.4850299401197695,PROMOTION_NEUTRAL,2026-07-01,1.365705614567525,1.365705614567525,5.788423153692612,8.532934131736525,-2.5449101796407136,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,True,True,True,False,True,False,True,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
6202,盛群,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,-4.907975460122705,-5.815965174859306,-3.0211561390928567,0.1276595744680855,0.063829787234042,2.2216254872480383,193.0,-172.0,85.07246376811594,-6.0402529948898405,-87613378.0,0,False,1,0,C,True,False,True,-0.1533742331288445,NEUTRAL,65.2,2026-06-30,62.0,3.8709677419354938,PROMOTION_NEUTRAL,2026-07-01,-4.907975460122705,-4.907975460122705,4.999999999999982,30.645161290322577,-1.1290322580645218,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,True,False,False,False,False,False,False,False,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
00941,中信上游半導體,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,-0.10496850944715641,-1.0129582241837576,,0.5789473684210565,0.42105263157894346,1.0159843579316847,19.0,4.0,85.0,1.979768786127167,20813378.25,0,True,1,0,A,True,False,False,4.163750874737593,NEUTRAL,28.58,2026-06-30,28.55,6.900175131348507,PROMOTION_NEUTRAL,2026-07-01,-0.10496850944715641,-0.10496850944715641,4.273204903677752,7.53064798598948,-2.1716287215411634,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,True,False,True,True,True,True,True,False,False,KEEP_RESERVE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
00663L,國泰臺灣加權正2,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,0.743494423791824,-0.16449529094477722,,0.5217391304347845,0.15217391304347597,0.6992589034620128,25.0,0.0,92.46376811594203,3.6631900812599554,306521812.8000001,1,True,1,0,A,False,True,False,3.7639405204461074,NEUTRAL,107.6,2026-06-30,108.4,5.25830258302582,PROMOTION_NEUTRAL,2026-07-01,0.743494423791824,0.743494423791824,2.9981549815498054,11.854243542435427,-6.31918819188193,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,False,True,True,False,True,False,True,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
00661,元大日經225,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,0.5599104143336975,-0.3480793004029037,,0.6,0.4,0.6710806886222254,115.0,-88.0,79.6376811594203,1.458490407975205,-2058126.1999999997,0,True,1,0,A,True,True,False,1.7357222844344822,NEUTRAL,89.3,2026-06-30,89.8,1.3919821826280598,PROMOTION_NEUTRAL,2026-07-01,0.5599104143336975,0.5599104143336975,1.1692650334075738,4.565701559020052,-1.7260579064587889,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,False,True,True,False,False,False,False,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
00675L,富邦臺灣加權正2,2026-06-15,2026-06-16,DAY1,A,RANGE_NORMAL,0.9667024704618665,0.05871275572526535,,0.6500000000000016,0.14285714285714285,0.6859038590201642,34.0,-5.0,92.97101449275362,4.098182122811423,202987736.0,1,True,1,0,A,False,True,False,3.8514653981893465,NEUTRAL,325.85,2026-06-30,329.0,5.106382978723412,PROMOTION_NEUTRAL,2026-07-01,0.9667024704618665,0.9667024704618665,2.857142857142847,11.717325227963538,-6.595744680851057,1,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,False,False,False,True,True,True,False,True,False,True,False,REJECT_CONFIRMATION_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}"
