unit,feature,outcome,n,median,p25,p75,mean,effect_size_winner_vs_neutral,observed_winner_direction,dates_with_winner_neutral_comparison,direction_consistency_by_date,single_date_risk,discovery_p25,discovery_p75,winner_top_quartile_rate,winner_bottom_quartile_rate,neutral_top_quartile_rate,loser_top_quartile_rate
DAY3,return_day0_to_day3,WINNER,15,3.3368091762252305,1.568545478392025,8.082577720207263,6.912867761719662,1.3612416569958672,HIGHER,6,1.0,False,0.0,4.255319148936176,0.4666666666666667,0.13333333333333333,0.16417910447761194,0.05263157894736842
DAY3,return_day0_to_day3,NEUTRAL,134,0.8935369488133449,-0.4886363636363633,3.3631846726181025,1.2260147515939441,1.3612416569958672,HIGHER,6,1.0,False,0.0,4.255319148936176,0.4666666666666667,0.13333333333333333,0.16417910447761194,0.05263157894736842
DAY3,return_day0_to_day3,LOSER,19,-5.42082738944365,-8.604336043360428,-2.908851287149472,-5.95493440847369,1.3612416569958672,HIGHER,6,1.0,False,0.0,4.255319148936176,0.4666666666666667,0.13333333333333333,0.16417910447761194,0.05263157894736842
DAY3,market_excess_return_day0_to_day3,WINNER,15,4.363082892517379,1.997074407685706,9.472788641711206,7.999399653262317,1.936949282202044,HIGHER,6,1.0,False,-2.2307452009768802,1.296223610392766,0.8,0.0,0.3283582089552239,0.05263157894736842
DAY3,market_excess_return_day0_to_day3,NEUTRAL,134,0.33500696094220794,-0.9364214199060306,1.9358573909654981,0.35469808655813667,1.936949282202044,HIGHER,6,1.0,False,-2.2307452009768802,1.296223610392766,0.8,0.0,0.3283582089552239,0.05263157894736842
DAY3,market_excess_return_day0_to_day3,LOSER,19,-3.9405396143848197,-5.702392998288663,-0.9022990498021688,-4.437398649918778,1.936949282202044,HIGHER,6,1.0,False,-2.2307452009768802,1.296223610392766,0.8,0.0,0.3283582089552239,0.05263157894736842
DAY3,sector_excess_return_day0_to_day3,WINNER,14,4.624777268327939,3.3278518403817556,8.10764165059258,8.581120412025697,1.6033507119651784,HIGHER,5,1.0,False,-2.03833209191977,4.305587012443269,0.5333333333333333,0.0,0.03731343283582089,0.05263157894736842
DAY3,sector_excess_return_day0_to_day3,NEUTRAL,60,0.05872856280498273,-1.7146484458650662,1.5021824304333076,0.31325016092341773,1.6033507119651784,HIGHER,5,1.0,False,-2.03833209191977,4.305587012443269,0.5333333333333333,0.0,0.03731343283582089,0.05263157894736842
DAY3,sector_excess_return_day0_to_day3,LOSER,18,-2.6988284650764833,-6.018599538904499,-1.5816369224621982,-3.837757276153817,1.6033507119651784,HIGHER,5,1.0,False,-2.03833209191977,4.305587012443269,0.5333333333333333,0.0,0.03731343283582089,0.05263157894736842
DAY3,positive_days_count_3d,WINNER,15,2.0,1.5,2.0,1.8666666666666667,0.07566161960184077,HIGHER,6,0.5,False,1.0,3.0,0.13333333333333333,0.26666666666666666,0.27611940298507465,0.0
DAY3,positive_days_count_3d,NEUTRAL,134,2.0,1.0,3.0,1.7985074626865671,0.07566161960184077,HIGHER,6,0.5,False,1.0,3.0,0.13333333333333333,0.26666666666666666,0.27611940298507465,0.0
DAY3,positive_days_count_3d,LOSER,19,1.0,0.0,1.0,0.7368421052631579,0.07566161960184077,HIGHER,6,0.5,False,1.0,3.0,0.13333333333333333,0.26666666666666666,0.27611940298507465,0.0
DAY3,market_outperform_days_count_3d,WINNER,15,2.0,1.0,2.5,1.9333333333333333,0.5204532706267945,HIGHER,6,0.5,False,1.0,2.0,0.6666666666666666,0.3333333333333333,0.5074626865671642,0.10526315789473684
