policy,stock_id,stock_name,episode_start_date,episode_return_day0_to_day10,missed_winner
P1_D0_A,5434,崇越,2026-06-15,17.307692307692314,True
P1_D0_A,6213,聯茂,2026-06-17,34.01869158878505,True
P1_D0_A,7795,長廣,2026-06-17,52.75000000000001,True
P1_D0_A,2415,錩新,2026-06-22,37.45874587458744,True
P1_D0_A,2634,漢翔,2026-06-23,17.50503018108651,True
P1_D0_A,8046,南電,2026-06-23,13.311331133113312,True
P1_D0_A,Plastics,塑膠類指數,2026-06-24,13.321884200196266,True
P1_D0_A,2352,佳世達,2026-06-24,12.418300653594772,True
P1_D0_A,1709,和益,2026-06-25,14.018691588785035,True
P2_D0_B,5434,崇越,2026-06-15,17.307692307692314,True
P2_D0_B,6213,聯茂,2026-06-17,34.01869158878505,True
P2_D0_B,7795,長廣,2026-06-17,52.75000000000001,True
P2_D0_B,2415,錩新,2026-06-22,37.45874587458744,True
P2_D0_B,2634,漢翔,2026-06-23,17.50503018108651,True
P2_D0_B,2466,冠西電,2026-06-23,64.47602131438721,True
P2_D0_B,8046,南電,2026-06-23,13.311331133113312,True
P2_D0_B,Plastics,塑膠類指數,2026-06-24,13.321884200196266,True
P2_D0_B,2352,佳世達,2026-06-24,12.418300653594772,True
P2_D0_B,1709,和益,2026-06-25,14.018691588785035,True
P3_D0_C,5434,崇越,2026-06-15,17.307692307692314,True
P3_D0_C,6213,聯茂,2026-06-17,34.01869158878505,True
P3_D0_C,7795,長廣,2026-06-17,52.75000000000001,True
P3_D0_C,2415,錩新,2026-06-22,37.45874587458744,True
P3_D0_C,2634,漢翔,2026-06-23,17.50503018108651,True
P3_D0_C,2466,冠西電,2026-06-23,64.47602131438721,True
P3_D0_C,8046,南電,2026-06-23,13.311331133113312,True
P3_D0_C,Plastics,塑膠類指數,2026-06-24,13.321884200196266,True
P3_D0_C,2352,佳世達,2026-06-24,12.418300653594772,True
P3_D0_C,1709,和益,2026-06-25,14.018691588785035,True
P4_D1_A,5434,崇越,2026-06-15,17.307692307692314,True
P4_D1_A,1515,力山,2026-06-17,51.55642023346305,True
P4_D1_A,6213,聯茂,2026-06-17,34.01869158878505,True
P4_D1_A,7795,長廣,2026-06-17,52.75000000000001,True
