stock_id,stock_name,episode_start_date,dataset,normal_subregime,production_market_regime,market_path_state,entry_close,episode_return_day0_to_day10,episode_outcome,future_trade_date_10d,maturity_status,data_status
0055,元大MSCI金融,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,41.0,2.3658536585365875,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2891,中信金,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,70.1,1.2838801711840375,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00990A,主動元大AI新經濟,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,20.47,1.514411333659016,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00701,國泰股利精選30,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,37.62,4.253056884635842,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00876,元大全球5G,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,98.85,7.233181588265047,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6202,盛群,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,65.2,-0.1533742331288445,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00941,中信上游半導體,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,28.58,4.163750874737593,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00663L,國泰臺灣加權正2,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,107.6,3.7639405204461074,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00661,元大日經225,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,89.3,1.7357222844344822,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00675L,富邦臺灣加權正2,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,325.85,3.8514653981893465,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
