stock_id,stock_name,episode_start_date,evaluation_date,dataset,production_market_regime,market_path_state,normal_winner_enrichment_eligible,day0_state,day1_state,day3_state,episode_outcome,promotion_outcome,maturity_status,selection_use,point_in_time_valid
1232,大統益,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
1308,亞聚,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
2101,南港,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
2321,東訊,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
2374,佳能,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
2482,連宇,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
3596,智易,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
3694,海華,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
4564,元翎,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
4764,雙鍵,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
6142,友勁,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
6225,天瀚,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
6533,晶心科,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
6863,永道-KY,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
6933,AMAX-KY,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
8442,威宏-KY,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
9925,新保,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
9938,百和,2026-07-13,2026-07-13,C,VOLATILE_RANGE,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
1410,南染,2026-07-14,2026-07-14,C,RISK_OFF,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
1468,昶和,2026-07-14,2026-07-14,C,RISK_OFF,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
1476,儒鴻,2026-07-14,2026-07-14,C,RISK_OFF,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
1733,五鼎,2026-07-14,2026-07-14,C,RISK_OFF,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
1734,杏輝,2026-07-14,2026-07-14,C,RISK_OFF,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
2006,東和鋼鐵,2026-07-14,2026-07-14,C,RISK_OFF,RISK_OFF,False,EXCLUDED_NON_NORMAL_PHASE3G_SURVIVAL_DOMAIN,,,,,PENDING_FORWARD,EXCLUDED_FROM_THRESHOLD_AND_POLICY_SELECTION,True
