unit,stock_id,episode_start_date,confirmation_date,feature_as_of_date,max_source_date,promotion_reference_close,point_in_time_valid,future_feature_used,outcome_used_in_decision,audit_status
DAY0,0055,2026-06-15,2026-06-15,2026-06-15,2026-06-15,41.0,True,False,False,POINT_IN_TIME_VALID
DAY0,2891,2026-06-15,2026-06-15,2026-06-15,2026-06-15,70.1,True,False,False,POINT_IN_TIME_VALID
DAY0,00990A,2026-06-15,2026-06-15,2026-06-15,2026-06-15,20.47,True,False,False,POINT_IN_TIME_VALID
DAY0,00701,2026-06-15,2026-06-15,2026-06-15,2026-06-15,37.62,True,False,False,POINT_IN_TIME_VALID
DAY0,00876,2026-06-15,2026-06-15,2026-06-15,2026-06-15,98.85,True,False,False,POINT_IN_TIME_VALID
DAY0,6202,2026-06-15,2026-06-15,2026-06-15,2026-06-15,65.2,True,False,False,POINT_IN_TIME_VALID
DAY0,00941,2026-06-15,2026-06-15,2026-06-15,2026-06-15,28.58,True,False,False,POINT_IN_TIME_VALID
DAY0,00663L,2026-06-15,2026-06-15,2026-06-15,2026-06-15,107.6,True,False,False,POINT_IN_TIME_VALID
DAY0,00661,2026-06-15,2026-06-15,2026-06-15,2026-06-15,89.3,True,False,False,POINT_IN_TIME_VALID
DAY0,00675L,2026-06-15,2026-06-15,2026-06-15,2026-06-15,325.85,True,False,False,POINT_IN_TIME_VALID
DAY0,00685L,2026-06-15,2026-06-15,2026-06-15,2026-06-15,295.95,True,False,False,POINT_IN_TIME_VALID
DAY0,4952,2026-06-15,2026-06-15,2026-06-15,2026-06-15,58.5,True,False,False,POINT_IN_TIME_VALID
DAY0,00731,2026-06-15,2026-06-15,2026-06-15,2026-06-15,87.3,True,False,False,POINT_IN_TIME_VALID
DAY0,00915,2026-06-15,2026-06-15,2026-06-15,2026-06-15,31.46,True,False,False,POINT_IN_TIME_VALID
DAY0,00929,2026-06-15,2026-06-15,2026-06-15,2026-06-15,30.49,True,False,False,POINT_IN_TIME_VALID
DAY0,00901,2026-06-15,2026-06-15,2026-06-15,2026-06-15,46.6,True,False,False,POINT_IN_TIME_VALID
DAY0,00918,2026-06-15,2026-06-15,2026-06-15,2026-06-15,31.88,True,False,False,POINT_IN_TIME_VALID
DAY0,00939,2026-06-15,2026-06-15,2026-06-15,2026-06-15,21.27,True,False,False,POINT_IN_TIME_VALID
DAY0,00690,2026-06-15,2026-06-15,2026-06-15,2026-06-15,80.25,True,False,False,POINT_IN_TIME_VALID
DAY0,00954,2026-06-15,2026-06-15,2026-06-15,2026-06-15,21.08,True,False,False,POINT_IN_TIME_VALID
DAY0,00935,2026-06-15,2026-06-15,2026-06-15,2026-06-15,60.85,True,False,False,POINT_IN_TIME_VALID
DAY0,00830,2026-06-15,2026-06-15,2026-06-15,2026-06-15,98.45,True,False,False,POINT_IN_TIME_VALID
DAY0,00951,2026-06-15,2026-06-15,2026-06-15,2026-06-15,19.75,True,False,False,POINT_IN_TIME_VALID
DAY0,00735,2026-06-15,2026-06-15,2026-06-15,2026-06-15,113.0,True,False,False,POINT_IN_TIME_VALID
DAY0,5471,2026-06-15,2026-06-15,2026-06-15,2026-06-15,57.4,True,False,False,POINT_IN_TIME_VALID
DAY0,009804,2026-06-15,2026-06-15,2026-06-15,2026-06-15,23.67,True,False,False,POINT_IN_TIME_VALID
DAY0,4551,2026-06-15,2026-06-15,2026-06-15,2026-06-15,167.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00930,2026-06-15,2026-06-15,2026-06-15,2026-06-15,24.74,True,False,False,POINT_IN_TIME_VALID
DAY0,00900,2026-06-15,2026-06-15,2026-06-15,2026-06-15,19.51,True,False,False,POINT_IN_TIME_VALID
DAY0,009802,2026-06-15,2026-06-15,2026-06-15,2026-06-15,19.92,True,False,False,POINT_IN_TIME_VALID
DAY0,00631L,2026-06-15,2026-06-15,2026-06-15,2026-06-15,37.07,True,False,False,POINT_IN_TIME_VALID
DAY0,0050,2026-06-15,2026-06-15,2026-06-15,2026-06-15,105.25,True,False,False,POINT_IN_TIME_VALID
DAY0,00907,2026-06-15,2026-06-15,2026-06-15,2026-06-15,16.36,True,False,False,POINT_IN_TIME_VALID
DAY0,00905,2026-06-15,2026-06-15,2026-06-15,2026-06-15,27.7,True,False,False,POINT_IN_TIME_VALID
DAY0,3041,2026-06-15,2026-06-15,2026-06-15,2026-06-15,27.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00988A,2026-06-15,2026-06-15,2026-06-15,2026-06-15,22.36,True,False,False,POINT_IN_TIME_VALID
DAY0,00912,2026-06-15,2026-06-15,2026-06-15,2026-06-15,33.87,True,False,False,POINT_IN_TIME_VALID
DAY0,5434,2026-06-15,2026-06-15,2026-06-15,2026-06-15,468.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00850,2026-06-15,2026-06-15,2026-06-15,2026-06-15,90.35,True,False,False,POINT_IN_TIME_VALID
DAY0,00947,2026-06-15,2026-06-15,2026-06-15,2026-06-15,38.66,True,False,False,POINT_IN_TIME_VALID
DAY0,00923,2026-06-15,2026-06-15,2026-06-15,2026-06-15,42.39,True,False,False,POINT_IN_TIME_VALID
DAY0,00692,2026-06-15,2026-06-15,2026-06-15,2026-06-15,91.05,True,False,False,POINT_IN_TIME_VALID
DAY0,6191,2026-06-15,2026-06-15,2026-06-15,2026-06-15,103.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00908,2026-06-15,2026-06-15,2026-06-15,2026-06-15,15.12,True,False,False,POINT_IN_TIME_VALID
DAY0,006204,2026-06-15,2026-06-15,2026-06-15,2026-06-15,227.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00657,2026-06-15,2026-06-15,2026-06-15,2026-06-15,80.8,True,False,False,POINT_IN_TIME_VALID
DAY0,00944,2026-06-15,2026-06-15,2026-06-15,2026-06-15,21.36,True,False,False,POINT_IN_TIME_VALID
DAY0,006208,2026-06-15,2026-06-15,2026-06-15,2026-06-15,244.1,True,False,False,POINT_IN_TIME_VALID
DAY0,00927,2026-06-15,2026-06-15,2026-06-15,2026-06-15,39.61,True,False,False,POINT_IN_TIME_VALID
DAY0,3044,2026-06-15,2026-06-15,2026-06-15,2026-06-15,520.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00861,2026-06-16,2026-06-16,2026-06-16,2026-06-16,95.6,True,False,False,POINT_IN_TIME_VALID
DAY0,00913,2026-06-16,2026-06-16,2026-06-16,2026-06-16,52.0,True,False,False,POINT_IN_TIME_VALID
DAY0,00892,2026-06-16,2026-06-16,2026-06-16,2026-06-16,44.99,True,False,False,POINT_IN_TIME_VALID
DAY0,00991A,2026-06-16,2026-06-16,2026-06-16,2026-06-16,19.84,True,False,False,POINT_IN_TIME_VALID
DAY0,0053,2026-06-16,2026-06-16,2026-06-16,2026-06-16,241.8,True,False,False,POINT_IN_TIME_VALID
DAY0,00881,2026-06-16,2026-06-16,2026-06-16,2026-06-16,54.85,True,False,False,POINT_IN_TIME_VALID
DAY0,009816,2026-06-16,2026-06-16,2026-06-16,2026-06-16,15.51,True,False,False,POINT_IN_TIME_VALID
