stock_id,stock_name,episode_start_date,evaluation_date,dataset,normal_subregime,production_market_regime,market_path_state,first_seen_flag,days_since_episode_start,days_since_first_top120,days_since_first_breakout,days_since_first_volume_expansion,days_since_first_rs_above_80,days_since_first_momentum_top30,previous_top120_presence_20d,days_since_last_top120_exit,reentry_flag,reacceleration_flag,rs_market_pct_day0,rs_market_pct_day_minus_1,rs_market_pct_day_minus_3,rs_market_pct_day_minus_5,rs_market_pct_day_minus_10,rs_slope_3d,rs_slope_5d,rs_slope_10d,rs_positive_change_days_5d,rs_acceleration_3d_vs_5d,rs_distance_from_recent_peak,market_excess_return_1d,market_excess_return_3d,market_excess_return_5d,sector_excess_return_1d,sector_excess_return_3d,sector_excess_return_5d,institution_buy_days_3d,institution_buy_days_5d,institution_buy_days_10d,institution_flow_1d,institution_flow_3d,institution_flow_previous_3d,institution_flow_5d,institution_flow_10d,institution_flow_acceleration,institution_flow_concentration,institution_flow_volatility,foreign_buy_days_5d,trust_buy_days_5d,foreign_trust_alignment,price_flow_alignment,positive_price_flow_alignment,trend_efficiency_3d,trend_efficiency_5d,trend_efficiency_10d,max_drawdown_prior_5d,max_drawdown_prior_10d,downside_volatility_5d,reversal_count_5d,positive_close_count_5d,close_location_average_3d,close_location_average_5d,upper_shadow_average_3d,large_range_day_count_5d,return_1d,return_3d,return_5d,return_10d,volume_ratio_1d_20d,volume_ratio_3d_20d,volume_ratio_5d_20d,volume_expansion_days_5d,price_advance_per_volume_unit,price_new_high_volume_confirmation,price_new_high_volume_divergence,close_progress_3d,close_progress_5d,momentum_score,momentum_rank,momentum_score_percentile,momentum_rank_change_1d,momentum_rank_change_3d,raw_union_rank,source_A,source_B,source_C,source_D,source_combination,source_count,role,confidence,role_confidence_source,entry_close,episode_return_day0_to_day10,episode_outcome,future_trade_date_10d,maturity_status,feature_as_of_date,max_source_date,point_in_time_valid,data_status,date_split,d0_freshness_pass,d0_rs_path_pass,d0_rank_health_pass,d0_positive_family_count,d0_flow_pass,d0_efficiency_pass,D0_A_PASS,D0_B_PASS,D0_C_PASS,day0_state,bundle_thresholds,confirmation_date,promotion_reference_close,promotion_return_next_10d,promotion_outcome,promotion_maturity_date,pre_confirmation_return,price_move_before_confirmation,remaining_return_to_episode_day10,maximum_remaining_upside_10d,maximum_remaining_downside_10d,promotion_delay_sessions,policy,confirmation_unit,day1_return_from_day0_close,day1_market_excess_return,day1_sector_excess_return,day1_close_location,day1_upper_shadow,day1_volume_ratio,day1_momentum_rank,day1_momentum_rank_change,day1_rs_market_pct,day1_rs_change,day1_institution_flow,day1_price_flow_alignment,day1_top120_status,day1_source_count,day1_source_change,day1_source_combination,day1_breakout_hold,day1_gap_hold,day1_failed_follow_through,d1_relative_pass,d1_rs_health_pass,d1_rank_health_pass,D1_A_PASS,d1_flow_pass,D1_B_PASS,d1_controlled_pass,D1_C_PASS,day1_promotion_state,return_day0_to_day3,market_excess_return_day0_to_day3,sector_excess_return_day0_to_day3,positive_days_count_3d,market_outperform_days_count_3d,momentum_rank_change_day0_to_day3,day3_momentum_rank,rs_change_day0_to_day3,day3_rs_market_pct,rs_positive_days_3d,institution_buy_days_day1_to_day3,institution_flow_day1_to_day3,institution_flow_acceleration_day3,volume_confirmation_day1_to_day3,volume_without_price_progress_day1_to_day3,trend_efficiency_day0_to_day3,max_drawdown_day0_to_day3,day3_top120_status,day3_source_count,day3_source_combination,breakout_hold_day3,reacceleration_by_day3,d3_relative_pass,d3_rs_health_pass,d3_rank_health_pass,D3_A_PASS,d3_flow_pass,D3_B_PASS,d3_controlled_pass,D3_C_PASS,day3_promotion_state,staged_promotion_stage
6202,盛群,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,False,False,91.11271676300578,79.5355587808418,12.400290065264684,5.49530007230658,55.00725689404935,26.237475565913698,17.12348333813984,3.610545986895643,5.0,9.113992227773856,0.0,6.98419500519345,24.08537619377822,21.757958209697126,8.457021658252216,26.984848064857747,23.088347975629087,3.0,4.0,5.0,354236490.0,549478792.8,-73042327.10000002,537836936.7,415598292.5,622521119.9,0.5091557257755188,121178548.39580902,4.0,2.0,0.0,1.0,1.0,1.0,0.737704918032787,0.27203065134099635,-4.536862003780717,-13.527397260273965,0.0,2.0,4.0,0.9177859177859179,0.7397471809236511,0.08221408221408207,2.0,9.764309764309775,29.108910891089113,26.112185686653767,12.22030981067126,5.553681690617235,2.947408824310007,1.9255357841683847,2.0,13.560997360498964,1.0,0.0,29.108910891089113,26.112185686653767,73.7,21.0,0.8416666666666667,,,21.0,False,False,True,False,C,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,65.2,-0.1533742331288445,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,65.2,-0.1533742331288445,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,-0.1533742331288445,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00941,中信上游半導體,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,False,False,83.02023121387283,74.31059506531204,53.87962291515591,46.2762111352133,54.13642960812772,9.713536099572307,7.348804015731906,2.888380160574511,4.0,2.3647320838404013,0.0,1.374404191320977,6.182690983622963,9.692061429667454,,,,3.0,5.0,10.0,17714169.799999997,72407195.21,72244240.05999999,119539711.42999999,306705480.61,162955.15000000596,0.3154430584271912,24723685.70103932,5.0,0.0,0.0,1.0,1.0,1.0,0.9887640449438204,0.5007751937984489,-0.07776049766717863,-5.183503594400307,0.0,2.0,4.0,0.911789297658865,0.7703986406300569,0.08821070234113497,3.0,4.154518950437303,11.206225680933857,14.046288906624094,12.741617357001967,0.8740508847941556,1.1566064455832272,1.0937564380780618,2.0,12.842245693480073,0.0,1.0,11.206225680933857,14.046288906624094,73.5,23.0,0.8166666666666667,,,23.0,True,False,False,False,A,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,28.58,4.163750874737593,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,28.58,4.163750874737593,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,4.163750874737593,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4952,凌通,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,0.0,1.0,0.0,,0.0,,False,False,85.11560693641619,64.94920174165458,14.285714285714286,8.532176428054953,69.66618287373004,23.609964216900632,15.316686101672246,1.5449424062686148,4.0,8.293278115228386,0.0,5.95594472043759,19.048575589009367,22.81968556652163,6.323778777799528,21.43474764895761,26.96114708603146,3.0,3.0,3.0,72125995.5,88161051.5,-12856055.4,83706758.1,51259877.89999999,101017106.9,0.5767208718885972,23186367.54558055,3.0,0.0,0.0,1.0,1.0,1.0,0.7668711656441719,0.27500000000000013,-3.873598369011211,-11.538461538461542,0.0,2.0,4.0,0.6662449926207038,0.5845691299597738,0.20472274931477974,3.0,8.736059479553916,24.07211028632026,27.173913043478272,12.71676300578035,3.0445610698161123,2.3044500404428945,1.491429047666803,2.0,18.220050820378777,1.0,0.0,24.07211028632026,27.173913043478272,72.2,31.0,0.75,,,31.0,False,False,True,False,C,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,58.5,-1.7094017094017144,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,58.5,-1.7094017094017144,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,-1.7094017094017144,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00954,中信日本半導體,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,1.0,0.0,1.0,,0.0,,False,False,90.02890173410404,86.066763425254,46.337926033357505,32.031814895155456,60.0145137880987,14.563658566915512,11.599417367789716,3.001438794600534,4.0,2.964241199125796,0.0,2.9900809257808136,10.673501526618857,14.205952500546147,,,,2.0,4.0,6.0,-1689035.0000000112,50912882.31999999,-16674358.73000002,67616366.40999998,28913657.059999976,67587241.05000001,0.24183320553868456,17194202.2312373,3.0,0.0,0.0,0.0,0.0,1.0,0.8168316831683163,0.37171464330413023,-1.9903173749327596,-10.563380281690126,0.0,2.0,4.0,0.8526281589982263,0.6979894886052322,0.14737184100177378,3.0,5.770195684897139,15.69703622392975,18.560179977502788,16.39977912755384,1.3381407228572708,1.3594631725442843,1.2822295684583522,3.0,14.474927449862218,1.0,0.0,15.69703622392975,18.560179977502788,70.2,54.0,0.5583333333333333,,,54.0,True,False,False,False,A,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,21.08,6.166982922201147,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,21.08,6.166982922201147,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,6.166982922201147,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00951,台新日本半導體,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,1.0,1.0,1.0,,0.0,,False,False,89.45086705202313,85.3410740203193,44.017403915881076,32.176428054953,59.796806966618284,15.14448771204735,11.454887799414026,2.9654060085404845,4.0,3.6895999126333248,0.0,3.1748208632012664,10.880221171233707,14.051048302419854,,,,2.0,4.0,8.0,-7210567.0,57312687.010000005,7464988.6000000015,108875308.85000001,129349221.1,49847698.410000004,0.22055239863358728,27201922.334326256,4.0,0.0,0.0,0.0,0.0,1.0,0.7932816537467692,0.3766937669376694,-2.2935779816513846,-10.080862533692725,0.0,2.0,4.0,0.8228065195278296,0.6716687437860374,0.17719348047217043,3.0,5.954935622317592,15.9037558685446,18.405275779376495,16.381850324101354,1.3145855449442132,1.1118372311875666,1.0765387422665136,2.0,17.096714736551476,1.0,0.0,15.9037558685446,18.405275779376495,69.8,58.0,0.525,,,58.0,True,False,False,False,A,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,19.75,6.278481012658221,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,19.75,6.278481012658221,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,6.278481012658221,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,松翰,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,0.0,1.0,12.0,,0.0,,False,False,79.6242774566474,63.64296081277213,23.132704858593183,25.95806218365871,87.4455732946299,18.830524199351405,10.73324305459774,-0.7821295837982489,4.0,8.097281144753666,-5.38658423777693,3.123944281474067,13.449117521471354,15.229105856376687,2.428545612470323,11.96858717813185,13.252735443532625,3.0,5.0,9.0,143730403.6,252601889.5,41929588.25,285451797.75,298914078.45000005,210672301.25,0.43883454989459303,44775675.61521872,5.0,0.0,0.0,1.0,1.0,1.0,0.7899159663865546,0.2499999999999998,-2.515090543259557,-9.6045197740113,0.0,2.0,4.0,0.6654095838493005,0.5428210482510759,0.33459041615069945,4.0,5.9040590405903925,18.472652218782248,19.58333333333333,8.097928436911484,2.4207094686993478,1.7565524684125182,1.2370143566235012,2.0,15.831128578642462,1.0,0.0,18.472652218782248,19.58333333333333,69.3,63.0,0.48333333333333334,90.0,,63.0,True,False,False,False,A,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,57.4,7.317073170731714,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,57.4,7.317073170731714,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,7.317073170731714,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,智伸科,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,0.0,1.0,0.0,,0.0,,False,False,81.28612716763006,31.712626995645863,9.209572153734591,17.49819233550253,73.87518142235123,24.025518337965156,12.757586966425505,0.7410945745278823,2.0,11.267931371539651,0.0,7.088306293515246,16.431010757234567,15.359034171788874,8.749688683899205,19.642951251646902,17.035559896680194,2.0,2.0,4.0,61404063.0,124295726.5,-52893215.5,54000723.0,50287695.0,177188942.0,0.2867190833104132,36467593.803132616,5.0,0.0,0.0,1.0,1.0,1.0,0.6790123456790124,0.24770642201834864,-4.513888888888884,-10.423452768729646,0.0,2.0,4.0,0.9743589743589745,0.8221153846153847,0.025641025641025644,0.0,9.868421052631572,21.45454545454546,19.713261648745515,8.794788273615639,2.597456860464276,1.6036752265276948,1.4620230014971807,3.0,13.483550962302374,1.0,0.0,21.45454545454546,19.713261648745515,68.4,70.0,0.425,,,70.0,False,False,True,False,C,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,167.0,34.730538922155695,WINNER,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,167.0,34.730538922155695,PROMOTION_WINNER,2026-06-30,0.0,0.0,34.730538922155695,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,揚智,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,16.0,0.0,0.0,,0.0,,False,False,80.9971098265896,61.756168359941945,37.34590282813633,18.872017353579174,62.191582002902756,14.550402332817754,12.425018494602083,1.8805527823686838,5.0,2.1253838382156705,0.0,7.199518642105663,8.660675829004894,11.525600849223604,6.504119973101919,7.18014548566539,9.549230436379542,2.0,2.0,3.0,56468556.0,64200385.95,-16498521.700000001,57369243.95,42326214.0,80698907.65,0.3776569634273864,21090881.893547375,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.17419354838709697,0.0,-12.075471698113205,0.0,0.0,5.0,0.555088702147526,0.5426686059039,0.3323996265172734,2.0,9.979633401221989,13.684210526315788,15.879828326180245,5.2631578947368585,2.7951774385322334,1.5420805043368615,1.2898263004394626,2.0,12.311602206258128,0.0,0.0,13.684210526315788,15.879828326180245,66.3,90.0,0.26666666666666666,99.0,,90.0,True,False,True,False,AC,2.0,,,PRODUCTION_FINAL_WATCH_SNAPSHOT,27.0,5.9259259259259345,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,True,True,True,True,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,27.0,5.9259259259259345,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,5.9259259259259345,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,健鼎,2026-06-15,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,,3.0,,,0.0,,False,False,73.04913294797687,51.959361393323654,9.862218999274837,32.89949385394071,70.53701015965167,21.062304649567345,8.029927818807232,0.25121227883252006,4.0,13.032376830760112,0.0,1.847651840481257,3.535964258847769,4.432383401704443,1.7264126344138209,3.5447496936217746,4.619944211994431,2.0,3.0,5.0,1043724240.0,1355658037.0,-11592357.0,1373641930.0,1609417756.0,1367250394.0,0.43034647280055466,354064646.44935626,3.0,3.0,1.0,1.0,1.0,1.0,0.5,0.015151515151515152,-4.200000000000004,-7.722007722007717,0.0,2.0,4.0,0.5689655172413793,0.5297931034482758,0.3160919540229885,0.0,4.6277665995975825,8.559498956158663,8.786610878661083,0.38610038610038533,0.8184152363836245,0.7139587428423142,0.9545548011711487,1.0,9.204930788552675,0.0,0.0,8.559498956158663,8.786610878661083,64.0,117.0,0.03333333333333333,,,117.0,True,False,False,False,A,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,520.0,-0.3846153846153832,NEUTRAL,2026-06-30,MATURED,2026-06-15,2026-06-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,False,True,True,False,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-15,520.0,-0.3846153846153832,PROMOTION_NEUTRAL,2026-06-30,0.0,0.0,-0.3846153846153832,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00983A,主動中信ARK創新,2026-06-16,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,True,0.0,0.0,12.0,3.0,,,0.0,,False,False,58.55072463768116,45.88150289017341,15.656565656565656,23.32129963898917,49.52932657494569,14.298052993705168,7.045884999738396,0.9021398062735464,3.0,7.252167993966772,0.0,0.9691433910654412,1.988180203736344,1.445218040654983,,,,3.0,5.0,10.0,52401113.82,183084561.4,250018288.92,425841836.73999995,493905465.21999997,-66933727.51999998,0.48257559161414293,67065016.5404562,4.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333325,0.07438016528925603,-3.9164490861618884,-8.910891089108908,0.023960908164794015,1.0,3.0,0.7676767676767661,0.6434937611408172,0.2323232323232338,2.0,1.8771331058020424,8.15217391304348,3.916449086161866,-1.4851485148514865,1.0962150467782728,1.3966222755606958,1.9616176892978219,3.0,1.9965404612372726,0.0,0.0,8.15217391304348,3.916449086161866,66.7,88.0,0.2833333333333333,71.0,,88.0,True,False,False,False,A,1.0,,,UNAVAILABLE_IN_FROZEN_TOP120,11.94,3.433835845896138,NEUTRAL,2026-07-01,MATURED,2026-06-16,2026-06-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,DISCOVERY,True,True,False,2.0,True,False,True,True,False,WATCH_CANDIDATE_SHADOW,"{""d0_fresh_rs_p40"": 1.0, ""d0_fresh_volume_p40"": 3.0, ""d0_rs_slope5_p70"": 6.708057106025629, ""d0_rank_change3_p50"": 114.0, ""d0_flow_buy_days5_p70"": 4.0, ""d0_trend_eff5_p50"": 0.5314861460957175, ""d0_close_progress3_p50"": 5.966850828729298, ""d1_market_excess_p70"": 0.033209940654632675, ""d1_rs_change_p40"": 0.04062997403032401, ""d1_rank_change_p40"": -22.4, ""d1_flow_p50"": 4943366.0, ""d1_close_location_p30"": 0.43671497584541175, ""d1_upper_shadow_p70"": 0.23815384615384746, ""d3_rs_change_p40"": -2.0465804520160695, ""d3_rank_change_p40"": -73.39999999999999, ""d3_flow_acceleration_p50"": -16293412.410000004, ""d3_trend_eff_p50"": 0.8554216867469907, ""d3_max_drawdown_p30"": -2.645937542246859}",2026-06-16,11.94,3.433835845896138,PROMOTION_NEUTRAL,2026-07-01,0.0,0.0,3.433835845896138,,,0,P1_D0_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
