policy_family,policy,evaluation_scope,availability,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_episode_return,median_episode_return,confirmation_precision,promotion_completed_count,promotion_winner_count,promotion_winner_rate,promotion_neutral_count,promotion_neutral_rate,promotion_loser_count,promotion_loser_rate,promotion_safe_rate,false_confirmation_rate,promotion_delay_median,pre_confirmation_return_mean,pre_confirmation_return_median,post_promotion_mean_return,post_promotion_median_return,late_confirmation_rate,promotion_damage_rate,point_in_time_valid_rate,date_distribution
STAGED,S0_DAY0_ONLY,DISCOVERY,AVAILABLE,15,3,5,3.0,1.0,0.4,0.14285714285714285,3,0.2,10,0.6666666666666666,2,0.13333333333333333,0.03736125876428492,0.37881983053980567,0.8666666666666667,0.23076923076923078,0.42857142857142855,0.8888888888888888,0.75,7.394137375878798,4.924242424242431,0.2,15,3,0.2,10,0.6666666666666666,2,0.13333333333333333,0.8666666666666667,0.8,0.0,0.0,0.0,7.394137375878798,4.924242424242431,0.0,0.0,1.0,"{""2026-06-15"": 8, ""2026-06-16"": 0, ""2026-06-17"": 6, ""2026-06-18"": 0, ""2026-06-22"": 1}"
STAGED,S1_DAY1_ONLY,DISCOVERY,AVAILABLE,3,2,5,0.6,0.0,0.6,0.02857142857142857,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0.0,0.5614970356393196,1.0,0.6666666666666666,0.2857142857142857,0.9888888888888889,1.0,20.954379428934654,24.504692387904072,0.6666666666666666,3,2,0.6666666666666666,1,0.3333333333333333,0,0.0,1.0,0.3333333333333333,1.0,6.768512396842226,7.820646506777895,16.211256756989577,20.116054158607355,0.0,0.0,1.0,"{""2026-06-15"": 1, ""2026-06-16"": 0, ""2026-06-17"": 2, ""2026-06-18"": 0, ""2026-06-22"": 0}"
STAGED,S2_DAY3_ONLY,DISCOVERY,AVAILABLE,2,1,5,0.4,0.0,0.8,0.01904761904761905,1,0.5,1,0.5,0,0.0,0.0,0.6576197760453506,1.0,0.5,0.14285714285714285,0.9888888888888889,1.0,17.172961768770158,17.172961768770158,0.5,2,1,0.5,0,0.0,1,0.5,0.5,0.5,3.0,21.413519115614932,21.413519115614932,5.194631242638049,5.194631242638049,1.0,0.0,1.0,"{""2026-06-15"": 2, ""2026-06-16"": 0, ""2026-06-17"": 0, ""2026-06-18"": 0, ""2026-06-22"": 0}"
STAGED,P10_STAGED_DAY1_DAY3,DISCOVERY,AVAILABLE,4,2,5,0.8,0.0,0.6,0.0380952380952381,2,0.5,2,0.5,0,0.0,0.0,0.4898908403969213,1.0,0.5,0.2857142857142857,0.9777777777777777,1.0,15.619630725547147,14.066299682324136,0.5,4,2,0.5,1,0.25,1,0.25,0.75,0.5,1.0,7.624461220708595,8.850443013867991,9.846051642785813,10.556667151833143,0.0,0.0,1.0,"{""2026-06-15"": 2, ""2026-06-16"": 0, ""2026-06-17"": 2, ""2026-06-18"": 0, ""2026-06-22"": 0}"
STAGED,S0_DAY0_ONLY,VALIDATION,AVAILABLE,6,2,2,3.0,3.0,0.0,0.15384615384615385,2,0.3333333333333333,1,0.16666666666666666,3,0.5,0.18761630498040816,0.8123836950195918,0.5,0.6666666666666666,0.2857142857142857,0.96,0.5714285714285714,5.235729390647691,-5.15368958498637,0.3333333333333333,6,2,0.3333333333333333,1,0.16666666666666666,3,0.5,0.5,0.6666666666666666,0.0,0.0,0.0,5.235729390647691,-5.15368958498637,0.0,0.0,1.0,"{""2026-06-23"": 4, ""2026-06-24"": 2}"
STAGED,S1_DAY1_ONLY,VALIDATION,AVAILABLE,1,1,2,0.5,0.5,0.5,0.02564102564102564,1,1.0,0,0.0,0,0.0,0.0,0.7934506882081973,1.0,1.0,0.14285714285714285,1.0,1.0,64.47602131438721,64.47602131438721,1.0,1,1,1.0,0,0.0,0,0.0,1.0,0.0,1.0,4.795737122557742,4.795737122557742,64.23728813559325,64.23728813559325,0.0,0.0,1.0,"{""2026-06-23"": 1, ""2026-06-24"": 0}"
STAGED,S2_DAY3_ONLY,VALIDATION,AVAILABLE,0,0,2,0.0,0.0,1.0,0.0,0,,0,,0,,,,,,0.0,1.0,1.0,,,,0,0,,0,,0,,,,,,,,,,,1.0,"{""2026-06-23"": 0, ""2026-06-24"": 0}"
STAGED,P10_STAGED_DAY1_DAY3,VALIDATION,AVAILABLE,1,1,2,0.5,0.5,0.5,0.02564102564102564,1,1.0,0,0.0,0,0.0,0.0,0.7934506882081973,1.0,1.0,0.14285714285714285,1.0,1.0,64.47602131438721,64.47602131438721,1.0,1,1,1.0,0,0.0,0,0.0,1.0,0.0,1.0,4.795737122557742,4.795737122557742,64.23728813559325,64.23728813559325,0.0,0.0,1.0,"{""2026-06-23"": 1, ""2026-06-24"": 0}"
STAGED,S0_DAY0_ONLY,LOCKED_EVALUATION,AVAILABLE,4,1,2,2.0,2.0,0.5,0.16666666666666666,0,0.0,3,0.75,1,0.25,0.04558726029536886,0.6993581599030918,0.75,0.0,0.0,0.8421052631578947,0.75,-3.4334101169981,-1.1901285046728882,0.0,4,0,0.0,3,0.75,1,0.25,0.75,1.0,0.0,0.0,0.0,-3.4334101169981,-1.1901285046728882,,,1.0,"{""2026-06-25"": 0, ""2026-07-01"": 4}"
STAGED,S1_DAY1_ONLY,LOCKED_EVALUATION,AVAILABLE,1,1,2,0.5,0.5,0.5,0.041666666666666664,0,0.0,1,1.0,0,0.0,0.0,0.7934506882081973,1.0,0.0,0.0,0.9473684210526315,1.0,-0.8177570093457764,-0.8177570093457764,0.0,1,0,0.0,0,0.0,1,1.0,0.0,1.0,1.0,5.257009345794383,5.257009345794383,-11.98668146503884,-11.98668146503884,,,1.0,"{""2026-06-25"": 0, ""2026-07-01"": 1}"
STAGED,S2_DAY3_ONLY,LOCKED_EVALUATION,AVAILABLE,0,0,2,0.0,0.0,1.0,0.0,0,,0,,0,,,,,,0.0,1.0,1.0,,,,0,0,,0,,0,,,,,,,,,,,1.0,"{""2026-06-25"": 0, ""2026-07-01"": 0}"
STAGED,P10_STAGED_DAY1_DAY3,LOCKED_EVALUATION,AVAILABLE,1,1,2,0.5,0.5,0.5,0.041666666666666664,0,0.0,1,1.0,0,0.0,0.0,0.7934506882081973,1.0,0.0,0.0,0.9473684210526315,1.0,-0.8177570093457764,-0.8177570093457764,0.0,1,0,0.0,0,0.0,1,1.0,0.0,1.0,1.0,5.257009345794383,5.257009345794383,-11.98668146503884,-11.98668146503884,,,1.0,"{""2026-06-25"": 0, ""2026-07-01"": 1}"
STAGED,S0_DAY0_ONLY,ALL_NORMAL_A,AVAILABLE,25,6,9,2.7777777777777777,2.0,0.3333333333333333,0.1488095238095238,5,0.2,14,0.56,6,0.24,0.11496313626452448,0.4342968351708788,0.76,0.2631578947368421,0.3333333333333333,0.8955223880597015,0.6842105263157895,5.143711860563029,1.4285714285714235,0.2,25,5,0.2,14,0.56,6,0.24,0.76,0.8,0.0,0.0,0.0,5.143711860563029,1.4285714285714235,0.0,0.0,1.0,"{""2026-06-15"": 8, ""2026-06-16"": 0, ""2026-06-17"": 6, ""2026-06-18"": 0, ""2026-06-22"": 1, ""2026-06-23"": 4, ""2026-06-24"": 2, ""2026-06-25"": 0, ""2026-07-01"": 4}"
STAGED,S1_DAY1_ONLY,ALL_NORMAL_A,AVAILABLE,5,4,9,0.5555555555555556,0.0,0.5555555555555556,0.02976190476190476,3,0.6,2,0.4,0,0.0,0.0,0.43448246865939283,1.0,0.6,0.2,0.9850746268656716,1.0,25.304280518369076,24.504692387904072,0.6,5,3,0.6,1,0.2,1,0.2,0.8,0.4,1.0,6.071656731775761,5.257009345794383,20.17687538830463,20.116054158607355,0.0,0.0,1.0,"{""2026-06-15"": 1, ""2026-06-16"": 0, ""2026-06-17"": 2, ""2026-06-18"": 0, ""2026-06-22"": 0, ""2026-06-23"": 1, ""2026-06-24"": 0, ""2026-06-25"": 0, ""2026-07-01"": 1}"
STAGED,S2_DAY3_ONLY,ALL_NORMAL_A,AVAILABLE,2,1,9,0.2222222222222222,0.0,0.8888888888888888,0.011904761904761904,1,0.5,1,0.5,0,0.0,0.0,0.6576197760453506,1.0,0.5,0.06666666666666667,0.9925373134328358,1.0,17.172961768770158,17.172961768770158,0.5,2,1,0.5,0,0.0,1,0.5,0.5,0.5,3.0,21.413519115614932,21.413519115614932,5.194631242638049,5.194631242638049,1.0,0.0,1.0,"{""2026-06-15"": 2, ""2026-06-16"": 0, ""2026-06-17"": 0, ""2026-06-18"": 0, ""2026-06-22"": 0, ""2026-06-23"": 0, ""2026-06-24"": 0, ""2026-06-25"": 0, ""2026-07-01"": 0}"
STAGED,P10_STAGED_DAY1_DAY3,ALL_NORMAL_A,AVAILABLE,6,4,9,0.6666666666666666,0.0,0.5555555555555556,0.03571428571428571,3,0.5,3,0.5,0,0.0,0.0,0.39033429165637346,1.0,0.5,0.2,0.9776119402985075,1.0,21.02279786787167,14.066299682324136,0.5,6,3,0.5,1,0.16666666666666666,2,0.3333333333333333,0.6666666666666666,0.5,1.0,6.758431891864416,6.538827926286139,15.272468873616276,10.556667151833143,0.0,0.0,1.0,"{""2026-06-15"": 2, ""2026-06-16"": 0, ""2026-06-17"": 2, ""2026-06-18"": 0, ""2026-06-22"": 0, ""2026-06-23"": 1, ""2026-06-24"": 0, ""2026-06-25"": 0, ""2026-07-01"": 1}"
