evaluation_date,cohort_source,config_hash,code_version,prompt_version,raw_union_available,raw_union_count,raw_union_hash,top120_available,top120_count,top120_hash,phase2_episode_proxy_count,phase2_episode_proxy_hash,production_market_regime,market_path_state,input_snapshot_status
2026-07-13,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,473.0,922b64e4fd2f52852775fcb343856e14c2c0153dc248940ec5a6651ba65b7863,True,120.0,b7de035786577dbb08f285f6334111018c2275e7431fb830de9de35cd2b546bd,18,f00b7d1ef0fa279e084a622f17c40451a90d343b1f1be7f3f706f11bb921bcf4,VOLATILE_RANGE,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-14,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,391.0,6b1b5621589a92a33fe39cfd4beef1f9307f431b85ed5229884fa15702b313ac,True,120.0,2a332575c1d9bbfd76c335dfc415dfe679d27e0fe9ee1f4f05cbc8560a5af09b,21,20803fdc759b98bbdbc83aa658f80b1988e42f376c24d142f14b20b83e44faa4,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-15,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,444.0,3040cdad92d0034964f953e23bc290d4526316dc7875340ba928887000feb767,True,120.0,00706f817ae5cdc066747c9dfe165511138768930c0a63d49bed5d05ed39c951,8,a538f0fe4c0d7e827d1b8b2193b49ba1dd7a92bf70b2a497427e8e10772b4224,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-16,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,354.0,871c97adfaa60d841524b8785213b6de9dfa2ee12d49fc4d761bed9673aa0513,True,120.0,0e5ea406aaf993c5bf60e0a5131dca628903538ac7e9ee6127f560efc60e03ca,15,7f4ca0d09568523322351f33ae978236375385b6c6c76dd7f2da56cbbf857e87,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-17,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,387.0,84404c175d23444aa6f0f5e8738d6ce4d97aa8939a8141317d87dd547f5bd5cb,True,120.0,5af2e5ebd53acef17ff39ebb558a5b43a8c98c01ae5a929dd2ff11141a24a033,16,db20541f35a40a40d71025c7ea9721bd02ea69106330e7430ae090df2da3e402,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-20,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,414.0,79165af65f3be3359aa07ba345e91637f575796dc01e6d9129cdca1240c233b9,True,120.0,8223d96a10e732b4edda58b69c3e08b35b48834dda0cb2ca0b7534efdb05b2ba,14,8df00b8d96d0724c6dc50fb972a3c6590793feb3e5486325fffb99bbc05c96a2,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-21,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,445.0,747831de19d121ec18d9a4d6fe9a703a6353f57016af69019a95a93d4b6bbaa4,True,120.0,15f471eb17cfc0df319d805b754a86bf35dd3de4277eb20904b29ebf59576669,6,b4ddb1e6b518ee1b9044b7d4e89541c2b4c05e5390a6f864bd818617de64d8eb,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-22,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v5,True,625.0,535b5af20f9daaa4a04b5ecb51248d64c419c7826c8f0cc352891a3cd0e4d1d6,True,120.0,5b4a8d729567ce1fd6d3ef300bd983d9e7115204a2811b2b2e447351186cf008,25,6d9569a7430839345915ab53be53fa01b0788f24cecd5089fe0be65316ce8acb,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-23,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v6,True,686.0,3743cd06c961ba1779ff3f29e29c330fc980b6ea22e1e300795783dde3fd948c,True,120.0,e07f57c2bf38269824dd27e16a27ae03bb786d100f4020126dddbd291ab2a2ae,7,864c35d8b1766fbeb903b9b3eb1af71bbaa96abb2edc104e2624bf4c7dbd4c03,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
2026-07-24,EXISTING_PENDING,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0,c094178c6c49274483c851ff010ef1427f103cc2,v6,True,355.0,af3805299ca8f3abf919fc4a3927b1cee9b1073a0dcf231c3dba33cb8680f992,True,120.0,1b43bd899fcf215eea7b96117ab9f63aa4609c549d0bc5632831d5a46129ca40,10,23878b18a0fe74fcc2128cc1bb97e86e256dbbc20322f8576a3c967b6bd525b6,RISK_OFF,RISK_OFF,FROZEN_RECONSTRUCTED_PROXY_AVAILABLE
