evaluation_date,cohort_source,production_market_regime,market_path_state,normal_eligible_count,normal_day1_c_pass_count,normal_matured_promotion_count,risk_eligible_count,risk_selected_count,risk_matured_selected_count,risk_pending_selected_count,risk_winner_count,risk_neutral_count,risk_loser_count,data_status
2026-07-13,EXISTING_PENDING,VOLATILE_RANGE,RISK_OFF,0,0,0,18,5,5,0,1,4,0,EARLY_READ_ONLY
2026-07-14,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,21,12,0,12,0,0,0,EARLY_READ_ONLY
2026-07-15,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,8,2,0,2,0,0,0,EARLY_READ_ONLY
2026-07-16,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,15,5,0,5,0,0,0,EARLY_READ_ONLY
2026-07-17,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,16,0,0,0,0,0,0,EARLY_READ_ONLY
2026-07-20,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,14,0,0,0,0,0,0,EARLY_READ_ONLY
2026-07-21,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,6,0,0,0,0,0,0,EARLY_READ_ONLY
2026-07-22,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,25,0,0,0,0,0,0,EARLY_READ_ONLY
2026-07-23,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,7,1,0,1,0,0,0,EARLY_READ_ONLY
2026-07-24,EXISTING_PENDING,RISK_OFF,RISK_OFF,0,0,0,10,4,0,4,0,0,0,EARLY_READ_ONLY
2026-07-27,EXISTING_PENDING,,,0,0,0,0,0,0,0,0,0,0,INPUT_SNAPSHOT_UNAVAILABLE_NOT_FABRICATED
