branch,cohort_source,policy,eligible_count,available_day1_count,selected_count,matured_selected_count,pending_selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,promotion_winner_count,promotion_neutral_count,promotion_loser_count,promotion_loser_rate,promotion_safe_rate,promotion_winner_dominance,promotion_winner_rate,episode_winner_recall,promotion_mean_return_10d,promotion_median_return_10d,promotion_mean_mfe_10d,promotion_mean_mae_10d,pre_confirmation_return_mean,promotion_delay_sessions_median,macro_daily_promotion_winner_rate,macro_daily_promotion_safe_rate,point_in_time_valid_rate,availability
N,EXISTING_PENDING,N0_NORMAL_PHASE2_BASELINE,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,EXISTING_PENDING,N1_FROZEN_DAY1_C,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,EXISTING_PENDING,N2_MOMENTUM_TOP1,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,EXISTING_PENDING,N3_MOMENTUM_TOP2,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,EXISTING_PENDING,N4_MOMENTUM_TOP3,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,EXISTING_PENDING,N_COUNT_MATCHED_MOMENTUM,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,PROSPECTIVE_NEW_DATA,N0_NORMAL_PHASE2_BASELINE,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,PROSPECTIVE_NEW_DATA,N1_FROZEN_DAY1_C,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,PROSPECTIVE_NEW_DATA,N2_MOMENTUM_TOP1,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,PROSPECTIVE_NEW_DATA,N3_MOMENTUM_TOP2,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,PROSPECTIVE_NEW_DATA,N4_MOMENTUM_TOP3,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,PROSPECTIVE_NEW_DATA,N_COUNT_MATCHED_MOMENTUM,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,COMBINED,N0_NORMAL_PHASE2_BASELINE,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,COMBINED,N1_FROZEN_DAY1_C,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,COMBINED,N2_MOMENTUM_TOP1,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,COMBINED,N3_MOMENTUM_TOP2,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,COMBINED,N4_MOMENTUM_TOP3,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
N,COMBINED,N_COUNT_MATCHED_MOMENTUM,0,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,,,NO_INDEPENDENT_NORMAL_EPISODES
