branch,cohort_source,stock_id,stock_name,episode_start_date,selection_state,available_forward_sessions,expected_maturity_date,pending_not_neutral
R,EXISTING_PENDING,1410,南染,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,1468,昶和,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,1476,儒鴻,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,1733,五鼎,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,1734,杏輝,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,2006,東和鋼鐵,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,2023,燁輝,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,2207,和泰車,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,2704,國賓,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,3702,大聯大,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,4104,佳醫,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,4106,雃博,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,4736,泰博,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,5306,桂盟,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,5525,順天,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,5538,東明-KY,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,6534,正瀚-創,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,8411,福貞-KY,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,8462,柏文,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,8481,政伸,2026-07-14,RISK_CONTROL_PRIMARY_SHADOW,9,,True
R,EXISTING_PENDING,910322,康師傅-DR,2026-07-14,FILTERED_PENDING_OUTCOME,9,,True
R,EXISTING_PENDING,2015,豐興,2026-07-15,FILTERED_PENDING_OUTCOME,8,,True
R,EXISTING_PENDING,6464,台數科,2026-07-15,RISK_CONTROL_PRIMARY_SHADOW,8,,True
R,EXISTING_PENDING,6598,ABC-KY,2026-07-15,FILTERED_PENDING_OUTCOME,8,,True
R,EXISTING_PENDING,6669,緯穎,2026-07-15,FILTERED_PENDING_OUTCOME,8,,True
R,EXISTING_PENDING,6887,寶綠特-KY,2026-07-15,FILTERED_PENDING_OUTCOME,8,,True
R,EXISTING_PENDING,8478,東哥遊艇,2026-07-15,FILTERED_PENDING_OUTCOME,8,,True
R,EXISTING_PENDING,8499,鼎炫-KY,2026-07-15,FILTERED_PENDING_OUTCOME,8,,True
