stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,branch_r_eligible,branch_exclusion_state,momentum_rank,down_survival_ratio,down_survival_ratio_top120_percentile,entry_close,maturity_status,branch_maturity_status,episode_outcome,decision_date,feature_as_of_date,max_source_date,point_in_time_valid
1232,大統益,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,76.0,1.0,92.5,151.0,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
1308,亞聚,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,69.0,0.25,12.083333333333334,14.8,MATURED,MATURED,LOSER,2026-07-13,2026-07-13,2026-07-13,True
2101,南港,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,59.0,1.0,92.5,34.55,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
2321,東訊,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,113.0,0.5,36.666666666666664,15.2,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
2374,佳能,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,120.0,0.75,68.33333333333333,75.5,MATURED,MATURED,LOSER,2026-07-13,2026-07-13,2026-07-13,True
2482,連宇,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,91.0,1.0,92.5,18.2,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
3596,智易,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,72.0,0.75,68.33333333333333,197.0,MATURED,MATURED,LOSER,2026-07-13,2026-07-13,2026-07-13,True
3694,海華,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,57.0,0.25,12.083333333333334,67.6,MATURED,MATURED,LOSER,2026-07-13,2026-07-13,2026-07-13,True
4564,元翎,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,47.0,0.75,68.33333333333333,21.0,MATURED,MATURED,LOSER,2026-07-13,2026-07-13,2026-07-13,True
4764,雙鍵,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,38.0,0.75,68.33333333333333,302.5,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
6142,友勁,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,81.0,0.5,36.666666666666664,10.65,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
6225,天瀚,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,96.0,0.5,36.666666666666664,24.2,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
6533,晶心科,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,119.0,0.75,68.33333333333333,210.5,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
6863,永道-KY,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,95.0,1.0,92.5,102.0,MATURED,MATURED,WINNER,2026-07-13,2026-07-13,2026-07-13,True
6933,AMAX-KY,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,112.0,0.5,36.666666666666664,173.0,MATURED,MATURED,LOSER,2026-07-13,2026-07-13,2026-07-13,True
8442,威宏-KY,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,109.0,0.25,12.083333333333334,44.0,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
9925,新保,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,70.0,1.0,92.5,41.3,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
9938,百和,2026-07-13,EXISTING_PENDING,C,VOLATILE_RANGE,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,116.0,0.5,36.666666666666664,45.95,MATURED,MATURED,NEUTRAL,2026-07-13,2026-07-13,2026-07-13,True
1410,南染,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,118.0,0.8,70.41666666666667,26.05,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
1468,昶和,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,55.0,1.0,91.25,13.35,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
1476,儒鴻,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,82.0,1.0,91.25,343.5,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
1733,五鼎,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,30.0,1.0,91.25,30.6,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
1734,杏輝,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,88.0,1.0,91.25,32.75,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
2006,東和鋼鐵,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,63.0,0.8,70.41666666666667,70.2,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
2023,燁輝,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,81.0,0.8,70.41666666666667,14.1,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
2207,和泰車,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,93.0,0.8,70.41666666666667,480.0,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
2704,國賓,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,53.0,1.0,91.25,45.55,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
3702,大聯大,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,105.0,0.8,70.41666666666667,119.5,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
4104,佳醫,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,111.0,1.0,91.25,71.3,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
4106,雃博,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,52.0,1.0,91.25,24.85,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
