stock_name,primary_sector,sub_sector,classification_confidence,source_combination,momentum_score,momentum_rank,market_excess_return_1d,market_excess_return_3d,market_excess_return_5d,market_down_day_outperformance_count_5d,market_down_day_outperformance_count_10d,market_down_days_5d,market_down_days_10d,rs_market_pct_day0,rs_market_pct_day_minus_3,rs_market_pct_day_minus_5,rs_slope_3d,rs_slope_5d,momentum_rank_change_1d,momentum_rank_change_3d,trend_efficiency_5d,trend_efficiency_10d,max_drawdown_prior_5d,max_drawdown_prior_10d,institution_buy_days_5d,institution_buy_days_10d,institution_flow_3d,institution_flow_previous_3d,institution_flow_acceleration,flow_support_on_market_down_days,return_1d,return_3d,return_5d,volume_ratio_1d_20d,production_market_regime,market_path_state,down_survival_ratio,institution_flow_persistence,down_survival_ratio_top120_percentile,down_survival_ratio_state_percentile,momentum_rank_change_3d_top120_percentile,momentum_rank_change_3d_state_percentile,trend_efficiency_10d_top120_percentile,trend_efficiency_10d_state_percentile,institution_flow_persistence_top120_percentile,institution_flow_persistence_state_percentile,primary_pocket_state,primary_pocket_strength_streak,sub_pocket_state,sub_pocket_strength_streak,pocket_state,down_survival_ratio_pocket_percentile,bundle_A,bundle_B,bundle_C,stock_id,evaluation_date,episode_start_date,episode_kind,missing_top120_sessions_before_entry,comparable_phase3e_cohort,dataset,entry_close,outcome,policy0,policy0_data_source,policy1,policy2,policy3,policy3_bundle_chosen_on_dataset_a,cohort_source,future_trade_date_1d,future_trade_date_3d,future_trade_date_5d,future_trade_date_10d,future_return_1d,future_return_3d,future_return_5d,future_return_10d,episode_outcome,mfe_10d,mae_10d,observed_mfe_to_date,observed_mae_to_date,barrier_outcome,available_forward_sessions,maturity_status,branch_r_eligible,branch_exclusion_state,outcome_maturity_status,branch_maturity_status,missing_required_feature,survival_threshold,survival_pass,market_threshold,market_gate_pass,r1_market_plus_survival_pass,r2_survival_only_pass,shadow_state,decision_date,feature_as_of_date,max_source_date,point_in_time_valid,predicate_trace
大統益,FOOD,原物料,HIGH,A,68.9,76.0,3.72294112892444,3.2884532022433244,6.06457839167941,3,4,3,4,52.73775216138328,35.30685920577617,41.40173410404624,5.810297651869038,2.267203611467409,88.0,94.0,0.391304347826087,0.5555555555555556,-2.348993288590606,-2.348993288590606,2,3,42966866.0,28604866.5,14361999.5,0.25,3.7800687285223455,3.0716723549488067,3.0716723549488067,2.466696495377177,VOLATILE_RANGE,RISK_OFF,1.0,0.3,92.5,92.5,93.33333333333331,93.33333333333331,78.33333333333333,78.33333333333333,7.916666666666666,7.916666666666666,EMERGING_POCKET,0.0,EMERGING_POCKET,1.0,EMERGING_POCKET,88.29787234042553,True,True,False,1232,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,151.0,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,0.3311258278145601,7.284768211920523,5.629139072847678,1.655629139072845,NEUTRAL,17.88079470198676,-0.6622516556291425,17.88079470198676,-0.6622516556291425,HIT_WINNER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,True,90.0,True,True,True,RISK_CONTROL_PRIMARY_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 92.5, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": true}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 92.5, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": true}]"
亞聚,PETROCHEMICAL,工業用合成樹脂,HIGH,A,69.7,69.0,0.9667631853850224,-1.7699741195928875,-3.631699641502829,0,1,3,4,86.23919308357348,87.50902527075812,88.4393063583815,-0.423277395728211,-0.4400226549616036,,,0.7777777777777772,0.2957746478873244,-7.57097791798107,-7.57097791798107,3,6,-2010126.299999999,6073281.649999999,-8083407.949999999,0.75,1.0238907849829282,-1.9867549668874052,-6.624605678233431,0.6047568920270749,VOLATILE_RANGE,RISK_OFF,0.25,0.6,12.083333333333334,12.083333333333334,,,38.333333333333336,38.333333333333336,56.666666666666664,56.666666666666664,EMERGING_POCKET,0.0,,,EMERGING_POCKET,10.638297872340424,False,False,False,1308,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,14.8,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,0.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,-1.6891891891891886,1.6891891891891886,-5.067567567567566,-10.135135135135132,LOSER,3.716216216216206,-11.148648648648651,3.716216216216206,-11.148648648648651,HIT_LOSER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,False,90.0,False,False,False,FILTERED_BY_RISK_CONTROL_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 12.083333333333334, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": false}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 12.083333333333334, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": false}]"
南港,AUTOMOTIVE,輪胎,HIGH,D,71.2,59.0,1.5605194592256175,1.5364289411361365,6.436019809185678,3,4,3,4,72.91066282420749,78.19494584837545,69.14739884393063,-1.761427674722654,0.7526527960553722,,,0.5609756097560996,0.6071428571428575,-1.317715959004384,-2.0408163265306145,4,8,33735881.0,145006832.25,-111270951.25,1.0,1.6176470588235237,1.3196480938416189,3.4431137724550753,0.7385633381619456,VOLATILE_RANGE,RISK_OFF,1.0,0.8,92.5,92.5,,,89.16666666666667,89.16666666666667,85.83333333333333,85.83333333333333,NO_POCKET,0.0,,,NO_POCKET,95.0,True,False,False,2101,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,34.55,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,-1.0130246020260358,0.0,-3.039073806078141,-4.052098408104188,NEUTRAL,2.170767004341534,-5.209840810419674,2.170767004341534,-5.209840810419674,NO_BARRIER_HIT,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,True,90.0,True,True,True,RISK_CONTROL_PRIMARY_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 92.5, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": true}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 92.5, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": true}]"
東訊,COMMUNICATION_NETWORK,無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒),HIGH,AC,63.7,113.0,9.690164819174662,12.809373439887096,,2,2,3,4,90.92219020172912,,0.0,,18.18443804034582,64.0,,0.4444444444444443,0.333333333333333,-7.352941176470584,-9.35251798561152,1,1,2112.7999999999997,0.0,2112.7999999999997,0.0,9.747292418772568,12.592592592592576,,4.937197984111479,VOLATILE_RANGE,RISK_OFF,0.5,0.1,36.666666666666664,36.666666666666664,,,45.83333333333333,45.83333333333333,1.6666666666666667,1.6666666666666667,EMERGING_POCKET,0.0,EMERGING_POCKET,0.0,EMERGING_POCKET,29.78723404255319,False,False,False,2321,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,15.2,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,0.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,2.3026315789473673,2.3026315789473673,0.0,-1.3157894736842035,NEUTRAL,9.868421052631572,-100.0,9.868421052631572,-100.0,HIT_LOSER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,False,90.0,False,False,False,FILTERED_BY_RISK_CONTROL_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 36.666666666666664, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": false}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 36.666666666666664, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": false}]"
佳能,COMPUTER_PERIPHERALS,光學鏡片、鏡頭,HIGH,A,62.0,120.0,0.6095390670687539,1.15260972429988,0.9176790587798966,2,3,3,4,76.44092219020173,60.0,27.023121387283236,5.48030739673391,9.883560160583698,13.0,,0.44444444444444,0.0560000000000001,-3.3591731266150004,-3.3591731266150004,3,6,63293445.5,9894828.599999994,53398616.900000006,0.75,0.6666666666666599,0.9358288770053624,-2.075226977950706,1.0377941016819408,VOLATILE_RANGE,RISK_OFF,0.75,0.6,68.33333333333333,68.33333333333333,,,2.5,2.5,56.666666666666664,56.666666666666664,EMERGING_POCKET,0.0,EMERGING_POCKET,1.0,EMERGING_POCKET,58.51063829787234,False,False,False,2374,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,75.5,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,0.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,-4.238410596026498,-4.635761589403975,-13.642384105960259,-9.801324503311271,LOSER,0.7947019867549532,-15.629139072847675,0.7947019867549532,-15.629139072847675,HIT_LOSER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,False,90.0,False,False,False,FILTERED_BY_RISK_CONTROL_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": false}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": false}]"
連宇,COMMUNICATION_NETWORK,網通線材,HIGH,A,66.1,91.0,3.0590197091839633,3.332928156076387,10.051729566142363,3,4,3,4,87.7521613832853,70.97472924187726,44.94219653179191,5.592477380469347,8.561992970298679,,,0.7500000000000006,0.5185185185185175,-1.1331444759206777,-2.3809523809523947,4,8,2093627.8000000005,2648294.499999999,-554666.6999999988,1.0,3.116147308781869,3.116147308781869,7.058823529411762,2.7767088402157767,VOLATILE_RANGE,RISK_OFF,1.0,0.8,92.5,92.5,,,74.16666666666667,74.16666666666667,85.83333333333333,85.83333333333333,EMERGING_POCKET,0.0,,,EMERGING_POCKET,88.29787234042553,True,True,True,2482,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,18.2,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,1.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,0.0,5.494505494505497,0.8241758241758435,-1.098901098901095,NEUTRAL,15.1098901098901,-4.945054945054938,15.1098901098901,-4.945054945054938,HIT_WINNER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,True,90.0,True,True,True,RISK_CONTROL_PRIMARY_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 92.5, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": true}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 92.5, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": true}]"
智易,COMMUNICATION_NETWORK,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),HIGH,A,69.3,72.0,1.4892641529794082,2.0255663770102905,2.739741479768576,3,3,3,4,84.65417867435158,75.45126353790614,77.16763005780346,3.067638378815147,1.497309723309624,,,0.0476190476190476,0.5081967213114754,-2.0253164556962022,-2.0253164556962022,5,9,74704039.0,38518523.5,36185515.5,0.75,1.546391752577314,1.8087855297157729,-0.2531645569620266,0.3464966453351006,VOLATILE_RANGE,RISK_OFF,0.75,0.9,68.33333333333333,68.33333333333333,,,72.5,72.5,94.16666666666669,94.16666666666669,EMERGING_POCKET,0.0,NO_POCKET,0.0,EMERGING_POCKET,58.51063829787234,False,False,False,3596,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,197.0,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,0.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,-3.8071065989847663,-4.060913705583758,-9.644670050761416,-6.091370558375631,LOSER,0.0,-13.451776649746193,0.0,-13.451776649746193,HIT_LOSER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,False,90.0,False,False,False,FILTERED_BY_RISK_CONTROL_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": false}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": false}]"
海華,COMMUNICATION_NETWORK,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),HIGH,A,71.5,57.0,3.942872400402075,10.31450071700134,3.8884284247903023,1,1,3,4,90.27377521613832,35.5956678700361,41.97976878612717,18.22603578203408,9.658801286002234,,,0.0508474576271181,0.4423791821561334,-8.358208955223878,-8.358208955223878,3,5,5930219.200000007,-34668003.5,40598222.7,0.5,3.999999999999982,10.097719869706822,0.8955223880596996,2.1912934453713997,VOLATILE_RANGE,RISK_OFF,0.25,0.5,12.083333333333334,12.083333333333334,,,60.0,60.0,39.58333333333333,39.58333333333333,EMERGING_POCKET,0.0,NO_POCKET,0.0,EMERGING_POCKET,10.638297872340424,False,False,False,3694,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,67.6,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,0.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,-2.810650887573951,-4.733727810650867,-10.798816568047332,-12.130177514792894,LOSER,6.360946745562157,-13.165680473372765,6.360946745562157,-13.165680473372765,HIT_LOSER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,False,90.0,False,False,False,FILTERED_BY_RISK_CONTROL_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 12.083333333333334, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": false}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 12.083333333333334, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": false}]"
元翎,ELECTRICAL_MACHINERY,金屬加工處理,HIGH,B,73.2,47.0,8.751162555842495,19.874900505414175,18.061399187415528,2,3,3,4,97.47838616714698,87.2202166064982,89.378612716763,3.419389853549594,1.6199546900767956,,,0.4621848739495802,0.6363636363636367,-8.355091383811997,-8.355091383811997,2,5,13060670.5,-23854700.199999988,36915370.69999999,0.0,8.808290155440401,19.658119658119656,15.068493150684926,4.097865008435272,VOLATILE_RANGE,RISK_OFF,0.75,0.5,68.33333333333333,68.33333333333333,,,90.0,90.0,39.58333333333333,39.58333333333333,EMERGING_POCKET,1.0,EMERGING_POCKET,0.0,EMERGING_POCKET,58.51063829787234,False,False,False,4564,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,21.0,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,0.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,2.857142857142869,-4.761904761904767,-8.333333333333337,-17.619047619047613,LOSER,7.14285714285714,-19.523809523809533,7.14285714285714,-19.523809523809533,HIT_LOSER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,False,90.0,False,False,False,FILTERED_BY_RISK_CONTROL_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": false}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": false}]"
雙鍵,AGRI_TECH,農業科技業,MEDIUM,A,74.6,38.0,-10.027365694836,2.0686326991463777,3.826239370063933,2,3,3,4,92.36311239193084,82.8158844765343,76.58959537572254,3.1824093051321825,3.1547034032416605,,,0.0273224043715847,0.2195121951219512,-9.970238095238091,-9.970238095238091,2,5,-89787686.5,-23809934.0,-65977752.5,0.25,-9.970238095238091,1.85185185185186,0.8333333333333304,1.2553907841003111,VOLATILE_RANGE,RISK_OFF,0.75,0.5,68.33333333333333,68.33333333333333,,,29.166666666666668,29.166666666666668,39.58333333333333,39.58333333333333,NARROW_LEADERSHIP,0.0,NARROW_LEADERSHIP,0.0,NARROW_LEADERSHIP,73.68421052631578,False,False,False,4764,2026-07-13,2026-07-13,WINDOW_FIRST_SEEN,,True,C,302.5,,1.0,RECONSTRUCTED_TOP120_FIRST_SEEN_PROXY,0.0,0.0,0.0,bundle_A,EXISTING_PENDING,2026-07-14,2026-07-16,2026-07-20,2026-07-27,9.58677685950413,8.595041322314056,-11.900826446280988,-2.6446280991735516,NEUTRAL,23.636363636363633,-11.900826446280988,23.636363636363633,-11.900826446280988,HIT_WINNER_FIRST,10,MATURED,True,ELIGIBLE_WEAK_MARKET,MATURED,MATURED,False,70.0,False,90.0,False,False,False,FILTERED_BY_RISK_CONTROL_SHADOW,2026-07-13,2026-07-13,2026-07-13,True,"[{""predicate"": ""BRANCH_R_MARKET_STATE"", ""feature"": ""market_path_state"", ""raw"": ""RISK_OFF"", ""pass"": true}, {""predicate"": ""MARKET_PUBLISHING"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 90.0, ""pass"": false}, {""predicate"": ""SURVIVAL_BUNDLE_A"", ""feature"": ""down_survival_ratio_top120_percentile"", ""raw"": 68.33333333333333, ""comparison"": "">="", ""threshold"": 70.0, ""pass"": false}]"
