trade_date,strategy_name,original_count,retained_count,removed_count,original_winners,retained_winners,removed_winners,original_big_losers,retained_big_losers,removed_big_losers,winner_retention_rate,big_loser_removal_rate,compression_rate,baseline_mean_return,strategy_mean_return,mean_return_delta
2026-04-13,S0_BASELINE,120,120,0,54,54,0,13,13,0,1.0,0.0,0.0,7.339990659677757,7.339990659677757,0.0
2026-04-17,S0_BASELINE,120,120,0,30,30,0,13,13,0,1.0,0.0,0.0,4.716026585893477,4.716026585893477,0.0
2026-04-23,S0_BASELINE,120,120,0,46,46,0,16,16,0,1.0,0.0,0.0,8.089918551073639,8.089918551073639,0.0
2026-04-29,S0_BASELINE,120,120,0,42,42,0,11,11,0,1.0,0.0,0.0,7.194740597688419,7.194740597688419,0.0
2026-05-06,S0_BASELINE,120,120,0,26,26,0,23,23,0,1.0,0.0,0.0,1.0693318910729848,1.0693318910729848,0.0
2026-05-12,S0_BASELINE,120,120,0,40,40,0,7,7,0,1.0,0.0,0.0,9.511930728227128,9.511930728227128,0.0
2026-05-26,S0_BASELINE,120,120,0,19,19,0,30,30,0,1.0,0.0,0.0,-0.8498361367793209,-0.8498361367793209,0.0
2026-06-05,S0_BASELINE,120,120,0,33,33,0,16,16,0,1.0,0.0,0.0,4.75532005442372,4.75532005442372,0.0
2026-04-13,S2_VALIDATED_RANKING,120,120,0,54,54,0,13,13,0,1.0,0.0,0.0,7.339990659677757,7.339990659677757,0.0
2026-04-17,S2_VALIDATED_RANKING,120,120,0,30,30,0,13,13,0,1.0,0.0,0.0,4.716026585893477,4.716026585893477,0.0
2026-04-23,S2_VALIDATED_RANKING,120,120,0,46,46,0,16,16,0,1.0,0.0,0.0,8.089918551073639,8.089918551073639,0.0
2026-04-29,S2_VALIDATED_RANKING,120,120,0,42,42,0,11,11,0,1.0,0.0,0.0,7.194740597688419,7.194740597688419,0.0
2026-05-06,S2_VALIDATED_RANKING,120,120,0,26,26,0,23,23,0,1.0,0.0,0.0,1.0693318910729848,1.0693318910729848,0.0
2026-05-12,S2_VALIDATED_RANKING,120,120,0,40,40,0,7,7,0,1.0,0.0,0.0,9.511930728227128,9.511930728227128,0.0
2026-05-26,S2_VALIDATED_RANKING,120,120,0,19,19,0,30,30,0,1.0,0.0,0.0,-0.8498361367793209,-0.8498361367793209,0.0
2026-06-05,S2_VALIDATED_RANKING,120,120,0,33,33,0,16,16,0,1.0,0.0,0.0,4.75532005442372,4.75532005442372,0.0
