date,cash,invested_cost,number_of_stocks,number_of_units,realized_pnl_today,cumulative_realized_pnl,equity_if_available,open_positions
2026-08-07,600000,0,0,0,0.0,0.0,600000,
2026-08-10,600000,0,0,0,0.0,0.0,600000,
2026-08-11,200000.0,400000,4,4,0.0,0.0,581924.3812947111,"2014,3605,6177,7711"
2026-08-12,195159.90385258012,400000,3,4,-4840.096147419899,-4840.096147419899,591527.9241735885,"2014,2615,3605"
2026-08-13,88976.56205471314,500000,4,5,-6183.341797866946,-11023.437945286845,595769.1510563805,"2603,2615,3034,3605"
2026-08-14,96089.5327660102,500000,4,5,7112.970711297065,-3910.4672339897807,590029.1799760344,"2603,2615,3034,3443"
2026-08-17,187557.4226742671,400000,3,4,-8532.110091743118,-12442.577325732898,620313.6508361795,"2603,2615,3443"
2026-08-18,211702.10612624814,400000,4,4,24144.68345198105,11702.106126248153,612976.3104002224,"2603,2851,3443,8039"
2026-08-19,11702.106126248138,600000,5,6,0.0,11702.106126248153,606828.8690632242,"2603,2851,3008,3443,8039"
2026-08-20,13440.69012289663,600000,5,6,1738.5839966484928,13440.690122896645,628717.0724848432,"2606,2851,3008,6226,8039"
2026-08-21,234707.6308730478,400000,4,4,21266.94075015119,34707.630873047834,630098.0839018178,"2606,3008,6226,8039"
2026-08-24,34707.630873047805,600000,5,6,0.0,34707.630873047834,627338.2058811,"2606,3008,6226,6472,8039"
2026-08-25,34707.630873047805,600000,5,6,0.0,34707.630873047834,674474.8134254052,"2606,3008,6226,6472,8039"
2026-08-26,281369.0606185559,400000,4,4,46661.42974550802,81369.06061855586,690944.8218239412,"3135,3532,6472,8039"
2026-08-27,200876.96923015517,500000,5,5,19507.908611599298,100876.96923015515,687830.4374793022,"3135,3532,3653,6472,6669"
2026-08-28,100876.96923015517,600000,5,6,0.0,100876.96923015515,694602.3213168213,"3135,3532,3653,6472,6669"
2026-08-31,94701.45460393632,600000,5,6,-6175.51462621885,94701.4546039363,689478.2922903474,"3135,3532,3653,6669,8150"
2026-09-01,193303.04666504863,500000,5,5,-1398.4079388876999,93303.0466650486,688962.0432671229,"3135,3532,3653,3714,8150"
2026-09-02,85569.71333171532,600000,5,6,-7733.3333333333285,85569.71333171528,676436.8003535992,"2882,3532,3653,3714,8150"
2026-09-03,85115.16787716985,600000,5,6,-454.54545454545587,85115.16787716982,664473.515646308,"2395,3532,3653,3714,8150"
2026-09-04,572893.8628579394,100000,1,1,-12221.305019230538,72893.86285793928,672313.8164542272,2890
