date,cash,invested_cost,number_of_stocks,number_of_units,realized_pnl_today,cumulative_realized_pnl,equity_if_available,open_positions
2026-08-07,600000,0,0,0,0.0,0.0,600000,
2026-08-10,600000,0,0,0,0.0,0.0,600000,
2026-08-11,199715.0,400000,4,4,0.0,0.0,581639.3812947111,"2014,3605,6177,7711"
2026-08-12,194007.87270952738,400000,3,4,-5564.627290472607,-5564.627290472607,590375.8930305358,"2014,2615,3605"
2026-08-13,86891.23656808505,500000,4,5,-6902.886141442359,-12467.513431914966,593683.8255697524,"2603,2615,3034,3605"
2026-08-14,93535.30037561643,500000,4,5,6715.313807531376,-5752.199624383589,587474.9475856407,"2603,2615,3034,3443"
2026-08-17,184663.6157425889,400000,3,4,-8871.684633027515,-14623.884257411104,617419.8439045013,"2603,2615,3443"
2026-08-18,207833.66205725446,400000,4,4,23312.546314665567,8688.662057254463,609107.8663312288,"2603,2851,3443,8039"
2026-08-19,7691.1620572544925,600000,5,6,0.0,8688.662057254463,602817.9249942305,"2603,2851,3008,3443,8039"
2026-08-20,8538.291560815444,600000,5,6,989.6295035609364,9678.2915608154,623814.6739227619,"2606,2851,3008,6226,8039"
2026-08-21,228983.7787934317,400000,4,4,20445.487232616244,30123.778793431644,624374.2318222016,"2606,3008,6226,8039"
2026-08-24,28841.27879343173,600000,5,6,0.0,30123.778793431644,621471.853801484,"2606,3008,6226,6472,8039"
2026-08-25,28841.27879343173,600000,5,6,0.0,30123.778793431644,668608.4613457891,"2606,3008,6226,6472,8039"
2026-08-26,273701.9779810095,400000,4,4,45003.19918757782,75126.97798100946,683277.7391863948,"3135,3532,6472,8039"
2026-08-27,192623.71348188823,500000,5,5,19064.235500878727,94191.21348188819,679577.1817310352,"3135,3532,3653,6472,6669"
2026-08-28,92552.46348188825,600000,5,6,0.0,94191.21348188819,686277.8155685543,"3135,3532,3653,6472,6669"
2026-08-31,85957.37545371924,600000,5,6,-6523.838028169019,87667.37545371917,680734.2131401305,"3135,3532,3653,6669,8150"
2026-09-01,183750.40910430468,500000,5,5,-2135.716349414579,85531.65910430459,679409.4057063789,"3135,3532,3653,3714,8150"
2026-09-02,75532.03577097134,600000,5,6,-8075.873333333322,77455.78577097127,666399.1227928553,"2882,3532,3653,3714,8150"
2026-09-03,74636.6778164259,600000,5,6,-824.1079545454559,76631.67781642581,653995.0255855641,"2395,3532,3653,3714,8150"
2026-09-04,560161.9943920792,100000,1,1,-14403.433424346658,62228.244392079156,659581.9479883669,2890
