trade_date,strategy_version,stock_id,stock_name,action,reason,entry_execution_date,exit_execution_date,realized_return_pct,virtual_cash,virtual_invested_cost,virtual_total_equity
2026-08-07,v1_frozen,,,NO_ACTIVITY,,,,,600000,0,600000
2026-08-10,v1_frozen,,,NO_ACTIVITY,,,,,600000,0,600000
2026-08-12,v1_frozen,7711,永擎,SELL,REAL_POSITION_STOP_LOSS,2026-08-11,2026-08-12,-2.5813692480359167,195159.90385258006,400000,591527.9241735885
2026-08-12,v1_frozen,6177,達麗,SELL,P4_STOP,2026-08-11,2026-08-12,-2.258726899383982,195159.90385258006,400000,591527.9241735885
2026-08-13,v1_frozen,2014,中鴻,SELL,P4_STOP,2026-08-11,2026-08-13,-3.9106145251396516,88976.56205471314,500000,595769.1510563805
2026-08-13,v1_frozen,2014,中鴻,SELL,P4_STOP,2026-08-12,2026-08-13,-2.272727272727294,88976.56205471314,500000,595769.1510563805
2026-08-14,v1_frozen,3605,宏致,SELL,TAKE_PROFIT,2026-08-11,2026-08-14,7.112970711297065,96089.5327660102,500000,590029.1799760344
2026-08-17,v1_frozen,3034,聯詠,SELL,P4_STOP,2026-08-13,2026-08-17,-8.53211009174312,187557.4226742671,400000,620313.6508361795
2026-08-18,v1_frozen,2615,萬海,SELL,TAKE_PROFIT,2026-08-12,2026-08-18,12.770809578107176,211702.10612624814,400000,612976.3104002224
2026-08-18,v1_frozen,2615,萬海,SELL,TAKE_PROFIT,2026-08-13,2026-08-18,11.373873873873876,211702.10612624814,400000,612976.3104002224
2026-08-20,v1_frozen,2603,長榮,SELL,TAKE_PROFIT,2026-08-13,2026-08-20,10.829493087557596,13440.69012289663,600000,628717.0724848432
2026-08-20,v1_frozen,3443,創意,SELL,REAL_POSITION_STOP_LOSS,2026-08-14,2026-08-20,-9.090909090909102,13440.69012289663,600000,628717.0724848432
2026-08-21,v1_frozen,2851,中再保,SELL,TAKE_PROFIT,2026-08-18,2026-08-21,11.601513240857516,234707.6308730478,400000,630098.0839018178
2026-08-21,v1_frozen,2851,中再保,SELL,TAKE_PROFIT,2026-08-19,2026-08-21,9.665427509293673,234707.6308730478,400000,630098.0839018178
2026-08-26,v1_frozen,2606,裕民,SELL,TAKE_PROFIT,2026-08-20,2026-08-26,0.8522727272727206,281369.0606185559,400000,690944.8218239412
2026-08-26,v1_frozen,6226,光鼎,SELL,TAKE_PROFIT,2026-08-20,2026-08-26,24.215246636771294,281369.0606185559,400000,690944.8218239412
2026-08-26,v1_frozen,6226,光鼎,SELL,TAKE_PROFIT,2026-08-24,2026-08-26,18.8841201716738,281369.0606185559,400000,690944.8218239412
2026-08-26,v1_frozen,3008,大立光,SELL,P4_STOP,2026-08-19,2026-08-26,2.7097902097902113,281369.0606185559,400000,690944.8218239412
2026-08-27,v1_frozen,8039,台虹,SELL,TAKE_PROFIT,2026-08-18,2026-08-27,19.507908611599298,200876.96923015517,500000,687830.4374793022
2026-08-31,v1_frozen,6472,保瑞,SELL,P4_STOP,2026-08-24,2026-08-31,-6.17551462621885,94701.45460393632,600000,689478.2922903474
2026-09-01,v1_frozen,6669,緯穎,SELL,P4_STOP,2026-08-27,2026-09-01,1.2931034482758552,193303.04666504863,500000,688962.0432671229
2026-09-01,v1_frozen,6669,緯穎,SELL,P4_STOP,2026-08-28,2026-09-01,-2.6915113871635548,193303.04666504863,500000,688962.0432671229
2026-09-02,v1_frozen,3135,凌航,SELL,P4_STOP,2026-08-26,2026-09-02,-7.733333333333328,85569.71333171532,600000,676436.8003535992
2026-09-03,v1_frozen,2882,國泰金,SELL,P4_STOP,2026-09-02,2026-09-03,-0.4545454545454559,85115.16787716985,600000,664473.515646308
2026-09-04,v1_frozen,3653,健策,SELL,P4_STOP,2026-08-27,2026-09-04,-4.26421404682273,572893.8628579393,100000,672313.8164542271
2026-09-04,v1_frozen,8150,南茂,SELL,P4_STOP,2026-08-31,2026-09-04,-2.1158129175946376,572893.8628579393,100000,672313.8164542271
2026-09-04,v1_frozen,3532,台勝科,SELL,P4_STOP,2026-08-26,2026-09-04,-0.2590673575129476,572893.8628579393,100000,672313.8164542271
2026-09-04,v1_frozen,3714,富采,SELL,P4_STOP,2026-09-01,2026-09-04,-1.8633540372670978,572893.8628579393,100000,672313.8164542271
2026-09-04,v1_frozen,3714,富采,SELL,P4_STOP,2026-09-02,2026-09-04,0.4769475357710617,572893.8628579393,100000,672313.8164542271
2026-09-04,v1_frozen,2395,研華,SELL,P4_STOP,2026-09-03,2026-09-04,-4.195804195804187,572893.8628579393,100000,672313.8164542271
