stock_id,stock_name,entry_type,signal_first_seen_date,entry_signal_date,entry_execution_date,entry_day_index,entry_p3_selected,entry_hit_count,entry_momentum,entry_p4,entry_mark_to_market_return,entry_price,allocation,shares,exit_reason,exit_signal_date,exit_execution_date,exit_p4,exit_mark_to_market_return,exit_price,holding_days,realized_pnl,realized_return_pct
6177,達麗,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,68.2,CAUTION,-1.42,48.7,100000,2053.388090349076,P4_STOP,2026-08-11,2026-08-12,STOP_OBSERVING,-1.93,47.6,1,-2621.591375770018,-2.621591375770018
7711,永擎,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,69.7,CAUTION,0.0,445.5,100000,224.4668911335578,REAL_POSITION_STOP_LOSS,2026-08-11,2026-08-12,CAUTION,0.49,434.0,1,-2943.0359147025883,-2.9430359147025884
2014,中鴻,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,73.7,CAUTION,-0.83,17.9,100000,5586.59217877095,P4_STOP,2026-08-12,2026-08-13,STOP_OBSERVING,-3.59,17.2,2,-4267.346368715065,-4.2673463687150655
2014,中鴻,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-11,2026-08-12,3,False,1,69.8,CAUTION,-2.49,17.6,100000,5681.818181818181,P4_STOP,2026-08-12,2026-08-13,STOP_OBSERVING,-3.59,17.2,1,-2635.539772727294,-2.635539772727294
3605,宏致,EARLY_HEALTHY_PULLBACK,2026-08-07,2026-08-10,2026-08-11,2,False,1,79.5,CAUTION,-1.36,119.5,100000,836.8200836820083,TAKE_PROFIT,2026-08-13,2026-08-14,CAUTION,19.46,128.0,3,6715.313807531376,6.715313807531377
3034,聯詠,EARLY_HEALTHY_PULLBACK,2026-08-11,2026-08-12,2026-08-13,2,False,1,75.8,CAUTION,-1.29,545.0,100000,183.4862385321101,P4_STOP,2026-08-14,2026-08-17,STOP_OBSERVING,-5.88,498.5,4,-8871.684633027515,-8.871684633027515
2615,萬海,EARLY_HEALTHY_PULLBACK,2026-08-10,2026-08-11,2026-08-12,2,False,1,77.4,CAUTION,-1.91,87.7,100000,1140.2508551881413,TAKE_PROFIT,2026-08-17,2026-08-18,CAUTION,12.16,98.9,6,12352.147947548452,12.35214794754845
2615,萬海,EARLY_HEALTHY_PULLBACK,2026-08-10,2026-08-12,2026-08-13,3,False,1,71.7,CAUTION,-1.91,88.8,100000,1126.126126126126,TAKE_PROFIT,2026-08-17,2026-08-18,CAUTION,12.16,98.9,5,10960.398367117115,10.960398367117115
3443,創意,EARLY_HEALTHY_PULLBACK,2026-08-12,2026-08-13,2026-08-14,2,False,1,75.6,CAUTION,-0.72,5830.0,100000,17.152658662092623,REAL_POSITION_STOP_LOSS,2026-08-19,2026-08-20,CAUTION,-5.11,5300.0,6,-9428.409090909103,-9.428409090909103
2603,長榮,EARLY_HEALTHY_PULLBACK,2026-08-11,2026-08-12,2026-08-13,2,False,1,69.6,CAUTION,-1.15,217.0,100000,460.8294930875576,TAKE_PROFIT,2026-08-19,2026-08-20,CAUTION,10.83,240.5,7,10418.03859447004,10.418038594470039
2851,中再保,EARLY_HEALTHY_PULLBACK,2026-08-14,2026-08-17,2026-08-18,2,False,1,70.8,CAUTION,-1.77,39.65,100000,2522.068095838588,TAKE_PROFIT,2026-08-20,2026-08-21,CAUTION,11.48,44.25,3,11187.192622950824,11.187192622950825
2851,中再保,EARLY_HEALTHY_PULLBACK,2026-08-14,2026-08-18,2026-08-19,3,False,1,75.8,CAUTION,-0.88,40.35,100000,2478.3147459727384,TAKE_PROFIT,2026-08-20,2026-08-21,CAUTION,11.48,44.25,2,9258.29460966542,9.25829460966542
6226,光鼎,DEEP_PULLBACK,2026-08-18,2026-08-19,2026-08-20,2,False,1,73.4,CAUTION,-8.19,22.3,100000,4484.304932735426,TAKE_PROFIT,2026-08-25,2026-08-26,CAUTION,10.34,27.7,6,23754.097533632274,23.754097533632272
6226,光鼎,DEEP_PULLBACK,2026-08-18,2026-08-21,2026-08-24,4,False,2,80.2,CAUTION,-8.62,23.3,100000,4291.845493562231,TAKE_PROFIT,2026-08-25,2026-08-26,CAUTION,10.34,27.7,2,18442.762875536457,18.442762875536456
3008,大立光,EARLY_HEALTHY_PULLBACK,2026-08-17,2026-08-18,2026-08-19,2,False,1,75.6,CAUTION,-0.75,5720.0,100000,17.482517482517483,P4_STOP,2026-08-25,2026-08-26,STOP_OBSERVING,7.32,5875.0,7,2328.4801136363676,2.3284801136363673
2606,裕民,EARLY_HEALTHY_PULLBACK,2026-08-18,2026-08-19,2026-08-20,2,False,1,74.4,CAUTION,-0.57,70.4,100000,1420.4545454545453,TAKE_PROFIT,2026-08-25,2026-08-26,CAUTION,11.59,71.0,6,477.85866477272066,0.47785866477272065
8039,台虹,DEEP_PULLBACK,2026-08-14,2026-08-17,2026-08-18,2,False,1,78.8,CAUTION,-9.6,284.5,100000,351.493848857645,TAKE_PROFIT,2026-08-26,2026-08-27,CAUTION,11.87,340.0,9,19064.235500878727,19.064235500878727
6472,保瑞,EARLY_HEALTHY_PULLBACK,2026-08-20,2026-08-21,2026-08-24,2,False,1,78.0,CAUTION,-1.52,461.5,100000,216.68472372697724,P4_STOP,2026-08-28,2026-08-31,STOP_OBSERVING,-5.84,433.0,7,-6523.838028169019,-6.523838028169019
6669,緯穎,EARLY_HEALTHY_PULLBACK,2026-08-25,2026-08-26,2026-08-27,2,False,1,76.8,CAUTION,-2.02,6960.0,100000,14.367816091954023,P4_STOP,2026-08-31,2026-09-01,STOP_OBSERVING,2.45,7050.0,5,917.0528017241304,0.9170528017241305
6669,緯穎,EARLY_HEALTHY_PULLBACK,2026-08-25,2026-08-27,2026-08-28,3,False,1,75.6,CAUTION,-1.59,7245.0,100000,13.802622498274673,P4_STOP,2026-08-31,2026-09-01,STOP_OBSERVING,2.45,7050.0,4,-3052.7691511387093,-3.052769151138709
3135,凌航,EARLY_HEALTHY_PULLBACK,2026-08-21,2026-08-25,2026-08-26,3,False,1,72.4,CAUTION,-1.64,187.5,100000,533.3333333333334,P4_STOP,2026-09-01,2026-09-02,STOP_OBSERVING,-5.46,173.0,7,-8075.873333333322,-8.075873333333321
2882,國泰金,EARLY_HEALTHY_PULLBACK,2026-08-31,2026-09-01,2026-09-02,2,False,1,72.5,CAUTION,-1.33,110.0,100000,909.0909090909091,P4_STOP,2026-09-02,2026-09-03,STOP_OBSERVING,-3.11,109.5,1,-824.1079545454559,-0.8241079545454558
8150,南茂,EARLY_HEALTHY_PULLBACK,2026-08-26,2026-08-28,2026-08-31,3,False,1,68.5,CAUTION,-1.84,89.8,100000,1113.58574610245,P4_STOP,2026-09-03,2026-09-04,STOP_OBSERVING,-3.36,87.9,4,-2479.207962138069,-2.479207962138069
3714,富采,EARLY_HEALTHY_PULLBACK,2026-08-28,2026-08-31,2026-09-01,2,False,1,76.7,CAUTION,-1.44,64.4,100000,1552.7950310559004,P4_STOP,2026-09-03,2026-09-04,STOP_OBSERVING,-1.6,63.2,3,-2227.6863354037487,-2.2276863354037486
3714,富采,EARLY_HEALTHY_PULLBACK,2026-08-28,2026-09-01,2026-09-02,3,False,1,74.9,CAUTION,0.0,62.9,100000,1589.825119236884,P4_STOP,2026-09-03,2026-09-04,STOP_OBSERVING,-1.6,63.2,2,103.92686804450932,0.10392686804450932
