stock_id,stock_name,first_seen_date,first_seen_date_original_raw,exit_date,status,closure_reason,type,conviction,recommendation_rank_day1,momentum_score_day1,hit_count_final,tracking_days,entry_exec_date,entry_exec_price_next_day_high,system_return_pct,realistic_return_pct_next_day_high_low,realistic_return_is_realized
2006,東和鋼鐵,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,high,7,90.5,3,6,2026-08-10,89.2,-7.28,-10.31,已實現
2014,中鴻,2026-08-07,,2026-08-12,completed,p4_stopped,FOLLOWER,low,20,72.4,1,4,2026-08-10,18.1,-1.97,-4.97,已實現
2027,大成鋼,2026-08-07,2026-08-09,2026-08-14,completed,p4_stopped,LEADER,high,2,,1,6,2026-08-10,47.8,0.47,-0.52,已實現
2031,新光鋼,2026-08-07,2026-08-09,2026-08-12,completed,p4_stopped,LEADER,medium,9,,0,4,2026-08-10,47.0,-1.63,-3.3,已實現
2049,上銀,2026-08-07,,2026-08-14,completed,p4_stopped,FOLLOWER,low,19,74.9,2,6,2026-08-10,389.0,-2.73,-4.88,已實現
2301,光寶科,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,low,6,84.2,2,6,2026-08-10,271.5,1.14,-2.95,已實現
2359,所羅門,2026-08-07,2026-08-08,2026-08-14,completed,p4_stopped,FOLLOWER,low,13,,0,6,2026-08-10,157.5,6.87,4.76,已實現
2362,藍天,2026-08-07,,2026-08-17,completed,p4_stopped,LEADER,low,16,85.5,1,7,2026-08-10,49.2,1.2,-4.17,已實現
2395,研華,2026-08-07,,2026-08-21,completed,p4_stopped,LEADER,medium,4,89.2,4,11,2026-08-10,695.0,-1.29,-6.19,已實現
2408,南亞科,2026-08-07,,2026-08-12,completed,p4_stopped,LEADER,low,9,84.9,1,4,2026-08-10,502.0,-1.03,-2.39,已實現
2451,創見,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,medium,12,79.1,1,6,2026-08-10,300.0,-1.27,-4.17,已實現
2605,新興,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,medium,15,66.7,1,6,2026-08-10,33.6,-1.75,-4.32,已實現
2606,裕民,2026-08-07,2026-08-08,2026-08-14,completed,p4_stopped,LEADER,high,6,,0,6,2026-08-10,67.2,-0.67,-1.34,已實現
2618,長榮航,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,medium,14,78.8,1,6,2026-08-10,43.0,-6.83,-7.21,已實現
3017,奇鋐,2026-08-07,2026-08-08,2026-08-24,completed,p4_stopped,LEADER,low,12,,6,12,2026-08-10,2890.0,1.42,-5.19,已實現
3022,威強電,2026-08-07,,2026-08-13,completed,p4_stopped,LEADER,high,3,86.8,2,5,2026-08-10,113.0,-10.0,-17.17,已實現
3231,緯創,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,high,8,84.8,4,6,2026-08-10,193.5,2.25,-4.65,已實現
3605,宏致,2026-08-07,,2026-08-24,completed,p4_stopped,LEADER,low,17,80.4,2,12,2026-08-10,110.5,6.21,0.9,已實現
4566,時碩工業,2026-08-07,2026-08-08,2026-08-14,completed,p4_stopped,LEADER,high,5,,0,6,2026-08-10,80.0,-2.26,-7.62,已實現
4967,十銓,2026-08-07,2026-08-09,2026-08-17,completed,p4_stopped,LEADER,low,13,,0,7,2026-08-10,284.0,-6.39,-11.27,已實現
6177,達麗,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,medium,11,81.2,1,6,2026-08-10,49.2,-2.25,-3.86,已實現
6206,飛捷,2026-08-07,2026-08-08,2026-08-14,completed,p4_stopped,LEADER,medium,9,,1,6,2026-08-10,158.0,-6.38,-10.76,已實現
6213,聯茂,2026-08-07,,2026-08-31,completed,p4_stopped,FOLLOWER,low,18,75.6,8,17,2026-08-10,427.5,28.71,27.49,已實現
6533,晶心科,2026-08-07,,2026-08-14,completed,p4_stopped,LEADER,high,1,79.7,1,6,2026-08-10,261.0,-2.18,-7.85,已實現
6669,緯穎,2026-08-07,,2026-08-24,completed,p4_stopped,LEADER,high,5,85.0,2,12,2026-08-10,6225.0,3.07,-1.61,已實現
7711,永擎,2026-08-07,,2026-08-27,completed,p4_stopped,FOLLOWER,low,2,55.0,5,15,2026-08-10,405.0,24.89,16.54,已實現
8454,富邦媒,2026-08-07,,2026-08-11,completed,p4_stopped,LEADER,medium,10,73.9,1,3,2026-08-10,295.5,-4.83,-9.64,已實現
9921,巨大,2026-08-07,,2026-08-19,completed,p4_stopped,LEADER,low,13,87.6,1,9,2026-08-10,101.5,2.46,2.46,已實現
9939,宏全,2026-08-07,2026-08-09,2026-08-14,completed,p4_stopped,LEADER,low,12,,0,6,2026-08-10,145.0,-8.81,-10.0,已實現
00965,元大航太防衛科技,2026-08-10,,2026-08-20,completed,p4_stopped,LEADER,medium,5,91.2,5,9,2026-08-11,27.15,-2.29,-5.45,已實現
2030,彰源,2026-08-10,,2026-08-17,completed,p4_stopped,LEADER,medium,6,86.7,1,6,2026-08-11,21.9,-3.41,-5.48,已實現
2059,川湖,2026-08-10,,2026-08-13,completed,p4_stopped,LEADER,medium,3,82.4,1,4,2026-08-11,12540.0,1.89,-4.23,已實現
2103,台橡,2026-08-10,,2026-08-12,completed,p4_stopped,LEADER,medium,8,82.5,1,3,2026-08-11,28.95,-3.1,-7.08,已實現
2436,偉詮電,2026-08-10,,2026-08-14,completed,p4_stopped,LEADER,medium,10,79.2,1,5,2026-08-11,68.4,3.6,-3.22,已實現
2615,萬海,2026-08-10,,2026-08-31,completed,p4_stopped,LEADER,high,7,74.0,5,16,2026-08-11,88.8,30.43,25.0,已實現
6805,富世達,2026-08-10,,2026-08-13,completed,p4_stopped,LEADER,medium,4,78.6,2,4,2026-08-11,1840.0,4.13,-2.99,已實現
7740,熙特爾-創,2026-08-10,,2026-08-14,completed,p4_stopped,LEADER,medium,11,78.4,1,5,2026-08-11,166.0,-13.36,-15.66,已實現
00635U,期元大S&P黃金,2026-08-11,,2026-08-19,completed,p4_stopped,LEADER,medium,10,82.5,2,7,2026-08-12,45.86,-1.37,1.35,已實現
00738U,期元大道瓊白銀,2026-08-11,,2026-08-28,completed,p4_stopped,FOLLOWER,low,19,69.4,1,14,2026-08-12,52.7,5.09,-0.76,已實現
009821,野村稀土關鍵資源,2026-08-11,,2026-09-01,completed,p4_stopped,LEADER,medium,17,79.4,4,16,2026-08-12,15.09,0.66,-2.12,已實現
1736,喬山,2026-08-11,,2026-08-12,completed,p4_stopped,LEADER,medium,2,89.8,1,2,2026-08-12,148.0,,-9.12,已實現
2002,中鋼,2026-08-11,,2026-08-13,completed,p4_stopped,FOLLOWER,low,15,82.5,1,3,2026-08-12,19.85,-3.03,-4.53,已實現
2317,鴻海,2026-08-11,,2026-08-13,completed,p4_stopped,FOLLOWER,low,4,75.4,2,3,2026-08-12,270.5,-1.96,-4.81,已實現
2330,台積電,2026-08-11,,2026-08-21,completed,p4_stopped,LAGGARD,low,20,60.9,1,9,2026-08-12,2415.0,0.0,-1.66,已實現
2357,華碩,2026-08-11,,2026-08-20,completed,p4_stopped,LEADER,medium,7,83.8,1,8,2026-08-12,860.0,8.5,5.35,已實現
2383,台光電,2026-08-11,,2026-08-13,completed,p4_stopped,LEADER,medium,8,83.3,2,3,2026-08-12,5730.0,1.34,0.7,已實現
2454,聯發科,2026-08-11,,2026-08-19,completed,p4_stopped,LEADER,medium,11,76.2,2,7,2026-08-12,4030.0,-3.45,-8.81,已實現
2464,盟立,2026-08-11,,2026-08-20,completed,p4_stopped,LEADER,medium,13,80.6,3,8,2026-08-12,205.0,-5.5,-15.61,已實現
2603,長榮,2026-08-11,,2026-08-28,completed,p4_stopped,LEADER,medium,14,74.0,7,14,2026-08-12,217.0,7.3,6.22,已實現
3030,德律,2026-08-11,,2026-08-17,completed,p4_stopped,FOLLOWER,low,21,53.9,1,5,2026-08-12,311.0,-1.8,-6.91,已實現
