signal_date,from_stock,to_stock,from_units_before,from_shares_sold,from_priority,to_priority,priority_edge,full_or_partial,execution_date,sell_execution_price,buy_execution_price
2026-08-12,2615,2603,1,1140.2508551881413,5.238095238095238,6.919999999999999,1.681904761904761,FULL,,,
2026-08-13,2615,3443,1,1126.126126126126,5.238095238095238,7.880000000000001,2.6419047619047626,FULL,,,
2026-08-13,3034,2615,1,183.4862385321101,5.7142857142857135,7.280000000000001,1.5657142857142876,FULL,,,
2026-08-18,3443,3008,1,17.152658662092623,5.7142857142857135,7.880000000000001,2.1657142857142873,FULL,,,
2026-08-19,8039,2606,1,351.493848857645,4.285714285714286,7.880000000000001,3.594285714285715,FULL,,,
2026-08-19,3008,6226,1,17.482517482517483,5.7142857142857135,7.6800000000000015,1.965714285714288,FULL,,,
2026-08-21,6226,6919,1,4484.304932735426,5.7142857142857135,7.959999999999999,2.2457142857142856,FULL,,,
2026-08-24,6919,7795,1,843.8818565400844,4.285714285714286,7.659999999999999,3.3742857142857137,FULL,,,
2026-08-24,2606,2617,1,1420.4545454545453,5.238095238095238,7.480000000000001,2.241904761904763,FULL,,,
2026-08-25,2617,3006,1,3030.3030303030305,5.238095238095238,7.4,2.161904761904762,FULL,,,
2026-08-26,2615,3653,2,1049.0539839884702,3.8095238095238093,8.0,4.190476190476191,PARTIAL,,,
2026-08-26,3006,6669,1,365.6307129798903,5.238095238095238,7.640000000000001,2.4019047619047624,FULL,,,
2026-08-26,1808,3006,2,2743.5048745194636,5.238095238095238,6.959999999999999,1.721904761904761,PARTIAL,,,
2026-08-27,3653,6933,1,16.722408026755854,4.285714285714286,7.26,2.974285714285714,FULL,,,
2026-09-01,3376,1710,1,456.62100456621005,5.238095238095238,7.980000000000001,2.741904761904763,FULL,,,
2026-09-01,3653,3605,1,16.778523489932887,5.7142857142857135,7.540000000000001,1.8257142857142874,FULL,,,
2026-09-01,2465,2882,1,1024.5901639344263,5.7142857142857135,7.5,1.7857142857142865,FULL,,,
2026-09-02,3605,2467,1,746.2686567164179,4.285714285714286,7.340000000000001,3.054285714285715,FULL,,,
2026-09-02,3017,2395,1,29.197080291970803,4.761904761904762,7.3199999999999985,2.5580952380952366,FULL,,,
2026-09-02,1710,3605,1,6097.5609756097565,5.238095238095238,7.26,2.0219047619047616,FULL,,,
2026-09-04,2467,2615,1,160.77170418006432,4.285714285714286,7.580000000000001,3.2942857142857154,FULL,,,
