成交日期,動作,股票代號,股票名稱,成交價,單位數,訊號日期,進場型態,原因/出場理由備註,計畫金額
2026-08-12,買進,4967,十銓,281.00,1,2026-08-11,EARLY_HEALTHY_PULLBACK,entry_score=7.82,100000
2026-08-12,買進,2615,萬海,87.70,1,2026-08-11,EARLY_HEALTHY_PULLBACK,entry_score=7.52,100000
2026-08-12,買進,2030,彰源,21.60,1,2026-08-11,EARLY_HEALTHY_PULLBACK,entry_score=7.42,100000
2026-08-13,買進,3034,聯詠,545.00,1,2026-08-12,EARLY_HEALTHY_PULLBACK,entry_score=7.84,100000
2026-08-13,買進,2603,長榮,217.00,1,2026-08-12,EARLY_HEALTHY_PULLBACK,entry_score=6.92,100000
2026-08-13,加碼,2615,萬海,88.80,1,2026-08-12,EARLY_HEALTHY_PULLBACK,entry_score=6.57,100000
2026-08-17,賣出,2030,彰源,20.50,1,2026-08-14,,P4 判定失效,
2026-08-17,賣出,3034,聯詠,498.50,1,2026-08-14,,P4 判定失效,
2026-08-17,賣出,4967,十銓,262.50,1,2026-08-14,,P4 判定失效,
2026-08-18,賣出,2615,萬海,98.90,2,2026-08-17,,固定停利 +10%,
2026-08-18,買進,8039,台虹,284.50,1,2026-08-17,EARLY_HEALTHY_PULLBACK,entry_score=7.24,100000
2026-08-18,買進,2851,中再保,39.65,1,2026-08-17,EARLY_HEALTHY_PULLBACK,entry_score=7.16,100000
2026-08-19,賣出,2603,長榮,232.00,1,2026-08-18,,固定停利 +10%,
2026-08-19,買進,3008,大立光,5720.00,1,2026-08-18,EARLY_HEALTHY_PULLBACK,entry_score=7.88,100000
2026-08-20,買進,2606,裕民,70.40,1,2026-08-19,EARLY_HEALTHY_PULLBACK,entry_score=7.88,100000
2026-08-20,買進,6226,光鼎,22.30,1,2026-08-19,EARLY_HEALTHY_PULLBACK,entry_score=7.68,100000
2026-08-21,賣出,2851,中再保,44.25,1,2026-08-20,,固定停利 +10%,
2026-08-24,買進,6919,康霈*,118.50,1,2026-08-21,EARLY_HEALTHY_PULLBACK,entry_score=7.96,100000
2026-08-25,加碼,6919,康霈*,112.00,1,2026-08-24,EARLY_HEALTHY_PULLBACK,entry_score=6.02,100000
2026-08-26,賣出,2606,裕民,71.00,1,2026-08-25,,固定停利 +10%,
2026-08-26,賣出,3008,大立光,5875.00,1,2026-08-25,,P4 判定失效,
2026-08-26,賣出,6226,光鼎,27.70,1,2026-08-25,,固定停利 +10%,
2026-08-26,賣出,6919,康霈*,104.50,2,2026-08-25,,真實停損 -8%,
2026-08-26,買進,3006,晶豪科,273.50,1,2026-08-25,EARLY_HEALTHY_PULLBACK,entry_score=7.40,100000
2026-08-26,買進,1808,潤隆,36.35,1,2026-08-25,EARLY_HEALTHY_PULLBACK,entry_score=7.05,100000
2026-08-26,買進,3532,台勝科,386.00,1,2026-08-25,EARLY_HEALTHY_PULLBACK,entry_score=6.70,100000
2026-08-27,賣出,8039,台虹,340.00,1,2026-08-26,,固定停利 +10%,
2026-08-27,買進,3653,健策,5980.00,1,2026-08-26,EARLY_HEALTHY_PULLBACK,entry_score=8.00,100000
2026-08-27,買進,6669,緯穎,6960.00,1,2026-08-26,EARLY_HEALTHY_PULLBACK,entry_score=7.64,100000
2026-08-28,賣出,1808,潤隆,34.65,1,2026-08-27,,P4 判定失效,
2026-08-28,賣出,3006,晶豪科,265.00,1,2026-08-27,,P4 判定失效,
2026-08-28,買進,2302,麗正,46.45,1,2026-08-27,EARLY_HEALTHY_PULLBACK,entry_score=7.62,100000
2026-08-28,買進,6933,AMAX-KY,260.00,1,2026-08-27,EARLY_HEALTHY_PULLBACK,entry_score=7.26,100000
2026-08-31,賣出,2302,麗正,42.70,1,2026-08-28,,P4 判定失效,
2026-08-31,買進,3017,奇鋐,3425.00,1,2026-08-28,EARLY_HEALTHY_PULLBACK,entry_score=7.66,100000
2026-09-01,賣出,3653,健策,5820.00,1,2026-08-31,,固定停利 +10%,
2026-09-01,賣出,6669,緯穎,7050.00,1,2026-08-31,,P4 判定失效,
2026-09-01,賣出,6933,AMAX-KY,296.00,1,2026-08-31,,固定停利 +10%,
2026-09-01,買進,2465,麗臺,97.60,1,2026-08-31,EARLY_HEALTHY_PULLBACK,entry_score=7.84,100000
2026-09-01,買進,3376,新日興,219.00,1,2026-08-31,EARLY_HEALTHY_PULLBACK,entry_score=7.72,100000
2026-09-01,買進,3714,富采,64.40,1,2026-08-31,EARLY_HEALTHY_PULLBACK,entry_score=7.66,100000
2026-09-03,賣出,2465,麗臺,96.00,1,2026-09-02,,固定停利 +10%,
2026-09-03,買進,2421,建準,174.00,1,2026-09-02,EARLY_HEALTHY_PULLBACK,entry_score=7.98,100000
2026-09-04,賣出,2421,建準,166.00,1,2026-09-03,,P4 判定失效,
2026-09-04,賣出,3532,台勝科,385.00,1,2026-09-03,,P4 判定失效,
2026-09-04,賣出,3714,富采,63.20,1,2026-09-03,,P4 判定失效,
2026-09-04,買進,6442,光聖,1875.00,1,2026-09-03,EARLY_HEALTHY_PULLBACK,entry_score=7.72,100000
2026-09-04,買進,2890,永豐金,43.10,1,2026-09-03,EARLY_HEALTHY_PULLBACK,entry_score=7.52,100000
2026-09-07,賣出,3376,新日興,202.50,1,2026-09-04,,P4 判定失效,
2026-09-07,買進,2615,萬海,116.50,1,2026-09-04,EARLY_HEALTHY_PULLBACK,entry_score=7.58,100000
