stock_id,stock_name,industry,chain,sub_industry
2453,凌群,區塊鏈,支援服務,資安審計
2453,凌群,區塊鏈,支援服務,媒體推廣
2453,凌群,區塊鏈,支援服務,顧問諮詢
2453,凌群,區塊鏈,支援服務,創投
2399,映泰,區塊鏈,運算資源,元件裝置
3515,華擎,區塊鏈,運算資源,元件裝置
6277,宏正,區塊鏈,基礎技術開發,監控管理
2453,凌群,區塊鏈,基礎技術開發,監控管理
2453,凌群,區塊鏈,基礎技術開發,開發工具
2498,宏達電,區塊鏈,基礎技術開發,開發工具
2453,凌群,區塊鏈,基礎技術開發,底層平台
2453,凌群,區塊鏈,解決方案提供,領域方案
6277,宏正,區塊鏈,解決方案提供,系統整合
2453,凌群,區塊鏈,解決方案提供,系統整合
2453,凌群,區塊鏈,解決方案提供,BaaS
2453,凌群,區塊鏈,應用服務,錢包/資產管理
2480,敦陽科,區塊鏈,應用服務,商業應用
2453,凌群,區塊鏈,應用服務,商業應用
2498,宏達電,區塊鏈,應用服務,商業應用
2480,敦陽科,區塊鏈,應用服務,交易平台
2453,凌群,區塊鏈,應用服務,交易平台
6706,惠特,印刷電路板,上游,生產製程及檢測設備
8438,昶昕,印刷電路板,上游,生產製程及檢測設備
7730,暉盛-創,印刷電路板,上游,生產製程及檢測設備
3010,華立,印刷電路板,上游,生產製程及檢測設備
3563,牧德,印刷電路板,上游,生產製程及檢測設備
6658,聯策,印刷電路板,上游,生產製程及檢測設備
6438,迅得,印刷電路板,上游,生產製程及檢測設備
2467,志聖,印刷電路板,上游,生產製程及檢測設備
3535,晶彩科,印刷電路板,上游,生產製程及檢測設備
1528,恩德,印刷電路板,上游,生產製程及檢測設備
3030,德律,印刷電路板,上游,生產製程及檢測設備
7795,長廣,印刷電路板,上游,生產製程及檢測設備
2493,揚博,印刷電路板,上游,生產製程及檢測設備
1717,長興,印刷電路板,上游,聚亞醯胺樹脂
3645,達邁,印刷電路板,上游,聚亞醯胺樹脂
4764,雙鍵,印刷電路板,上游,聚亞醯胺樹脂
1303,南亞,印刷電路板,上游,銅箔
4989,榮科,印刷電路板,上游,銅箔
1717,長興,印刷電路板,上游,酚醛樹脂
1303,南亞,印刷電路板,上游,酚醛樹脂
1717,長興,印刷電路板,上游,環氧樹脂
1303,南亞,印刷電路板,上游,環氧樹脂
4764,雙鍵,印刷電路板,上游,環氧樹脂
1303,南亞,印刷電路板,上游,玻璃纖維/玻纖布
1802,台玻,印刷電路板,上游,玻璃纖維/玻纖布
8039,台虹,印刷電路板,中游,銅箔基板
6213,聯茂,印刷電路板,中游,銅箔基板
1717,長興,印刷電路板,中游,銅箔基板
6269,台郡,印刷電路板,中游,銅箔基板
3010,華立,印刷電路板,中游,銅箔基板
6672,騰輝電子-KY,印刷電路板,中游,銅箔基板
6224,聚鼎,印刷電路板,中游,銅箔基板
2328,廣宇,印刷電路板,中游,銅箔基板
1303,南亞,印刷電路板,中游,銅箔基板
2383,台光電,印刷電路板,中游,銅箔基板
6269,台郡,印刷電路板,中游,基板組裝加工及相關製造
3665,貿聯-KY,印刷電路板,中游,基板組裝加工及相關製造
2316,楠梓電,印刷電路板,中游,基板組裝加工及相關製造
6672,騰輝電子-KY,印刷電路板,中游,基板組裝加工及相關製造
6224,聚鼎,印刷電路板,中游,基板組裝加工及相關製造
2328,廣宇,印刷電路板,中游,基板組裝加工及相關製造
2313,華通,印刷電路板,中游,基板組裝加工及相關製造
6191,精成科,印刷電路板,中游,基板組裝加工及相關製造
3037,欣興,印刷電路板,中游,硬板、軟板、IC載板製造
2402,毅嘉,印刷電路板,中游,硬板、軟板、IC載板製造
6271,同欣電,印刷電路板,中游,硬板、軟板、IC載板製造
6269,台郡,印刷電路板,中游,硬板、軟板、IC載板製造
6108,競國,印刷電路板,中游,硬板、軟板、IC載板製造
6141,柏承,印刷電路板,中游,硬板、軟板、IC載板製造
